@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R3

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
0.5,0.4,0.133333,0.613223,East
0.5625,0.4,0,0.61157,East
0.5625,0.466667,0.6,0.940496,North
0.5625,0.4,0.6,0.938843,South
0.5625,0.333333,0.533333,0.93719,South
0.5625,0.266667,0.4,0.935537,South
0.5625,0.2,0.4,0.933884,South
0.5625,0.133333,0.333333,0.932231,South
0.5625,0.066667,0.333333,0.930579,South
0.625,0.066667,0.2,0.928926,East
0.625,0.066667,0.2,0.927273,East
0.625,0.066667,0.266667,0.92562,East
0.625,0.066667,0.333333,0.923967,East
0.625,0.066667,0.4,0.922314,East
0.625,0,0.4,0.920661,South
0.625,0,0.4,0.919008,South
0.625,0.066667,0.4,0.917355,North
0.625,0.066667,0.333333,0.915702,North
0.625,0.133333,0.266667,0.91405,North
0.6875,0.133333,0.266667,0.912397,East
0.75,0.133333,0.266667,0.910744,East
0.8125,0.133333,0.2,0.909091,East
0.875,0.133333,0.2,0.907438,East
0.9375,0.133333,0.066667,0.905785,East
1,0.133333,0.066667,0.904132,East
0,1,0.8,0.031405,Stop
0,0.933333,0.666667,0.029752,South
0,0.866667,0.533333,0.028099,South
0,0.8,0.533333,0.026446,South
0,0.733333,0.4,0.024793,South
0,0.666667,0.266667,0.02314,South
0,0.6,0.2,0.021488,South
0,0.533333,0.133333,0.019835,South
0,0.466667,0.133333,0.018182,South
0,0.4,0.133333,0.016529,South
0,0.4,0.066667,0.014876,South
0,0.4,0.066667,0.013223,South
0,0.4,0.133333,0.01157,South
0,0.333333,0.133333,0.009917,South
0,0.266667,0.133333,0.008264,South
0,0.2,0,0.006612,South
0,0.133333,0.133333,0.004959,South
0,0.2,0.133333,0.003306,North
0,0.266667,0.133333,0.001653,North
0,0.2,0,0,South
0.0625,0.2,0.133333,0.328926,East
0.125,0.2,0.066667,0.327273,East
0.125,0.133333,0,0.32562,South
0.1875,0.133333,0.066667,0.654545,East
0.1875,0.066667,0,0.652893,South
0.25,0.066667,0.2,0.981818,East
0.25,0.133333,0.066667,0.980165,North
0,1,0.8,0.031405,Stop
0,0.933333,0.8,0.029752,South
0,0.866667,0.8,0.028099,South
