@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-R4

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
6,10,2,382,South
14,6,1,549,South
16,7,1,552,South
4,3,3,190,South
13,3,1,520,South
10,4,2,385,South
13,3,1,519,South
12,5,1,573,South
18,3,1,563,South
13,3,1,530,South
1,5,4,-1,South
13,3,1,528,South
3,6,4,-4,East
10,3,2,380,East
16,9,2,354,East
13,9,2,357,East
15,6,1,576,East
11,3,1,583,East
9,11,2,376,East
3,4,4,-4,East
12,4,1,581,East
13,6,1,571,East
5,7,4,-8,East
9,8,2,377,East
14,6,1,577,East
11,3,1,583,East
2,4,4,-3,East
6,7,4,-9,East
3,8,4,-5,East
11,8,2,375,East
15,6,1,569,East
7,6,3,190,East
9,9,3,186,East
16,8,2,366,East
6,7,4,-9,East
3,8,4,-5,East
9,11,2,376,East
6,4,3,193,East
11,3,1,583,East
6,3,3,186,East
2,5,4,-2,East
3,8,4,-5,East
14,8,2,370,East
7,6,3,190,East
5,7,4,-8,East
13,6,1,571,East
17,6,1,567,East
8,9,2,379,East
3,6,4,-4,East
17,8,1,565,East
11,3,1,583,East
4,5,4,-6,East
13,6,1,578,East
15,6,1,569,East
14,6,1,570,East
6,4,3,193,East
14,8,2,370,East
4,8,4,-6,East
3,6,4,-4,East
4,7,1,498,West
4,6,1,536,West
17,3,1,562,West
13,4,1,545,West
2,5,1,533,West
10,12,3,190,West
6,7,1,500,West
7,5,1,544,West
11,5,1,508,West
4,6,1,536,West
8,5,1,505,West
5,7,1,499,West
4,7,1,498,West
12,5,1,509,West
4,7,1,498,West
9,12,3,189,West
5,7,1,499,West
8,9,3,185,West
7,12,3,185,West
4,6,1,536,West
14,7,1,550,West
13,4,1,546,West
10,5,1,507,West
11,13,3,192,West
12,3,1,553,West
