@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
14,6,3,4,185,East
15,6,3,2,184,East
16,6,3,4,183,East
16,5,3,2,182,South
16,4,3,2,181,South
16,3,3,2,180,South
15,3,3,2,179,West
14,3,3,1,178,West
13,3,3,1,177,West
12,3,2,3,376,West
11,3,2,3,375,West
10,3,2,4,374,West
9,3,2,6,373,West
8,3,2,7,372,West
8,4,2,7,371,North
8,4,2,7,370,North
8,4,2,6,369,North
8,4,2,7,368,North
8,4,2,7,367,North
7,4,2,6,366,West
6,4,2,6,365,West
5,4,2,4,364,West
4,4,2,2,363,West
3,4,2,1,362,West
2,4,1,13,561,West
3,4,1,11,560,East
4,4,1,11,559,East
5,4,1,10,558,East
6,4,1,9,557,East
7,4,1,7,556,East
8,4,1,7,555,East
9,4,1,7,554,East
10,4,1,6,553,East
11,4,1,4,552,East
12,4,1,4,551,East
13,4,1,3,550,East
14,4,1,3,549,East
15,4,1,2,548,East
16,4,1,1,547,East
17,4,1,2,546,East
18,4,1,2,545,East
18,5,1,4,544,North
18,6,1,6,543,North
17,6,1,4,542,West
16,6,1,2,541,West
15,6,1,2,540,West
14,6,1,3,539,West
14,5,1,1,538,South
1,6,4,7,0,Stop
1,6,4,7,-1,Stop
1,6,4,7,-2,Stop
1,6,4,7,-3,Stop
2,6,4,6,-4,East
3,6,4,5,-5,East
4,6,4,4,-6,East
5,6,4,3,-7,East
6,6,4,2,-8,East
7,6,4,1,-9,East
8,6,3,4,190,East
9,6,3,5,189,East
10,6,3,4,188,East
11,6,3,3,187,East
12,6,3,4,186,East
13,6,3,3,185,East
14,6,3,2,184,East
15,6,3,1,183,East
16,6,2,8,382,East
16,5,2,7,381,South
16,4,2,6,380,South
16,3,2,5,379,South
15,3,2,4,378,West
14,3,2,3,377,West
13,3,2,2,376,West
12,3,2,1,375,West
11,3,1,6,574,West
10,3,1,5,573,West
9,3,1,4,572,West
8,3,1,3,571,West
7,3,1,2,570,West
6,3,1,1,569,West
1,6,4,7,0,Stop
1,6,4,6,-1,Stop
1,6,4,6,-2,Stop
1,6,4,5,-3,Stop
2,6,4,5,-4,East
3,6,4,3,-5,East
4,6,4,3,-6,East
5,6,4,2,-7,East
6,6,4,1,-8,East
7,6,3,3,191,East
7,5,3,2,190,South
7,4,3,1,189,South
7,3,3,1,188,South
7,3,2,2,387,South
7,3,2,2,386,South
6,3,2,2,385,West
5,3,2,3,384,West
6,3,2,2,383,East
6,4,2,2,382,North
6,4,2,1,381,North
7,4,1,7,580,East
7,3,1,7,579,South
7,3,1,8,578,South
8,3,1,6,577,East
9,3,1,5,576,East
10,3,1,4,575,East
11,3,1,2,574,East
12,3,1,1,573,East
1,11,4,7,0,Stop
1,11,4,6,-1,Stop
1,11,4,6,-2,Stop
2,11,4,4,-3,East
3,11,4,4,-4,East
4,11,4,2,-5,East
5,11,4,1,-6,East
6,11,4,2,-7,East
6,10,3,3,192,South
6,9,3,1,191,South
6,8,2,6,390,South
7,8,2,4,389,East
8,8,2,4,388,East
8,7,2,4,387,South
8,6,2,4,386,South
8,5,2,3,385,South
7,5,2,2,384,West
6,5,2,2,383,West
5,5,2,2,382,West
6,5,2,4,381,East
7,5,2,5,380,East
6,5,2,3,379,West
5,5,2,1,378,West
4,5,1,15,577,West
3,5,1,15,576,West
4,5,1,15,575,East
5,5,1,15,574,East
6,5,1,14,573,East
7,5,1,14,572,East
8,5,1,13,571,East
9,5,1,12,570,East
10,5,1,10,569,East
11,5,1,10,568,East
12,5,1,8,567,East
13,5,1,8,566,East
14,5,1,7,565,East
14,6,1,7,564,North
14,7,1,6,563,North
14,8,1,6,562,North
15,8,1,5,561,East
16,8,1,5,560,East
16,9,1,3,559,North
16,9,1,3,558,North
17,9,1,3,557,East
18,9,1,2,556,East
18,10,1,1,555,North
1,6,4,7,0,Stop
1,6,4,7,-1,Stop
1,6,4,7,-2,Stop
2,6,4,6,-3,East
3,6,4,5,-4,East
4,6,4,4,-5,East
5,6,4,3,-6,East
6,6,4,2,-7,East
7,6,4,1,-8,East
8,6,3,4,191,East
9,6,3,5,190,East
10,6,3,4,189,East
11,6,3,3,188,East
12,6,3,4,187,East
13,6,3,3,186,East
14,6,3,2,185,East
15,6,3,1,184,East
16,6,2,8,383,East
16,5,2,7,382,South
16,4,2,6,381,South
15,4,2,5,380,West
14,4,2,4,379,West
13,4,2,3,378,West
13,3,2,2,377,South
12,3,2,1,376,West
11,3,1,6,575,West
10,3,1,5,574,West
10,4,1,4,573,North
9,4,1,3,572,West
8,4,1,2,571,West
7,4,1,1,570,West
12,10,4,3,0,Stop
12,10,4,3,-1,Stop
13,10,4,1,-2,East
14,10,4,3,-3,East
15,10,4,4,-4,East
14,10,4,3,-5,West
14,9,4,3,-6,South
14,8,4,2,-7,South
13,8,3,4,192,West
12,8,3,6,191,West
12,9,3,4,190,North
12,10,3,2,189,North
12,11,3,2,188,North
13,11,3,2,187,East
13,10,3,1,186,South
13,9,3,2,185,South
13,8,3,2,184,South
14,8,3,2,183,East
14,9,3,2,182,North
13,9,3,2,181,West
12,9,3,2,180,West
11,9,3,2,179,West
10,9,3,2,178,West
9,9,3,4,177,West
9,8,3,2,176,South
9,7,3,3,175,South
10,7,3,3,174,East
11,7,3,1,173,East
11,8,2,4,372,North
11,9,2,3,371,North
11,10,2,2,370,North
12,10,2,2,369,East
13,10,2,3,368,East
13,11,2,3,367,North
13,12,2,1,366,North
12,12,1,11,565,West
11,12,1,10,564,West
10,12,1,8,563,West
10,11,1,6,562,South
10,10,1,5,561,South
10,9,1,3,560,South
9,9,1,3,559,West
8,9,1,3,558,West
7,9,1,2,557,West
6,9,1,2,556,West
6,10,1,2,555,North
6,11,1,3,554,North
7,11,1,1,553,East
1,18,4,13,0,Stop
1,18,4,14,-1,Stop
2,18,4,12,-2,East
3,18,4,12,-3,East
4,18,4,10,-4,East
3,18,4,10,-5,West
2,18,4,12,-6,West
1,18,4,12,-7,West
1,17,4,10,-8,South
1,16,4,8,-9,South
1,15,4,7,-10,South
1,14,4,7,-11,South
1,13,4,7,-12,South
1,12,4,7,-13,South
1,11,4,7,-14,South
1,10,4,7,-15,South
1,9,4,6,-16,South
1,8,4,4,-17,South
1,7,4,4,-18,South
1,6,4,4,-19,South
2,6,4,2,-20,East
3,6,4,2,-21,East
4,6,4,2,-22,East
5,6,4,4,-23,East
6,6,4,4,-24,East
7,6,4,6,-25,East
8,6,4,4,-26,East
9,6,4,2,-27,East
10,6,4,2,-28,East
10,5,3,6,171,South
10,4,3,6,170,South
9,4,3,6,169,West
8,4,3,5,168,West
8,3,3,6,167,South
7,3,3,4,166,West
6,3,3,4,165,West
5,3,3,6,164,West
5,4,3,4,163,North
5,5,3,4,162,North
5,6,3,2,161,North
5,7,2,14,360,North
6,7,2,12,359,East
6,7,2,13,358,East
6,6,2,13,357,South
7,6,2,12,356,East
8,6,2,11,355,East
9,6,2,9,354,East
10,6,2,9,353,East
10,7,2,9,352,North
10,8,2,10,351,North
10,9,2,10,350,North
10,10,2,11,349,North
10,11,2,13,348,North
10,12,2,15,347,North
11,12,2,14,346,East
12,12,2,13,345,East
13,12,2,12,344,East
13,11,2,10,343,South
13,10,2,10,342,South
13,9,2,8,341,South
13,8,2,6,340,South
13,7,2,4,339,South
13,6,2,4,338,South
13,5,2,2,337,South
13,4,2,1,336,South
13,3,1,10,535,South
14,3,1,8,534,East
15,3,1,7,533,East
16,3,1,7,532,East
17,3,1,5,531,East
18,3,1,5,530,East
19,3,1,4,529,East
20,3,1,2,528,East
21,3,1,2,527,East
22,3,1,2,526,East
23,3,1,2,525,East
24,3,1,2,524,East
