@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
3,5,1,4,504,South
17,13,4,8,-22,South
9,11,4,5,-12,South
3,4,1,3,503,South
1,3,3,12,167,South
5,4,1,10,551,South
15,6,4,4,-11,South
1,11,4,6,-13,South
3,9,2,5,358,South
11,5,3,2,161,South
13,4,3,8,185,South
11,5,3,2,161,South
1,15,4,10,-9,South
10,9,2,10,323,South
9,5,2,5,366,South
10,8,2,9,322,South
15,6,4,4,-11,South
5,7,3,10,173,South
11,3,2,9,359,South
11,3,2,9,359,South
3,9,2,5,358,South
1,8,4,5,-16,South
5,7,3,10,173,South
3,5,1,4,504,South
14,17,4,13,-15,South
14,9,3,6,145,South
13,9,2,7,342,South
1,6,1,5,507,South
1,11,4,6,-13,South
15,5,4,2,-12,South
20,14,3,16,156,South
1,8,4,5,-16,South
5,8,3,11,174,South
1,6,4,7,-18,South
9,3,2,5,364,South
9,5,2,5,366,South
11,4,3,1,164,South
14,7,3,2,143,South
1,17,4,12,-7,South
1,13,4,8,-11,South
1,7,4,6,-17,South
1,6,1,5,507,South
13,3,3,8,184,South
15,10,1,13,527,East
23,15,1,4,513,East
16,6,1,7,543,East
15,10,4,4,-5,East
22,15,4,3,-31,East
14,11,4,2,-17,East
9,6,3,5,168,East
17,11,3,8,180,East
14,6,2,3,338,East
7,4,1,8,549,East
3,5,4,4,-21,East
16,10,1,12,526,East
3,18,4,11,-4,East
6,3,3,7,162,East
20,14,4,6,-27,East
8,3,3,5,160,East
17,3,2,5,351,East
24,15,1,3,512,East
14,3,2,4,354,East
3,10,4,9,-7,East
7,14,1,2,555,East
13,18,4,16,-13,East
15,15,4,10,-18,East
2,13,4,12,-3,East
24,15,3,20,161,East
14,3,2,4,354,East
14,18,4,15,-14,East
15,10,1,13,527,East
2,6,1,5,506,East
4,3,3,9,164,East
6,12,2,7,372,East
22,15,4,3,-31,East
5,5,4,2,-23,East
24,15,4,3,-33,East
2,5,4,5,-20,East
13,3,2,2,360,East
21,15,1,6,515,East
9,3,3,4,159,East
22,15,4,3,-31,East
6,12,2,7,372,East
23,15,3,19,162,East
5,5,4,2,-23,East
8,13,4,8,-9,East
2,3,3,11,166,East
18,13,4,8,-23,East
5,4,1,1,501,East
14,3,2,4,354,East
3,18,4,13,-3,East
16,15,4,8,-19,East
16,10,1,12,526,East
20,13,1,5,518,East
23,15,3,19,162,East
18,3,2,6,350,East
24,15,3,20,161,East
8,14,1,1,554,East
12,18,4,16,-12,East
14,12,2,9,347,East
6,4,1,9,550,East
17,15,4,8,-20,East
15,10,4,4,-5,East
7,12,2,8,371,East
3,6,4,5,-20,East
4,10,4,8,-8,East
17,6,1,15,535,East
12,12,4,1,-18,East
15,6,2,2,337,East
14,10,4,3,-4,East
8,18,4,16,-8,East
8,13,4,8,-9,East
10,11,4,5,-13,East
10,11,4,5,-13,East
13,18,4,16,-13,East
14,10,4,3,-4,East
14,3,2,4,354,East
11,18,4,16,-11,East
7,12,2,8,371,East
12,3,1,4,543,East
13,3,2,2,360,East
3,10,4,9,-7,East
4,5,4,3,-22,East
4,10,4,8,-8,East
12,3,1,4,543,East
5,4,1,1,501,East
15,10,1,13,527,East
7,14,2,10,367,West
4,5,3,11,172,West
14,5,4,2,-13,West
23,15,3,18,160,West
15,6,3,2,173,West
17,11,3,10,150,West
12,12,2,18,328,West
7,3,3,2,178,West
17,11,3,10,150,West
13,3,1,12,556,West
12,3,3,8,183,West
5,3,1,6,548,West
9,3,3,2,180,West
10,3,1,11,553,West
10,12,2,14,326,West
13,10,2,8,344,West
6,6,2,3,316,West
10,3,1,11,553,West
12,3,3,8,183,West
14,5,4,2,-13,West
5,5,3,10,173,West
5,6,2,9,369,West
6,12,3,1,174,West
16,11,1,2,536,West
7,6,2,5,317,West
6,6,2,8,370,West
16,6,1,16,534,West
12,14,4,3,-12,West
14,6,1,18,532,West
4,5,3,11,172,West
2,3,1,3,545,West
5,3,3,3,176,West
10,12,2,14,326,West
13,3,1,12,556,West
12,12,2,18,328,West
19,11,3,12,152,West
9,6,2,6,319,West
7,6,2,5,317,West
12,14,4,3,-12,West
4,8,4,6,-13,West
20,15,3,16,157,West
12,3,1,12,555,West
16,6,3,3,174,West
21,15,3,18,158,West
6,5,3,9,174,West
13,10,2,8,344,West
15,6,3,2,173,West
5,6,2,9,369,West
8,3,1,9,551,West
11,6,2,4,369,West
16,6,2,1,345,West
12,12,2,18,328,West
5,3,1,6,548,West
16,11,3,10,149,West
14,6,3,2,172,West
7,12,3,2,175,West
11,12,3,6,179,West
18,11,3,10,151,West
16,11,1,2,536,West
12,12,3,7,180,West
10,6,2,4,368,West
3,9,2,6,364,West
10,3,1,11,553,West
22,14,4,2,-36,West
9,6,2,6,367,West
13,6,3,2,171,West
17,11,3,10,150,West
12,12,2,18,328,West
9,12,3,4,177,West
12,12,2,18,328,West
22,14,4,2,-36,West
1,6,1,5,511,West
1,3,1,3,544,West
15,6,1,17,533,West
2,5,3,13,170,West
11,14,4,4,-13,West
13,11,2,15,332,West
7,14,2,10,367,West
11,3,3,6,182,West
20,15,3,16,157,West
13,11,2,16,330,West
4,3,1,5,547,West
6,5,3,9,174,West
5,5,3,10,173,West
