@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R4,6-7'

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute score numeric
@attribute livingGhosts2 numeric
@attribute score2 numeric
@attribute class {Stop,North,South,East,West}

@data
6,9,1,575,1,574,North
6,10,1,574,1,573,North
6,11,1,573,1,572,North
6,12,1,572,0,771,North
1,11,4,0,4,-1,Stop
1,11,4,-1,4,-2,Stop
1,11,4,-2,4,-3,Stop
1,11,4,-3,4,-4,Stop
2,11,4,-4,4,-5,East
3,11,4,-5,4,-6,East
4,11,4,-6,4,-7,East
5,11,4,-7,4,-8,East
5,10,4,-8,4,-9,South
5,9,4,-9,3,190,South
6,9,3,190,3,189,East
6,10,3,189,3,188,North
6,11,3,188,3,187,North
7,11,3,187,2,386,East
8,11,2,386,2,385,East
9,11,2,385,2,384,East
10,11,2,384,2,383,East
10,10,2,383,2,382,South
10,9,2,382,2,381,South
11,9,2,381,2,380,East
12,9,2,380,2,379,East
13,9,2,379,2,378,East
14,9,2,378,2,377,East
14,8,2,377,2,376,South
14,7,2,376,1,575,South
14,6,1,575,1,574,South
14,5,1,574,1,573,South
13,5,1,573,1,572,West
12,5,1,572,1,571,West
11,5,1,571,1,570,West
10,5,1,570,1,569,West
9,5,1,569,1,568,West
8,5,1,568,1,567,West
7,5,1,567,0,766,West
1,11,4,0,4,-1,Stop
1,11,4,-1,4,-2,Stop
1,11,4,-2,4,-3,Stop
2,11,4,-3,4,-4,East
3,11,4,-4,4,-5,East
4,11,4,-5,4,-6,East
5,11,4,-6,4,-7,East
6,11,4,-7,4,-8,East
7,11,4,-8,3,191,East
8,11,3,191,2,390,East
9,11,2,390,2,389,East
10,11,2,389,2,388,East
10,10,2,388,2,387,South
10,9,2,387,2,386,South
10,8,2,386,2,385,South
10,7,2,385,2,484,South
10,6,2,384,2,383,South
10,5,2,383,2,382,South
11,5,2,382,2,381,East
10,5,2,381,2,380,West
9,5,2,380,2,379,West
9,4,2,379,2,378,South
9,3,2,378,2,377,South
9,3,2,377,2,376,South
9,3,2,376,2,375,South
9,3,2,375,2,374,South
9,3,2,374,2,373,South
10,3,2,373,1,572,East
11,3,1,572,1,571,East
11,3,1,571,1,570,East
11,4,1,570,1,569,North
11,5,1,569,1,568,North
12,5,1,568,1,567,East
13,5,1,567,1,566,East
14,5,1,566,1,565,East
14,6,1,565,1,564,North
14,7,1,564,1,563,North
14,8,1,563,1,562,North
1,6,4,0,4,-1,Stop
1,6,4,-1,4,-2,Stop
1,6,4,-2,4,-3,Stop
2,6,4,-3,4,-4,East
3,6,4,-4,4,-5,East
4,6,4,-5,4,-6,East
5,6,4,-6,4,-7,East
6,6,4,-7,3,192,East
7,6,3,192,3,191,East
8,6,3,191,3,190,East
9,6,3,190,3,189,East
10,6,3,189,3,188,East
11,6,3,188,3,187,East
12,6,3,187,3,186,East
13,6,3,186,3,185,East
14,6,3,185,3,184,East
15,6,3,184,3,183,East
16,6,3,183,3,182,East
16,5,3,182,3,181,South
16,4,3,181,3,180,South
16,3,3,180,3,179,South
15,3,3,179,3,178,West
14,3,3,178,3,177,West
13,3,3,177,2,376,West
12,3,2,376,2,375,West
11,3,2,375,2,374,West
10,3,2,374,2,373,West
9,3,2,373,2,372,West
8,3,2,372,2,371,West
8,4,2,371,2,370,North
8,4,2,370,2,369,North
8,4,2,369,2,368,North
8,4,2,368,2,367,North
8,4,2,367,2,366,North
7,4,2,366,2,365,West
6,4,2,365,2,364,West
5,4,2,364,2,363,West
4,4,2,363,2,362,West
3,4,2,362,1,561,West
2,4,1,561,1,560,West
3,4,1,560,1,559,East
4,4,1,559,1,558,East
5,4,1,558,1,557,East
6,4,1,557,1,556,East
7,4,1,556,1,555,East
8,4,1,555,1,554,East
9,4,1,554,1,553,East
10,4,1,553,1,552,East
11,4,1,552,1,551,East
12,4,1,551,1,550,East
13,4,1,550,1,549,East
14,4,1,549,1,548,East
15,4,1,548,1,547,East
16,4,1,547,1,546,East
17,4,1,546,1,545,East
18,4,1,545,1,544,East
18,5,1,544,1,543,North
18,6,1,543,1,542,North
17,6,1,542,1,541,West
16,6,1,541,1,540,West
15,6,1,540,1,539,West
14,6,1,539,1,538,West
14,5,1,538,0,737,South
1,6,4,0,4,-1,Stop
1,6,4,-1,4,-2,Stop
1,6,4,-2,4,-3,Stop
