@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R8

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute score numeric
@attribute pacmanX2 numeric
@attribute pacmanY2 numeric
@attribute score2 numeric
@attribute class {Stop,North,South,East,West}

@data
12,10,4,3,-2,13,10,-3,Stop
13,10,4,1,-3,14,10,-4,East
14,10,4,3,-4,14,11,-5,East
14,11,4,3,-5,13,11,-6,North
13,11,4,3,-6,13,12,-7,West
13,12,4,3,-7,13,13,-8,North
13,13,4,2,-8,14,13,-9,North
14,13,4,1,-9,14,14,190,East
14,14,3,11,190,14,14,189,North
14,14,3,10,189,14,13,188,North
14,13,3,10,188,14,12,187,South
14,12,3,8,187,14,11,186,South
14,11,3,7,186,14,10,185,South
14,10,3,5,185,14,9,184,South
14,9,3,3,184,13,9,183,South
13,9,3,3,183,13,8,182,West
13,8,3,1,182,13,7,181,South
13,7,3,2,181,12,7,180,South
12,7,3,2,180,12,8,179,West
12,8,3,1,179,13,8,378,North
13,8,2,11,378,12,8,377,East
12,8,2,9,377,11,8,376,West
11,8,2,9,376,10,8,375,West
10,8,2,8,375,9,8,374,West
9,8,2,7,374,8,8,373,West
8,8,2,7,373,8,9,372,West
8,9,2,7,372,8,10,371,North
8,10,2,7,371,8,11,370,North
8,11,2,6,370,8,12,369,North
8,12,2,6,369,7,12,368,North
7,12,2,5,368,6,12,367,West
6,12,2,3,367,5,12,366,West
5,12,2,2,366,4,12,365,West
4,12,2,1,365,3,12,564,West
3,12,1,8,564,4,12,563,West
4,12,1,8,563,5,12,562,East
5,12,1,10,562,6,12,561,East
6,12,1,10,561,7,12,560,East
7,12,1,12,560,7,11,559,East
7,11,1,10,559,7,10,558,South
7,10,1,8,558,7,9,557,South
7,9,1,6,557,7,8,556,South
7,8,1,5,556,7,7,555,South
7,7,1,5,555,7,6,554,South
7,6,1,3,554,6,6,553,South
6,6,1,2,553,5,6,552,West
5,6,1,1,552,5,5,751,West
12,10,4,3,0,12,10,-1,Stop
12,10,4,3,-1,12,10,-2,Stop
12,10,4,3,-2,13,10,-3,Stop
13,10,4,2,-3,14,10,-4,East
14,10,4,3,-4,14,11,-5,East
14,11,4,2,-5,13,11,-6,North
13,11,4,1,-6,13,12,193,West
13,12,3,6,193,13,11,192,North
13,11,3,5,192,13,10,191,South
13,10,3,4,191,13,9,190,South
13,9,3,3,190,13,8,189,South
13,8,3,2,189,13,7,188,South
13,7,3,1,188,13,6,387,South
13,6,2,8,387,12,6,386,South
12,6,2,7,386,11,6,385,West
11,6,2,6,385,10,6,384,West
10,6,2,5,384,9,6,383,West
9,6,2,4,383,8,6,382,West
8,6,2,3,382,7,6,381,West
7,6,2,2,381,6,6,380,West
6,6,2,1,380,5,6,579,West
5,6,1,6,579,5,7,578,West
5,7,1,5,578,6,7,577,North
6,7,1,6,577,6,8,576,East
6,8,1,5,576,6,9,575,North
6,9,1,4,575,6,10,574,North
6,10,1,3,574,6,11,573,North
6,11,1,2,573,6,12,572,North
6,12,1,1,572,5,12,771,North
1,11,4,7,0,1,11,-1,Stop
1,11,4,7,-1,1,11,-2,Stop
1,11,4,7,-2,1,11,-3,Stop
1,11,4,7,-3,2,11,-4,Stop
2,11,4,6,-4,3,11,-5,East
3,11,4,5,-5,4,11,-6,East
4,11,4,4,-6,5,11,-7,East
5,11,4,3,-7,5,10,-8,East
5,10,4,2,-8,5,9,-9,South
5,9,4,1,-9,6,9,190,South
6,9,3,4,190,6,10,189,East
6,10,3,3,189,6,11,188,North
6,11,3,2,188,7,11,187,North
7,11,3,1,187,8,11,386,East
8,11,2,8,386,9,11,385,East
9,11,2,9,385,10,11,384,East
10,11,2,9,384,10,10,383,East
10,10,2,8,383,10,9,382,South
10,9,2,7,382,11,9,381,South
11,9,2,6,381,12,9,380,East
12,9,2,5,380,13,9,379,East
13,9,2,4,379,14,9,378,East
14,9,2,3,378,14,8,377,East
14,8,2,2,377,14,7,376,South
14,7,2,1,376,14,6,575,South
14,6,1,9,575,14,5,574,South
14,5,1,8,574,13,5,573,South
13,5,1,7,573,12,5,572,West
12,5,1,6,572,11,5,571,West
11,5,1,5,571,10,5,570,West
10,5,1,4,570,9,5,569,West
9,5,1,3,569,8,5,568,West
8,5,1,2,568,7,5,567,West
7,5,1,1,567,6,5,766,West
1,11,4,7,0,1,11,-1,Stop
1,11,4,8,-1,1,11,-2,Stop
1,11,4,7,-2,2,11,-3,Stop
2,11,4,6,-3,3,11,-4,East
3,11,4,4,-4,4,11,-5,East
4,11,4,2,-5,5,11,-6,East
5,11,4,2,-6,6,11,-7,East
6,11,4,2,-7,7,11,-8,East
7,11,4,1,-8,8,11,191,East
8,11,3,1,191,9,11,390,East
9,11,2,7,390,10,11,389,East
10,11,2,7,389,10,10,388,East
10,10,2,6,388,10,9,387,South
10,9,2,4,387,10,8,386,South
10,8,2,4,386,10,7,385,South
10,7,2,4,385,10,6,484,South
10,6,2,4,384,10,5,383,South
10,5,2,2,383,11,5,382,South
11,5,2,2,382,10,5,381,East
10,5,2,3,381,9,5,380,West
9,5,2,3,380,9,4,379,West
9,4,2,3,379,9,3,378,South
9,3,2,2,378,9,3,377,South
9,3,2,1,377,9,3,376,South
9,3,2,2,376,9,3,375,South
9,3,2,3,375,9,3,374,South
9,3,2,2,374,10,3,373,South
10,3,2,1,373,11,3,572,East
11,3,1,7,572,11,3,571,East
11,3,1,8,571,11,4,570,East
11,4,1,7,570,11,5,569,North
11,5,1,5,569,12,5,568,North
12,5,1,3,568,13,5,567,East
13,5,1,5,567,14,5,566,East
14,5,1,6,566,14,6,565,East
14,6,1,4,565,14,7,564,North
14,7,1,4,564,14,8,563,North
14,8,1,2,563,14,9,562,North
1,6,4,7,0,1,6,-1,Stop
1,6,4,6,-1,1,6,-2,Stop
1,6,4,5,-2,2,6,-3,Stop
2,6,4,4,-3,3,6,-4,East
3,6,4,3,-4,4,6,-5,East
4,6,4,3,-5,5,6,-6,East
5,6,4,2,-6,6,6,-7,East
6,6,4,1,-7,7,6,192,East
7,6,3,4,192,8,6,191,East
8,6,3,4,191,9,6,190,East
9,6,3,2,190,10,6,189,East
10,6,3,4,189,11,6,188,East
11,6,3,4,188,12,6,187,East
12,6,3,5,187,13,6,186,East
13,6,3,4,186,14,6,185,East
14,6,3,4,185,15,6,184,East
15,6,3,2,184,16,6,183,East
16,6,3,4,183,16,5,182,East
16,5,3,2,182,16,4,181,South
16,4,3,2,181,16,3,180,South
16,3,3,2,180,15,3,179,South
15,3,3,2,179,14,3,178,West
14,3,3,1,178,13,3,177,West
13,3,3,1,177,12,3,376,West
12,3,2,3,376,11,3,375,West
11,3,2,3,375,10,3,374,West
10,3,2,4,374,9,3,373,West
9,3,2,6,373,8,3,372,West
8,3,2,7,372,8,4,371,West
8,4,2,7,371,8,4,370,North
8,4,2,7,370,8,4,369,North
8,4,2,6,369,8,4,368,North
8,4,2,7,368,8,4,367,North
8,4,2,7,367,7,4,366,North
7,4,2,6,366,6,4,365,West
6,4,2,6,365,5,4,364,West
5,4,2,4,364,4,4,363,West
4,4,2,2,363,3,4,362,West
3,4,2,1,362,2,4,561,West
2,4,1,13,561,3,4,560,West
3,4,1,11,560,4,4,559,East
4,4,1,11,559,5,4,558,East
5,4,1,10,558,6,4,557,East
6,4,1,9,557,7,4,556,East
7,4,1,7,556,8,4,555,East
8,4,1,7,555,9,4,554,East
9,4,1,7,554,10,4,553,East
10,4,1,6,553,11,4,552,East
11,4,1,4,552,12,4,551,East
12,4,1,4,551,13,4,550,East
13,4,1,3,550,14,4,549,East
14,4,1,3,549,15,4,548,East
15,4,1,2,548,16,4,547,East
16,4,1,1,547,17,4,546,East
17,4,1,2,546,18,4,545,East
18,4,1,2,545,18,5,544,East
18,5,1,4,544,18,6,543,North
18,6,1,6,543,17,6,542,North
17,6,1,4,542,16,6,541,West
16,6,1,2,541,15,6,540,West
15,6,1,2,540,14,6,539,West
14,6,1,3,539,14,5,538,West
14,5,1,1,538,14,4,737,South
1,6,4,7,0,1,6,-1,Stop
1,6,4,7,-1,1,6,-2,Stop
1,6,4,7,-2,1,6,-3,Stop
1,6,4,7,-3,2,6,-4,Stop
2,6,4,6,-4,3,6,-5,East
3,6,4,5,-5,4,6,-6,East
4,6,4,4,-6,5,6,-7,East
5,6,4,3,-7,6,6,-8,East
6,6,4,2,-8,7,6,-9,East
7,6,4,1,-9,8,6,190,East
8,6,3,4,190,9,6,189,East
9,6,3,5,189,10,6,188,East
10,6,3,4,188,11,6,187,East
11,6,3,3,187,12,6,186,East
12,6,3,4,186,13,6,185,East
13,6,3,3,185,14,6,184,East
14,6,3,2,184,15,6,183,East
15,6,3,1,183,16,6,382,East
16,6,2,8,382,16,5,381,East
16,5,2,7,381,16,4,380,South
16,4,2,6,380,16,3,379,South
16,3,2,5,379,15,3,378,South
15,3,2,4,378,14,3,377,West
14,3,2,3,377,13,3,376,West
13,3,2,2,376,12,3,375,West
12,3,2,1,375,11,3,574,West
11,3,1,6,574,10,3,573,West
10,3,1,5,573,9,3,572,West
9,3,1,4,572,8,3,571,West
8,3,1,3,571,7,3,570,West
7,3,1,2,570,6,3,569,West
6,3,1,1,569,6,4,768,West
