@RELATION pacman_info
   @ATTRIBUTE pacmanX NUMERIC
   @ATTRIBUTE pacmanY NUMERIC
   @ATTRIBUTE livingGhosts NUMERIC
   @ATTRIBUTE minGhost NUMERIC
   @ATTRIBUTE class {Stop, North, South, East, West}

@data
7,8,2,6,West
6,8,2,4,West
5,8,2,4,West
5,9,2,4,North
5,10,2,2,North
5,11,1,15,North
4,11,1,16,West
3,11,1,18,West
4,11,1,18,East
5,11,1,17,East
6,11,1,15,East
7,11,1,15,East
8,11,1,15,East
9,11,1,15,East
10,11,1,13,East
11,11,1,13,East
11,10,1,13,South
11,9,1,12,South
12,9,1,10,East
13,9,1,9,East
14,9,1,7,East
14,8,1,7,South
14,7,1,5,South
14,6,1,3,South
14,5,1,1,South
14,4,1,1,South
