@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-R4

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
3,5,1,504,South
14,17,4,-15,South
14,9,3,145,South
13,9,2,342,South
1,6,1,507,South
1,11,4,-13,South
15,5,4,-12,South
20,14,3,156,South
1,8,4,-16,South
5,8,3,174,South
1,6,4,-18,South
9,3,2,364,South
9,5,2,366,South
11,4,3,164,South
14,7,3,143,South
1,17,4,-7,South
1,13,4,-11,South
1,7,4,-17,South
1,6,1,507,South
13,3,3,184,South
15,10,1,527,East
23,15,1,513,East
16,6,1,543,East
15,10,4,-5,East
22,15,4,-31,East
14,11,4,-17,East
9,6,3,168,East
17,11,3,180,East
14,6,2,338,East
7,4,1,549,East
3,5,4,-21,East
16,10,1,526,East
3,18,4,-4,East
6,3,3,162,East
20,14,4,-27,East
8,3,3,160,East
17,3,2,351,East
24,15,1,512,East
14,3,2,354,East
3,10,4,-7,East
7,14,1,555,East
13,18,4,-13,East
15,15,4,-18,East
2,13,4,-3,East
24,15,3,161,East
14,3,2,354,East
14,18,4,-14,East
15,10,1,527,East
2,6,1,506,East
4,3,3,164,East
6,12,2,372,East
22,15,4,-31,East
5,5,4,-23,East
24,15,4,-33,East
2,5,4,-20,East
13,3,2,360,East
21,15,1,515,East
9,3,3,159,East
22,15,4,-31,East
6,12,2,372,East
23,15,3,162,East
5,5,4,-23,East
8,13,4,-9,East
2,3,3,166,East
18,13,4,-23,East
5,4,1,501,East
14,3,2,354,East
3,18,4,-3,East
16,15,4,-19,East
16,10,1,526,East
20,13,1,518,East
23,15,3,162,East
18,3,2,350,East
24,15,3,161,East
8,14,1,554,East
12,18,4,-12,East
14,12,2,347,East
6,4,1,550,East
17,15,4,-20,East
15,10,4,-5,East
7,12,2,371,East
3,6,4,-20,East
4,10,4,-8,East
17,6,1,535,East
12,12,4,-18,East
15,6,2,337,East
14,10,4,-4,East
8,18,4,-8,East
8,13,4,-9,East
10,11,4,-13,East
10,11,4,-13,East
13,18,4,-13,East
14,10,4,-4,East
14,3,2,354,East
11,18,4,-11,East
7,12,2,371,East
12,3,1,543,East
13,3,2,360,East
3,10,4,-7,East
4,5,4,-22,East
4,10,4,-8,East
12,3,1,543,East
5,4,1,501,East
