@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Remove-R5

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute class {Stop,North,South,East,West}

@data
13,3,1,12,South
13,4,1,11,North
13,4,1,12,North
13,3,1,10,South
13,3,1,11,South
13,3,1,12,South
13,3,1,13,South
13,4,1,13,North
13,5,1,13,North
12,5,1,11,West
11,5,1,9,West
10,5,1,9,West
9,5,1,8,West
8,5,1,8,West
8,6,1,7,North
8,6,1,8,North
8,7,1,6,North
7,7,1,6,West
6,7,1,5,West
5,7,1,5,West
4,7,1,5,West
3,7,1,3,West
2,7,1,1,West
12,10,4,3,Stop
12,11,4,1,North
12,12,4,1,North
12,11,4,1,South
12,12,4,2,North
12,11,3,8,South
12,12,3,7,North
12,13,3,6,North
11,13,3,6,West
11,12,3,5,South
10,12,3,3,West
9,12,3,3,West
9,11,3,3,South
9,12,3,2,North
8,12,3,2,West
7,12,3,1,West
6,12,2,8,West
6,11,2,8,South
6,10,2,7,South
6,9,2,6,South
7,9,2,6,East
8,9,2,6,East
8,8,2,5,South
9,8,2,4,East
10,8,2,4,East
11,8,2,4,East
11,9,2,4,North
12,9,2,4,East
12,8,2,4,South
13,8,2,3,East
14,8,2,3,East
14,9,2,3,North
15,9,2,3,East
15,8,2,3,South
16,8,2,1,East
17,8,1,21,East
17,7,1,20,South
17,6,1,18,South
17,5,1,16,South
17,4,1,16,South
16,4,1,16,West
16,3,1,14,South
15,3,1,14,West
15,4,1,14,North
14,4,1,14,West
14,3,1,13,South
13,3,1,11,West
12,3,1,11,West
12,4,1,10,North
11,4,1,10,West
11,3,1,8,South
10,3,1,8,West
9,3,1,8,West
9,4,1,8,North
9,5,1,6,North
8,5,1,5,West
7,5,1,5,West
6,5,1,5,West
6,6,1,5,North
5,6,1,5,West
5,7,1,5,North
5,8,1,5,North
5,7,1,5,South
5,6,1,3,South
4,6,1,3,West
4,5,1,3,South
3,5,1,2,West
2,5,1,1,West
