@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Remove-R3

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
8,7,2,379,South
7,7,2,378,West
6,7,1,377,West
5,7,4,576,West
5,6,2,575,South
4,6,2,574,West
1,6,7,0,Stop
1,5,7,-1,South
2,5,6,-2,East
2,6,4,-3,North
3,6,2,-4,East
4,6,2,-5,East
5,6,2,-6,East
6,6,2,-7,East
6,5,3,192,South
6,4,3,191,South
6,3,3,190,South
7,3,2,189,East
8,3,1,188,East
9,3,3,387,East
9,4,3,386,North
9,3,2,385,South
8,3,9,584,West
8,4,8,583,North
8,5,8,582,North
9,5,8,581,East
9,4,7,580,South
9,3,7,579,South
10,3,6,578,East
10,4,6,577,North
11,4,5,576,East
11,3,5,575,South
12,3,5,574,East
13,3,5,573,East
13,4,3,572,North
13,4,3,571,North
13,4,4,570,North
13,4,3,569,North
13,3,3,568,South
13,3,4,567,South
13,4,3,566,North
13,5,3,565,North
14,5,2,564,East
12,10,3,0,Stop
12,11,3,-1,North
12,12,1,-2,North
12,13,7,197,North
12,12,5,196,South
11,12,5,195,West
10,12,5,194,West
9,12,5,193,West
8,12,3,192,West
7,12,3,191,West
7,11,3,190,South
7,12,3,189,North
7,11,3,188,South
7,12,3,187,North
6,12,3,186,West
6,13,2,185,North
6,14,2,184,North
5,14,2,183,West
4,14,12,382,West
4,13,10,381,South
3,13,10,380,West
3,12,9,379,South
3,11,7,378,South
3,10,5,377,South
3,9,4,376,South
3,8,2,375,South
3,7,10,574,South
3,8,10,573,North
3,9,10,572,North
3,10,9,571,North
3,11,8,570,North
4,11,7,569,East
5,11,7,568,East
5,12,7,567,North
5,11,7,566,South
6,11,5,565,East
7,11,5,564,East
8,11,5,563,East
8,10,4,562,South
9,10,4,561,East
9,11,3,560,North
10,11,1,559,East
12,10,3,0,Stop
12,11,2,-1,North
12,12,7,198,North
11,12,6,197,West
10,12,6,196,West
10,13,6,195,North
10,12,6,194,South
10,11,4,193,South
9,11,3,192,West
8,11,2,191,West
7,11,2,190,West
6,11,2,189,West
5,11,2,188,West
5,10,1,187,South
4,10,16,586,West
4,9,15,585,South
4,8,15,584,South
4,7,15,583,South
4,6,15,582,South
4,5,15,581,South
4,6,15,580,North
4,7,13,579,North
4,7,12,578,North
4,7,13,577,North
4,8,11,576,North
5,8,9,575,East
6,8,9,574,East
7,8,8,573,East
8,8,6,572,East
9,8,5,571,East
10,8,5,570,East
11,8,4,569,East
12,8,4,568,East
13,8,4,567,East
13,9,3,566,North
13,10,3,565,North
13,11,2,564,North
