@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R6-8-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,7,6-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R4'

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}
@attribute score2 numeric

@data
0.5,0.2,0.333333,0.672727,East,387
0.5625,0.2,0.333333,0.671074,East,386
0.5625,0.133333,0.333333,0.669421,South,385
0.5625,0.066667,0.333333,0.667769,South,384
0.5625,0,0.333333,0.666116,South,583
0.625,0,0,0.995041,East,582
0.625,0.066667,0,0.993388,North,581
0.6875,0.066667,0,0.991736,East,580
0.6875,0.133333,0,0.990083,North,579
0.6875,0.2,0,0.98843,North,578
0.75,0.2,0,0.986777,East,577
0.8125,0.2,0,0.985124,East,576
0.875,0.2,0,0.983471,East,775
0.6875,0.466667,1,0.031405,Stop,-1
0.6875,0.533333,1,0.029752,North,-2
0.6875,0.6,1,0.028099,North,-3
0.75,0.6,1,0.026446,East,-4
0.75,0.533333,1,0.024793,South,-5
0.8125,0.533333,0.666667,0.353719,East,194
0.8125,0.466667,0.666667,0.352066,South,193
0.8125,0.4,0.666667,0.350413,South,192
0.8125,0.333333,0.666667,0.34876,South,191
0.75,0.333333,0.666667,0.347107,West,190
0.75,0.4,0.666667,0.345455,North,189
0.75,0.333333,0.666667,0.343802,South,188
0.6875,0.333333,0.333333,0.672727,West,387
0.6875,0.266667,0.333333,0.671074,South,386
0.625,0.266667,0.333333,0.669421,West,385
0.5625,0.266667,0.333333,0.667769,West,384
0.5,0.266667,0.333333,0.666116,West,383
0.5,0.2,0.333333,0.664463,South,382
0.5,0.266667,0.333333,0.66281,North,381
0.5,0.333333,0.333333,0.661157,North,380
0.4375,0.333333,0.333333,0.659504,West,379
0.4375,0.266667,0.333333,0.657851,South,378
0.375,0.266667,0.333333,0.656198,West,377
0.3125,0.266667,0.333333,0.654545,West,576
0.25,0.266667,0,0.983471,West,575
0.25,0.2,0,0.981818,South,574
0.1875,0.2,0,0.980165,West,573
0,0.2,1,0.031405,Stop,-1
0,0.133333,1,0.029752,South,-2
0.0625,0.133333,1,0.028099,East,-3
0.0625,0.2,1,0.026446,North,-4
0.125,0.2,1,0.024793,East,-5
0.1875,0.2,1,0.02314,East,-6
0.25,0.2,1,0.021488,East,-7
0.3125,0.2,1,0.019835,East,-8
0.3125,0.133333,0.666667,0.34876,South,191
0.3125,0.066667,0.666667,0.347107,South,190
0.3125,0,0.666667,0.345455,South,189
0.375,0,0.666667,0.343802,East,188
0.4375,0,0.666667,0.342149,East,387
0.5,0,0.333333,0.671074,East,386
0.5,0.066667,0.333333,0.669421,North,385
0.5,0,0.333333,0.667769,South,384
0.4375,0,0,0.996694,West,583
0.4375,0.066667,0,0.995041,North,582
0.4375,0.133333,0,0.993388,North,581
0.5,0.133333,0,0.991736,East,580
0.5,0.066667,0,0.990083,South,579
0.5,0,0,0.98843,South,578
0.5625,0,0,0.986777,East,577
0.5625,0.066667,0,0.985124,North,576
0.625,0.066667,0,0.983471,East,575
0.625,0,0,0.981818,South,574
0.6875,0,0,0.980165,East,573
0.75,0,0,0.978512,East,572
0.75,0.066667,0,0.97686,North,571
0.75,0.066667,0,0.975207,North,570
0.75,0.066667,0,0.973554,North,569
0.75,0.066667,0,0.971901,North,568
0.75,0,0,0.970248,South,567
0.75,0,0,0.968595,South,566
0.75,0.066667,0,0.966942,North,565
0.75,0.133333,0,0.965289,North,564
0.8125,0.133333,0,0.963636,East,563
0.6875,0.466667,1,0.031405,Stop,-1
0.6875,0.533333,1,0.029752,North,-2
0.6875,0.6,1,0.028099,North,197
0.6875,0.666667,0.666667,0.357025,North,196
0.6875,0.6,0.666667,0.355372,South,195
0.625,0.6,0.666667,0.353719,West,194
0.5625,0.6,0.666667,0.352066,West,193
0.5,0.6,0.666667,0.350413,West,192
0.4375,0.6,0.666667,0.34876,West,191
0.375,0.6,0.666667,0.347107,West,190
0.375,0.533333,0.666667,0.345455,South,189
0.375,0.6,0.666667,0.343802,North,188
0.375,0.533333,0.666667,0.342149,South,187
0.375,0.6,0.666667,0.340496,North,186
0.3125,0.6,0.666667,0.338843,West,185
0.3125,0.666667,0.666667,0.33719,North,184
0.3125,0.733333,0.666667,0.335537,North,183
0.25,0.733333,0.666667,0.333884,West,182
0.1875,0.733333,0.333333,0.66281,West,381
0.1875,0.666667,0.333333,0.661157,South,380
0.125,0.666667,0.333333,0.659504,West,379
0.125,0.6,0.333333,0.657851,South,378
0.125,0.533333,0.333333,0.656198,South,377
0.125,0.466667,0.333333,0.654545,South,376
0.125,0.4,0.333333,0.652893,South,375
0.125,0.333333,0.333333,0.65124,South,374
0.125,0.266667,0,0.980165,South,573
0.125,0.333333,0,0.978512,North,572
0.125,0.4,0,0.97686,North,571
0.125,0.466667,0,0.975207,North,570
0.125,0.533333,0,0.973554,North,569
0.1875,0.533333,0,0.971901,East,568
0.25,0.533333,0,0.970248,East,567
0.25,0.6,0,0.968595,North,566
0.25,0.533333,0,0.966942,South,565
0.3125,0.533333,0,0.965289,East,564
0.375,0.533333,0,0.963636,East,563
0.4375,0.533333,0,0.961983,East,562
0.4375,0.466667,0,0.960331,South,561
0.5,0.466667,0,0.958678,East,560
0.5,0.533333,0,0.957025,North,559
0.5625,0.533333,0,0.955372,East,758
0.6875,0.466667,1,0.031405,Stop,-1
0.6875,0.533333,1,0.029752,North,-2
0.6875,0.6,0.666667,0.358678,North,197
0.625,0.6,0.666667,0.357025,West,196
0.5625,0.6,0.666667,0.355372,West,195
0.5625,0.666667,0.666667,0.353719,North,194
0.5625,0.6,0.666667,0.352066,South,193
0.5625,0.533333,0.666667,0.350413,South,192
0.5,0.533333,0.666667,0.34876,West,191
0.4375,0.533333,0.666667,0.347107,West,190
0.375,0.533333,0.666667,0.345455,West,189
0.3125,0.533333,0.666667,0.343802,West,188
0.25,0.533333,0.666667,0.342149,West,187
0.25,0.466667,0.666667,0.340496,South,386
0.1875,0.466667,0,1,West,585
0.1875,0.4,0,0.998347,South,584
0.1875,0.333333,0,0.996694,South,583
0.1875,0.266667,0,0.995041,South,582
0.1875,0.2,0,0.993388,South,581
0.1875,0.133333,0,0.991736,South,580
0.1875,0.2,0,0.990083,North,579
0.1875,0.266667,0,0.98843,North,578
0.1875,0.266667,0,0.986777,North,577
0.1875,0.266667,0,0.985124,North,576
0.1875,0.333333,0,0.983471,North,575
0.25,0.333333,0,0.981818,East,574
0.3125,0.333333,0,0.980165,East,573
0.375,0.333333,0,0.978512,East,572
0.4375,0.333333,0,0.97686,East,571
0.5,0.333333,0,0.975207,East,570
0.5625,0.333333,0,0.973554,East,569
0.625,0.333333,0,0.971901,East,568
0.6875,0.333333,0,0.970248,East,567
0.75,0.333333,0,0.968595,East,566
0.75,0.4,0,0.966942,North,565
0.75,0.466667,0,0.965289,North,564
0.75,0.533333,0,0.963636,North,563
