@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R6-8-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,7,6-weka.filters.unsupervised.attribute.Remove-R6'

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute score numeric
@attribute score2 numeric

@data
16,6,3,4,183,182
16,5,3,2,182,181
16,4,3,2,181,180
16,3,3,2,180,179
15,3,3,2,179,178
14,3,3,1,178,177
13,3,3,1,177,376
12,3,2,3,376,375
11,3,2,3,375,374
10,3,2,4,374,373
9,3,2,6,373,372
8,3,2,7,372,371
8,4,2,7,371,370
8,4,2,7,370,369
8,4,2,6,369,368
8,4,2,7,368,367
8,4,2,7,367,366
7,4,2,6,366,365
6,4,2,6,365,364
5,4,2,4,364,363
4,4,2,2,363,362
3,4,2,1,362,561
2,4,1,13,561,560
3,4,1,11,560,559
4,4,1,11,559,558
5,4,1,10,558,557
6,4,1,9,557,556
7,4,1,7,556,555
8,4,1,7,555,554
9,4,1,7,554,553
10,4,1,6,553,552
11,4,1,4,552,551
12,4,1,4,551,550
13,4,1,3,550,549
14,4,1,3,549,548
15,4,1,2,548,547
16,4,1,1,547,546
17,4,1,2,546,545
18,4,1,2,545,544
18,5,1,4,544,543
18,6,1,6,543,542
17,6,1,4,542,541
16,6,1,2,541,540
15,6,1,2,540,539
14,6,1,3,539,538
14,5,1,1,538,737
1,6,4,7,0,-1
1,6,4,7,-1,-2
1,6,4,7,-2,-3
1,6,4,7,-3,-4
2,6,4,6,-4,-5
3,6,4,5,-5,-6
4,6,4,4,-6,-7
5,6,4,3,-7,-8
6,6,4,2,-8,-9
7,6,4,1,-9,190
8,6,3,4,190,189
9,6,3,5,189,188
10,6,3,4,188,187
11,6,3,3,187,186
12,6,3,4,186,185
13,6,3,3,185,184
14,6,3,2,184,183
15,6,3,1,183,382
16,6,2,8,382,381
16,5,2,7,381,380
16,4,2,6,380,379
16,3,2,5,379,378
15,3,2,4,378,377
14,3,2,3,377,376
13,3,2,2,376,375
12,3,2,1,375,574
11,3,1,6,574,573
10,3,1,5,573,572
9,3,1,4,572,571
8,3,1,3,571,570
7,3,1,2,570,569
6,3,1,1,569,768
1,6,4,7,0,-1
1,6,4,6,-1,-2
1,6,4,6,-2,-3
1,6,4,5,-3,-4
2,6,4,5,-4,-5
3,6,4,3,-5,-6
4,6,4,3,-6,-7
5,6,4,2,-7,-8
6,6,4,1,-8,191
7,6,3,3,191,190
7,5,3,2,190,189
7,4,3,1,189,188
7,3,3,1,188,187
7,3,2,2,387,386
7,3,2,2,386,385
6,3,2,2,385,384
5,3,2,3,384,383
6,3,2,2,383,382
6,4,2,2,382,381
6,4,2,1,381,580
7,4,1,7,580,579
7,3,1,7,579,578
7,3,1,8,578,577
8,3,1,6,577,576
9,3,1,5,576,575
10,3,1,4,575,574
11,3,1,2,574,573
12,3,1,1,573,772
1,11,4,7,0,-1
1,11,4,6,-1,-2
1,11,4,6,-2,-3
2,11,4,4,-3,-4
3,11,4,4,-4,-5
4,11,4,2,-5,-6
5,11,4,1,-6,-7
6,11,4,2,-7,-8
6,10,3,3,192,191
6,9,3,1,191,390
6,8,2,6,390,389
7,8,2,4,389,388
8,8,2,4,388,387
8,7,2,4,387,386
8,6,2,4,386,385
8,5,2,3,385,384
7,5,2,2,384,383
6,5,2,2,383,382
5,5,2,2,382,381
6,5,2,4,381,380
7,5,2,5,380,379
6,5,2,3,379,378
5,5,2,1,378,577
4,5,1,15,577,576
3,5,1,15,576,575
4,5,1,15,575,574
5,5,1,15,574,573
6,5,1,14,573,572
7,5,1,14,572,571
8,5,1,13,571,570
9,5,1,12,570,569
10,5,1,10,569,568
11,5,1,10,568,567
12,5,1,8,567,566
13,5,1,8,566,565
14,5,1,7,565,564
14,6,1,7,564,563
14,7,1,6,563,562
14,8,1,6,562,561
15,8,1,5,561,560
16,8,1,5,560,559
16,9,1,3,559,558
16,9,1,3,558,557
17,9,1,3,557,556
18,9,1,2,556,555
18,10,1,1,555,754
1,6,4,7,0,-1
1,6,4,7,-1,-2
1,6,4,7,-2,-3
2,6,4,6,-3,-4
3,6,4,5,-4,-5
4,6,4,4,-5,-6
5,6,4,3,-6,-7
6,6,4,2,-7,-8
7,6,4,1,-8,191
8,6,3,4,191,190
9,6,3,5,190,189
10,6,3,4,189,188
11,6,3,3,188,187
12,6,3,4,187,186
13,6,3,3,186,185
14,6,3,2,185,184
15,6,3,1,184,383
16,6,2,8,383,382
16,5,2,7,382,381
16,4,2,6,381,380
15,4,2,5,380,379
14,4,2,4,379,378
13,4,2,3,378,377
13,3,2,2,377,376
12,3,2,1,376,575
11,3,1,6,575,574
10,3,1,5,574,573
10,4,1,4,573,572
9,4,1,3,572,571
8,4,1,2,571,570
7,4,1,1,570,769
12,10,4,3,0,-1
12,10,4,3,-1,-2
13,10,4,1,-2,-3
14,10,4,3,-3,-4
15,10,4,4,-4,-5
14,10,4,3,-5,-6
14,9,4,3,-6,-7
14,8,4,2,-7,-8
13,8,3,4,192,191
12,8,3,6,191,190
12,9,3,4,190,189
12,10,3,2,189,188
12,11,3,2,188,187
13,11,3,2,187,186
13,10,3,1,186,185
13,9,3,2,185,184
13,8,3,2,184,183
14,8,3,2,183,182
14,9,3,2,182,181
13,9,3,2,181,180
12,9,3,2,180,179
11,9,3,2,179,178
10,9,3,2,178,177
9,9,3,4,177,176
9,8,3,2,176,175
9,7,3,3,175,174
10,7,3,3,174,173
11,7,3,1,173,372
11,8,2,4,372,371
11,9,2,3,371,370
11,10,2,2,370,369
12,10,2,2,369,368
13,10,2,3,368,367
13,11,2,3,367,366
13,12,2,1,366,565
12,12,1,11,565,564
11,12,1,10,564,563
10,12,1,8,563,562
