@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute ticks numeric
@attribute class {Stop,North,South,East,West}

@data
3,1,15,East
2,9,16,East
2,9,17,North
2,9,18,North
2,7,19,East
2,7,20,East
2,7,21,East
2,5,22,North
2,5,23,North
2,4,24,East
2,4,25,East
2,4,26,East
2,4,27,East
2,2,28,East
2,2,29,East
2,1,30,East
1,11,31,East
1,9,32,South
1,7,33,South
1,7,34,South
1,7,35,South
1,7,36,South
1,6,37,South
1,5,38,South
1,5,39,South
1,4,40,West
1,3,41,West
1,1,42,West
4,7,0,Stop
4,6,1,South
4,5,2,South
4,3,3,East
4,3,4,East
4,1,5,East
3,4,6,East
3,4,7,South
3,3,8,South
3,5,9,East
3,5,10,West
3,3,11,West
3,3,12,West
3,5,13,East
3,3,14,West
3,5,15,East
3,5,16,West
3,4,17,West
3,4,18,East
3,4,19,West
3,4,20,West
3,3,21,South
3,3,22,South
3,1,23,South
2,13,24,East
2,13,25,North
2,13,26,East
2,11,27,East
2,9,28,East
2,9,29,East
2,7,30,East
2,7,31,East
2,6,32,North
2,4,33,North
2,4,34,East
2,3,35,North
2,2,36,East
2,3,37,East
2,2,38,South
2,3,39,South
2,3,40,North
2,3,41,North
2,4,42,North
2,3,43,North
2,3,44,East
2,3,45,East
2,2,46,East
2,2,47,East
2,2,48,East
2,2,49,East
1,5,50,South
1,3,51,North
1,1,52,West
4,7,0,Stop
4,6,1,South
4,5,2,South
4,5,3,East
4,5,4,East
4,3,5,East
4,1,6,East
3,2,7,East
2,7,8,North
2,5,9,South
2,3,10,South
2,3,11,South
2,5,12,East
2,3,13,West
2,2,14,West
2,3,15,East
2,2,16,West
2,4,17,East
2,4,18,West
2,4,19,West
2,5,20,East
2,3,21,West
2,3,22,East
2,3,23,West
2,2,24,West
2,2,25,East
2,4,26,East
2,2,27,West
2,4,28,East
2,4,29,West
2,3,30,West
2,5,31,East
2,5,32,West
2,3,33,West
2,3,34,East
2,2,35,West
2,4,36,East
2,4,37,West
2,4,38,West
2,3,39,South
2,1,40,South
1,16,41,South
1,14,42,East
1,14,43,East
1,14,44,East
1,14,45,East
1,12,46,East
1,12,47,South
1,10,48,East
1,10,49,North
1,8,50,East
1,8,51,South
1,6,52,North
1,6,53,East
1,6,54,East
1,4,55,East
1,4,56,North
1,3,57,East
1,3,58,East
1,3,59,East
1,1,60,South
4,7,0,Stop
4,7,1,South
4,6,2,South
4,6,3,East
4,6,4,East
4,4,5,East
4,3,6,East
4,3,7,North
4,2,8,North
4,1,9,East
3,4,10,East
3,4,11,East
3,4,12,East
3,5,13,East
3,5,14,South
3,4,15,South
3,3,16,South
3,2,17,South
3,2,18,South
2,8,19,South
2,8,20,North
2,6,21,North
2,6,22,West
2,4,23,West
2,4,24,West
2,4,25,West
2,2,26,North
2,2,27,West
2,2,28,North
2,2,29,South
2,2,30,West
1,12,31,South
1,12,32,East
1,12,33,East
1,11,34,East
1,9,35,East
1,7,36,South
1,5,37,South
1,5,38,East
1,3,39,East
1,3,40,East
1,3,41,East
1,1,42,East
1,3,43,South
1,3,44,North
1,3,45,East
1,2,46,North
1,2,47,North
1,2,48,East
1,2,49,North
1,2,50,West
4,7,0,Stop
4,6,1,South
4,4,2,South
4,4,3,East
4,3,4,South
4,3,5,East
4,3,6,North
4,1,7,South
3,5,8,East
3,3,9,South
3,2,10,East
3,4,11,East
3,3,12,West
3,5,13,East
3,5,14,West
3,3,15,West
3,3,16,East
3,3,17,West
3,2,18,East
3,4,19,East
3,3,20,West
3,4,21,East
3,4,22,West
3,4,23,West
3,2,24,East
3,4,25,East
3,4,26,West
3,3,27,East
3,1,28,North
2,9,29,North
2,7,30,South
2,5,31,South
2,4,32,West
2,4,33,West
2,3,34,West
2,4,35,East
2,4,36,West
2,2,37,East
2,2,38,East
2,4,39,East
2,4,40,West
2,4,41,West
2,4,42,East
2,3,43,West
2,4,44,East
2,4,45,West
2,4,46,East
2,4,47,East
2,6,48,East
2,4,49,West
2,3,50,West
2,3,51,East
2,3,52,East
2,3,53,West
2,4,54,East
2,2,55,West
2,4,56,East
2,3,57,West
2,2,58,West
2,4,59,East
2,4,60,West
2,4,61,East
2,4,62,East
2,4,63,West
2,2,64,East
2,4,65,East
2,4,66,South
2,3,67,South
2,3,68,South
2,3,69,South
2,1,70,West
2,2,71,North
2,1,72,West
1,3,73,West
1,1,74,South
4,7,0,Stop
4,6,1,South
4,6,2,South
4,6,3,South
4,6,4,North
4,6,5,East
4,4,6,South
4,4,7,East
4,3,8,North
4,2,9,East
4,2,10,East
4,2,11,North
4,2,12,North
4,1,13,South
3,5,14,East
3,4,15,East
3,5,16,East
3,5,17,South
3,4,18,North
3,4,19,North
3,5,20,North
3,3,21,South
3,1,22,East
2,6,23,East
2,6,24,South
2,6,25,South
2,6,26,South
2,4,27,South
2,3,28,East
2,1,29,East
1,6,30,East
1,4,31,East
1,3,32,East
1,1,33,East
4,7,0,Stop
4,5,1,South
4,3,2,South
4,1,3,East
3,5,4,East
3,5,5,East
3,3,6,South
3,3,7,South
3,3,8,West
3,3,9,East
3,5,10,East
3,4,11,West
3,3,12,East
3,2,13,North
3,2,14,North
3,2,15,North
3,2,16,North
3,1,17,East
2,7,18,East
2,7,19,East
2,7,20,East
2,7,21,East
2,5,22,South
2,3,23,South
2,3,24,South
2,4,25,North
2,4,26,South
2,4,27,South
2,4,28,South
2,3,29,South
2,4,30,South
2,4,31,South
2,5,32,South
2,6,33,South
2,5,34,North
2,5,35,North
2,3,36,East
2,1,37,North
1,15,38,East
1,14,39,West
1,14,40,South
1,13,41,South
1,13,42,West
1,13,43,South
1,11,44,South
1,10,45,South
1,8,46,South
1,8,47,West
1,8,48,South
1,8,49,South
1,7,50,West
1,6,51,West
1,6,52,West
1,4,53,North
1,4,54,West
1,4,55,North
1,4,56,South
1,4,57,South
1,4,58,West
1,2,59,North
4,7,0,Stop
4,7,1,South
4,5,2,South
4,3,3,East
4,3,4,East
4,3,5,East
4,3,6,South
4,3,7,East
4,3,8,East
4,3,9,East
4,1,10,East
3,2,11,East
3,2,12,North
3,1,13,East
2,4,14,North
2,4,15,South
2,2,16,East
1,12,17,East
1,11,18,South
1,9,19,South
1,10,20,South
1,10,21,South
1,9,22,South
1,10,23,South
1,10,24,South
1,10,25,South
1,10,26,South
1,9,27,South
1,9,28,South
1,9,29,South
1,8,30,South
1,7,31,South
1,7,32,South
1,6,33,South
1,6,34,South
1,7,35,South
1,7,36,South
1,8,37,South
1,8,38,South
1,7,39,South
1,8,40,South
1,7,41,South
1,6,42,South
1,5,43,South
1,6,44,South
1,6,45,South
1,7,46,South
1,7,47,South
1,7,48,South
1,7,49,South
1,8,50,South
1,7,51,South
1,8,52,South
1,9,53,South
1,8,54,South
1,9,55,South
1,8,56,South
1,8,57,South
1,9,58,South
1,10,59,South
1,9,60,South
1,10,61,South
1,11,62,South
1,11,63,South
1,12,64,South
1,11,65,South
1,10,66,South
1,11,67,South
1,12,68,South
1,11,69,South
1,12,70,South
1,11,71,South
1,10,72,South
1,11,73,South
1,12,74,South
1,13,75,South
1,12,76,South
1,12,77,South
1,11,78,South
1,12,79,South
1,11,80,South
1,12,81,South
1,12,82,South
1,13,83,South
1,12,84,South
1,12,85,South
1,11,86,South
1,10,87,South
1,9,88,South
1,10,89,South
1,10,90,South
1,10,91,South
1,11,92,South
1,10,93,North
1,11,94,North
1,11,95,North
1,11,96,North
1,12,97,North
1,10,98,South
1,10,99,South
1,9,100,South
1,9,101,South
1,9,102,South
1,10,103,South
1,10,104,North
1,9,105,South
1,8,106,South
1,9,107,South
1,9,108,North
1,10,109,North
1,10,110,South
1,10,111,North
1,11,112,North
1,11,113,South
1,11,114,North
1,10,115,South
1,10,116,South
1,10,117,South
1,11,118,South
1,11,119,South
1,12,120,South
1,11,121,South
1,11,122,South
1,12,123,South
1,10,124,North
1,10,125,North
1,10,126,North
1,11,127,North
1,11,128,North
1,11,129,West
1,11,130,North
1,9,131,North
1,9,132,West
1,9,133,West
1,8,134,West
1,8,135,West
1,6,136,West
1,5,137,South
1,5,138,West
1,3,139,North
1,2,140,West
4,7,0,Stop
4,6,1,South
4,5,2,South
4,5,3,East
4,3,4,South
4,1,5,East
3,6,6,East
3,6,7,South
3,5,8,East
3,5,9,East
3,5,10,East
3,5,11,East
3,4,12,South
3,3,13,South
3,2,14,South
3,2,15,South
2,9,16,North
2,7,17,North
2,6,18,North
2,5,19,North
2,4,20,East
2,4,21,East
2,3,22,East
2,2,23,North
2,3,24,North
2,2,25,North
2,3,26,North
2,2,27,South
2,2,28,South
2,2,29,South
2,3,30,South
2,2,31,South
2,3,32,South
2,2,33,North
1,3,34,North
1,3,35,South
1,3,36,North
1,3,37,South
1,3,38,South
1,2,39,South
1,3,40,South
1,1,41,North
4,7,0,Stop
4,5,1,South
4,4,2,South
4,4,3,East
4,4,4,South
4,3,5,North
4,3,6,East
4,1,7,South
3,4,8,East
3,4,9,South
3,4,10,West
3,4,11,East
3,2,12,West
3,3,13,East
3,2,14,West
3,2,15,East
3,3,16,East
3,3,17,West
3,3,18,West
3,3,19,East
3,3,20,North
3,3,21,North
3,3,22,South
3,3,23,North
3,3,24,East
3,3,25,South
3,3,26,North
3,2,27,East
3,2,28,East
3,1,29,South
2,10,30,East
2,10,31,South
2,10,32,South
2,8,33,South
2,8,34,South
2,7,35,South
2,6,36,West
2,5,37,West
2,3,38,West
2,2,39,West
2,1,40,West
1,17,41,West
1,15,42,North
1,14,43,East
1,12,44,East
1,12,45,East
1,12,46,East
1,12,47,South
1,12,48,East
1,12,49,North
1,10,50,North
1,9,51,East
1,9,52,East
1,8,53,East
1,8,54,South
1,8,55,East
1,7,56,South
1,6,57,South
1,6,58,South
1,7,59,South
1,7,60,South
1,7,61,South
1,8,62,South
1,7,63,South
1,7,64,North
1,8,65,North
1,9,66,North
1,7,67,North
1,5,68,East
1,5,69,East
1,5,70,East
1,5,71,East
1,3,72,South
1,5,73,South
1,5,74,North
1,5,75,North
1,3,76,East
1,3,77,East
1,5,78,East
1,4,79,North
1,4,80,North
1,4,81,North
1,2,82,West
1,3,83,South
1,2,84,North
1,2,85,West
1,2,86,West
1,2,87,South
1,1,88,West
4,7,0,Stop
4,6,1,South
4,4,2,South
4,3,3,East
4,3,4,East
4,3,5,South
4,2,6,East
4,2,7,East
4,2,8,South
4,1,9,East
3,4,10,East
3,2,11,North
3,1,12,North
2,7,13,West
2,7,14,South
2,7,15,South
2,5,16,West
2,5,17,West
2,4,18,West
2,5,19,East
2,4,20,West
2,4,21,East
2,4,22,West
2,6,23,East
2,6,24,West
2,4,25,West
2,3,26,West
2,2,27,South
2,1,28,South
1,15,29,South
1,15,30,North
1,14,31,North
1,14,32,North
1,14,33,East
1,12,34,East
1,12,35,East
1,12,36,East
1,12,37,East
1,10,38,East
1,10,39,North
1,11,40,South
1,11,41,North
1,10,42,East
1,10,43,South
1,10,44,East
1,8,45,East
1,9,46,North
1,9,47,South
1,8,48,South
1,9,49,South
1,9,50,North
1,8,51,North
1,10,52,North
1,10,53,South
1,10,54,South
1,8,55,South
1,6,56,South
1,6,57,East
1,5,58,East
1,4,59,South
1,5,60,South
1,4,61,South
1,4,62,South
1,5,63,South
1,6,64,South
1,7,65,South
1,6,66,South
1,4,67,North
1,5,68,North
1,6,69,North
1,4,70,North
1,4,71,East
1,2,72,East
1,1,73,East
4,7,0,Stop
4,5,1,South
4,5,2,South
4,5,3,South
4,5,4,South
4,5,5,North
4,5,6,East
4,3,7,East
4,2,8,East
3,2,9,East
2,6,10,South
2,6,11,South
2,6,12,East
2,6,13,East
2,5,14,East
2,3,15,East
2,3,16,East
2,1,17,North
2,3,18,North
2,3,19,South
2,3,20,South
2,3,21,East
2,1,22,East
2,1,23,South
1,15,24,North
1,13,25,South
1,13,26,South
1,12,27,South
1,11,28,South
1,10,29,South
1,11,30,South
1,10,31,South
1,11,32,South
1,10,33,South
1,9,34,South
1,10,35,South
1,11,36,South
1,12,37,South
1,11,38,South
1,10,39,South
1,11,40,South
1,10,41,South
1,9,42,South
1,8,43,South
1,7,44,South
1,6,45,South
1,6,46,South
1,5,47,South
1,5,48,South
1,4,49,South
1,5,50,South
1,5,51,South
1,4,52,South
1,5,53,South
1,6,54,South
1,7,55,South
1,8,56,South
1,9,57,South
1,8,58,South
1,7,59,South
1,7,60,South
1,8,61,South
1,9,62,South
1,10,63,South
1,9,64,South
1,9,65,South
1,8,66,South
1,9,67,South
1,10,68,South
1,11,69,South
1,11,70,South
1,11,71,South
1,11,72,South
1,12,73,South
1,11,74,South
1,12,75,South
1,11,76,South
1,10,77,South
1,9,78,South
1,8,79,South
1,9,80,South
1,9,81,South
1,9,82,South
1,8,83,South
1,8,84,South
1,9,85,South
1,8,86,South
1,7,87,South
1,8,88,South
1,7,89,South
1,7,90,South
1,6,91,South
1,6,92,South
1,5,93,South
1,6,94,South
1,5,95,South
1,4,96,South
1,3,97,South
1,4,98,South
1,2,99,North
1,3,100,North
1,2,101,North
1,2,102,West
1,2,103,North
1,1,104,South
4,7,0,Stop
4,7,1,South
4,7,2,South
4,7,3,South
4,7,4,South
4,7,5,South
4,7,6,South
4,7,7,East
4,7,8,East
4,7,9,East
4,6,10,East
4,4,11,East
4,4,12,East
4,2,13,East
3,8,14,East
3,8,15,North
3,6,16,North
3,4,17,North
3,2,18,North
2,7,19,East
2,5,20,North
2,4,21,North
2,5,22,North
2,3,23,South
2,2,24,West
2,1,25,West
1,10,26,West
1,8,27,East
1,7,28,East
1,6,29,East
1,4,30,North
1,4,31,North
1,4,32,South
1,3,33,North
1,3,34,East
1,3,35,East
1,1,36,East
4,7,0,Stop
4,6,1,South
4,6,2,South
4,6,3,East
4,6,4,South
4,5,5,East
4,5,6,East
4,3,7,East
4,3,8,East
4,3,9,South
4,1,10,East
3,3,11,East
3,3,12,South
3,2,13,South
3,2,14,West
3,2,15,South
3,2,16,South
2,9,17,North
2,7,18,North
2,6,19,East
2,6,20,North
2,6,21,North
2,6,22,North
2,5,23,North
2,3,24,West
2,1,25,West
1,12,26,West
1,11,27,South
1,9,28,South
1,8,29,East
1,8,30,East
1,6,31,East
1,8,32,South
1,6,33,North
1,6,34,North
