@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R3-4

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute ticks numeric
@attribute class {Stop,North,South,East,West}

@data
4,7,35,East
5,7,36,East
6,7,37,East
7,7,38,East
7,8,39,North
7,7,40,South
7,8,41,North
8,8,42,East
8,7,43,South
9,7,44,East
10,7,45,East
10,8,46,North
10,7,47,South
10,7,48,South
10,6,49,South
10,7,50,North
10,7,51,North
10,8,52,North
10,7,53,South
10,6,54,South
10,5,55,South
10,4,56,South
11,4,57,East
11,4,58,East
11,3,59,South
11,3,60,South
11,3,61,South
11,3,62,South
11,3,63,South
11,3,64,South
11,3,65,South
11,3,66,South
11,4,67,North
11,4,68,North
11,4,69,North
11,5,70,North
12,5,71,East
13,5,72,East
14,5,73,East
1,11,0,Stop
1,10,1,South
1,10,2,South
1,10,3,South
1,10,4,South
1,11,5,North
2,11,6,East
3,11,7,East
4,11,8,East
5,11,9,East
5,10,10,South
5,9,11,South
6,9,12,East
7,9,13,East
8,9,14,East
9,9,15,East
10,9,16,East
10,10,17,North
10,11,18,North
10,10,19,South
10,9,20,South
11,9,21,East
12,9,22,East
12,8,23,South
12,9,24,North
12,8,25,South
12,7,26,South
12,7,27,South
12,7,28,South
12,7,29,South
12,7,30,South
12,7,31,South
12,7,32,South
12,7,33,South
12,7,34,South
12,7,35,South
12,7,36,South
12,7,37,South
12,7,38,South
12,7,39,South
12,7,40,South
12,7,41,South
12,7,42,South
12,7,43,South
12,7,44,South
12,7,45,South
12,7,46,South
12,7,47,South
12,7,48,South
12,7,49,South
12,7,50,South
12,7,51,South
12,7,52,South
12,7,53,South
12,7,54,South
12,7,55,South
12,7,56,South
12,7,57,South
12,7,58,South
12,7,59,South
12,7,60,South
12,7,61,South
12,7,62,South
12,7,63,South
12,7,64,South
12,7,65,South
12,7,66,South
12,7,67,South
12,7,68,South
12,7,69,South
12,7,70,South
12,7,71,South
12,7,72,South
12,7,73,South
12,7,74,South
12,7,75,South
12,7,76,South
12,7,77,South
12,7,78,South
12,7,79,South
12,7,80,South
12,7,81,South
12,7,82,South
12,7,83,South
12,7,84,South
12,7,85,South
12,7,86,South
12,7,87,South
12,7,88,South
12,7,89,South
12,7,90,South
12,7,91,South
12,7,92,South
12,7,93,South
12,7,94,South
12,7,95,South
12,7,96,South
12,7,97,South
12,7,98,South
12,8,99,North
12,8,100,North
12,9,101,North
11,9,102,West
11,10,103,North
11,9,104,South
