@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R3

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute minGhost numeric
@attribute ticks numeric
@attribute class {Stop,North,South,East,West}

@data
3,8,1,7,South
4,8,4,8,East
4,7,4,9,South
3,7,4,10,West
4,7,4,11,East
3,7,2,12,West
4,7,3,13,East
3,7,2,14,West
4,7,2,15,East
5,7,3,16,East
4,7,3,17,West
3,7,3,18,West
4,7,3,19,East
4,8,3,20,North
4,9,3,21,North
4,8,3,22,South
4,9,3,23,North
5,9,3,24,East
5,8,3,25,South
5,9,3,26,North
6,9,2,27,East
7,9,2,28,East
7,8,1,29,South
8,8,10,30,East
8,7,10,31,South
8,6,10,32,South
8,5,8,33,South
8,4,8,34,South
8,3,7,35,South
7,3,6,36,West
6,3,5,37,West
5,3,3,38,West
4,3,2,39,West
3,3,1,40,West
2,3,17,41,West
2,4,15,42,North
3,4,14,43,East
4,4,12,44,East
5,4,12,45,East
6,4,12,46,East
6,3,12,47,South
7,3,12,48,East
7,4,12,49,North
7,5,10,50,North
8,5,9,51,East
9,5,9,52,East
10,5,8,53,East
10,4,8,54,South
11,4,8,55,East
11,3,7,56,South
11,3,6,57,South
11,3,6,58,South
11,3,7,59,South
11,3,7,60,South
11,3,7,61,South
11,3,8,62,South
11,3,7,63,South
11,4,7,64,North
11,4,8,65,North
11,4,9,66,North
11,5,7,67,North
12,5,5,68,East
13,5,5,69,East
14,5,5,70,East
15,5,5,71,East
15,4,3,72,South
15,3,5,73,South
15,4,5,74,North
15,5,5,75,North
16,5,3,76,East
17,5,3,77,East
18,5,5,78,East
18,6,4,79,North
18,7,4,80,North
18,8,4,81,North
17,8,2,82,West
17,7,3,83,South
17,8,2,84,North
16,8,2,85,West
15,8,2,86,West
15,7,2,87,South
14,7,1,88,West
1,11,7,0,Stop
1,10,6,1,South
1,9,4,2,South
2,9,3,3,East
3,9,3,4,East
3,8,3,5,South
4,8,2,6,East
5,8,2,7,East
5,7,2,8,South
6,7,1,9,East
7,7,4,10,East
7,8,2,11,North
7,9,1,12,North
6,9,7,13,West
6,8,7,14,South
6,7,7,15,South
5,7,5,16,West
4,7,5,17,West
3,7,4,18,West
4,7,5,19,East
3,7,4,20,West
4,7,4,21,East
3,7,4,22,West
4,7,6,23,East
3,7,6,24,West
2,7,4,25,West
1,7,3,26,West
1,6,2,27,South
1,5,1,28,South
1,4,15,29,South
1,5,15,30,North
1,6,14,31,North
1,7,14,32,North
2,7,14,33,East
3,7,12,34,East
4,7,12,35,East
5,7,12,36,East
6,7,12,37,East
7,7,10,38,East
7,8,10,39,North
7,7,11,40,South
7,8,11,41,North
8,8,10,42,East
8,7,10,43,South
9,7,10,44,East
10,7,8,45,East
10,8,9,46,North
10,7,9,47,South
10,7,8,48,South
10,6,9,49,South
10,7,9,50,North
10,7,8,51,North
10,8,10,52,North
10,7,10,53,South
10,6,10,54,South
10,5,8,55,South
10,4,6,56,South
11,4,6,57,East
11,4,5,58,East
11,3,4,59,South
11,3,5,60,South
11,3,4,61,South
11,3,4,62,South
11,3,5,63,South
11,3,6,64,South
11,3,7,65,South
11,3,6,66,South
11,4,4,67,North
11,4,5,68,North
11,4,6,69,North
11,5,4,70,North
12,5,4,71,East
13,5,2,72,East
14,5,1,73,East
1,11,7,0,Stop
1,10,5,1,South
1,10,5,2,South
1,10,5,3,South
1,10,5,4,South
1,11,5,5,North
2,11,5,6,East
3,11,3,7,East
4,11,2,8,East
5,11,2,9,East
5,10,6,10,South
5,9,6,11,South
6,9,6,12,East
7,9,6,13,East
8,9,5,14,East
9,9,3,15,East
10,9,3,16,East
10,10,1,17,North
10,11,3,18,North
10,10,3,19,South
10,9,3,20,South
11,9,3,21,East
12,9,1,22,East
12,8,1,23,South
12,9,15,24,North
12,8,13,25,South
12,7,13,26,South
12,7,12,27,South
12,7,11,28,South
12,7,10,29,South
12,7,11,30,South
12,7,10,31,South
12,7,11,32,South
12,7,10,33,South
12,7,9,34,South
12,7,10,35,South
12,7,11,36,South
12,7,12,37,South
12,7,11,38,South
12,7,10,39,South
12,7,11,40,South
12,7,10,41,South
12,7,9,42,South
12,7,8,43,South
12,7,7,44,South
12,7,6,45,South
12,7,6,46,South
12,7,5,47,South
12,7,5,48,South
12,7,4,49,South
12,7,5,50,South
12,7,5,51,South
12,7,4,52,South
12,7,5,53,South
12,7,6,54,South
12,7,7,55,South
12,7,8,56,South
12,7,9,57,South
12,7,8,58,South
12,7,7,59,South
12,7,7,60,South
12,7,8,61,South
12,7,9,62,South
12,7,10,63,South
12,7,9,64,South
12,7,9,65,South
12,7,8,66,South
12,7,9,67,South
12,7,10,68,South
12,7,11,69,South
12,7,11,70,South
12,7,11,71,South
12,7,11,72,South
12,7,12,73,South
12,7,11,74,South
12,7,12,75,South
12,7,11,76,South
12,7,10,77,South
12,7,9,78,South
12,7,8,79,South
12,7,9,80,South
12,7,9,81,South
12,7,9,82,South
12,7,8,83,South
12,7,8,84,South
12,7,9,85,South
12,7,8,86,South
12,7,7,87,South
12,7,8,88,South
12,7,7,89,South
12,7,7,90,South
12,7,6,91,South
12,7,6,92,South
12,7,5,93,South
12,7,6,94,South
12,7,5,95,South
12,7,4,96,South
12,7,3,97,South
12,7,4,98,South
12,8,2,99,North
12,8,3,100,North
12,9,2,101,North
11,9,2,102,West
11,10,2,103,North
11,9,1,104,South
1,11,7,0,Stop
1,10,7,1,South
1,9,7,2,South
1,8,7,3,South
1,7,7,4,South
1,6,7,5,South
1,5,7,6,South
2,5,7,7,East
3,5,7,8,East
4,5,7,9,East
5,5,6,10,East
6,5,4,11,East
7,5,4,12,East
8,5,2,13,East
9,5,8,14,East
9,6,8,15,North
9,7,6,16,North
9,8,4,17,North
9,9,2,18,North
10,9,7,19,East
10,10,5,20,North
10,10,4,21,North
10,10,5,22,North
10,9,3,23,South
9,9,2,24,West
8,9,1,25,West
7,9,10,26,West
8,9,8,27,East
9,9,7,28,East
10,9,6,29,East
10,10,4,30,North
10,11,4,31,North
10,10,4,32,South
10,11,3,33,North
11,11,3,34,East
12,11,3,35,East
13,11,1,36,East
1,11,7,0,Stop
1,10,6,1,South
1,9,6,2,South
2,9,6,3,East
2,8,6,4,South
3,8,5,5,East
4,8,5,6,East
5,8,3,7,East
6,8,3,8,East
6,7,3,9,South
7,7,1,10,East
8,7,3,11,East
8,6,3,12,South
8,5,2,13,South
7,5,2,14,West
7,4,2,15,South
7,3,2,16,South
7,4,9,17,North
7,5,7,18,North
8,5,6,19,East
8,6,6,20,North
8,7,6,21,North
8,8,6,22,North
8,9,5,23,North
7,9,3,24,West
6,9,1,25,West
5,9,12,26,West
5,8,11,27,South
5,7,9,28,South
6,7,8,29,East
7,7,8,30,East
8,7,6,31,East
8,6,8,32,South
8,7,6,33,North
8,8,6,34,North
8,7,6,35,South
8,8,8,36,North
8,7,6,37,South
9,7,6,38,East
10,7,5,39,East
10,6,5,40,South
10,6,4,41,South
10,7,4,42,North
10,7,5,43,North
10,7,6,44,North
10,8,4,45,North
10,9,3,46,North
11,9,2,47,East
12,9,2,48,East
13,9,2,49,East
1,11,7,0,Stop
1,10,6,1,South
1,9,6,2,South
1,10,5,3,North
1,10,4,4,North
1,10,4,5,North
1,10,5,6,North
1,11,3,7,North
2,11,3,8,East
3,11,3,9,East
4,11,2,10,East
5,11,2,11,East
5,10,2,12,South
5,11,7,13,North
5,10,6,14,South
6,10,5,15,East
6,10,5,16,East
6,10,4,17,East
6,10,5,18,East
6,9,5,19,South
7,9,5,20,East
8,9,5,21,East
9,9,3,22,East
10,9,1,23,East
11,9,7,24,East
12,9,5,25,East
12,8,5,26,South
13,8,3,27,East
13,7,4,28,South
13,8,3,29,North
14,8,3,30,East
15,8,3,31,East
16,8,1,32,East
17,8,20,33,East
17,7,18,34,South
16,7,16,35,West
15,7,14,36,West
14,7,12,37,West
14,6,10,38,South
14,5,10,39,South
13,5,10,40,West
12,5,10,41,West
11,5,9,42,West
10,5,7,43,West
9,5,7,44,West
9,4,5,45,South
8,4,5,46,West
8,3,4,47,South
7,3,3,48,West
6,3,2,49,West
1,11,7,0,Stop
1,10,7,1,South
1,9,7,2,South
1,8,6,3,South
2,8,6,4,East
3,8,6,5,East
4,8,4,6,East
5,8,4,7,East
5,7,2,8,South
6,7,6,9,East
7,7,4,10,East
8,7,5,11,East
8,8,4,12,North
8,9,2,13,North
9,9,3,14,East
8,9,2,15,West
9,9,4,16,East
8,9,2,17,West
9,9,2,18,East
10,9,2,19,East
10,10,2,20,North
10,11,8,21,North
11,11,8,22,East
12,11,6,23,East
13,11,4,24,East
14,11,2,25,East
15,11,17,26,East
14,11,16,27,West
14,10,15,28,South
14,9,15,29,South
14,8,13,30,South
14,7,13,31,South
14,6,13,32,South
14,5,13,33,South
14,4,13,34,South
13,4,13,35,West
13,3,11,36,South
13,3,11,37,South
13,3,11,38,South
13,3,11,39,South
13,3,12,40,South
13,3,13,41,South
13,4,11,42,North
13,4,10,43,North
13,4,11,44,North
13,3,9,45,South
13,3,9,46,South
13,3,10,47,South
13,3,11,48,South
13,4,11,49,North
13,3,9,50,South
13,3,10,51,South
13,4,8,52,North
13,4,8,53,North
13,4,9,54,North
13,3,9,55,South
13,4,9,56,North
13,5,8,57,North
12,5,8,58,West
11,5,8,59,West
11,4,8,60,South
11,5,7,61,North
10,5,6,62,West
9,5,6,63,West
9,4,6,64,South
9,5,6,65,North
9,4,4,66,South
8,4,3,67,West
7,4,3,68,West
6,4,1,69,West
1,11,7,0,Stop
1,10,7,1,South
1,9,7,2,South
1,8,5,3,South
2,8,4,4,East
3,8,4,5,East
3,9,3,6,North
4,9,1,7,East
5,9,7,8,East
5,8,7,9,South
5,7,5,10,South
6,7,4,11,East
7,7,2,12,East
8,7,4,13,East
8,6,2,14,South
8,5,2,15,South
8,4,1,16,South
9,4,10,17,East
9,5,8,18,North
9,6,8,19,North
9,7,8,20,North
9,8,8,21,North
9,9,8,22,North
10,9,7,23,East
11,9,7,24,East
12,9,6,25,East
13,9,6,26,East
14,9,5,27,East
14,8,3,28,South
15,8,1,29,East
1,11,7,0,Stop
1,10,5,1,South
1,9,5,2,South
1,10,5,3,North
1,10,6,4,North
1,9,6,5,South
1,10,5,6,North
1,10,5,7,North
1,10,4,8,North
1,10,5,9,North
1,10,4,10,North
1,10,5,11,North
1,9,5,12,South
1,8,5,13,South
1,9,3,14,North
2,9,3,15,East
2,8,1,16,South
3,8,5,17,East
3,9,3,18,North
4,9,1,19,East
5,9,6,20,East
5,8,6,21,South
5,7,4,22,South
4,7,3,23,West
5,7,5,24,East
4,7,3,25,West
3,7,3,26,West
2,7,3,27,West
3,7,5,28,East
2,7,3,29,West
1,7,3,30,West
1,6,3,31,South
1,5,1,32,South
2,5,16,33,East
3,5,15,34,East
4,5,13,35,East
5,5,13,36,East
6,5,13,37,East
7,5,13,38,East
8,5,11,39,East
8,6,9,40,North
8,7,7,41,North
9,7,5,42,East
10,7,3,43,East
10,7,4,44,East
10,7,3,45,East
10,8,3,46,North
10,8,3,47,North
10,7,3,48,South
10,7,4,49,South
10,7,5,50,South
10,7,6,51,South
10,8,4,52,North
10,9,2,53,North
11,9,1,54,East
1,11,7,0,Stop
1,10,5,1,South
1,9,5,2,South
2,9,4,3,East
3,9,4,4,East
4,9,2,5,East
5,9,2,6,East
6,9,1,7,East
7,9,7,8,East
7,8,5,9,South
7,7,5,10,South
6,7,3,11,West
7,7,5,12,East
6,7,3,13,West
5,7,3,14,West
6,7,3,15,East
7,7,3,16,East
7,8,1,17,North
8,8,7,18,East
8,7,7,19,South
8,6,6,20,South
8,5,5,21,South
8,4,3,22,South
7,4,2,23,West
6,4,2,24,West
6,5,2,25,North
5,5,1,26,West
4,5,10,27,West
4,4,10,28,South
5,4,10,29,East
6,4,8,30,East
6,5,7,31,North
7,5,6,32,East
8,5,4,33,East
9,5,2,34,East
1,11,7,0,Stop
1,10,7,1,South
1,9,6,2,South
1,8,6,3,South
1,9,5,4,North
2,9,5,5,East
2,8,5,6,South
3,8,5,7,East
3,9,5,8,North
3,8,5,9,South
3,7,5,10,South
3,8,3,11,North
4,8,3,12,East
4,7,3,13,South
5,7,1,14,East
6,7,5,15,East
7,7,5,16,East
6,7,4,17,West
7,7,6,18,East
6,7,4,19,West
7,7,4,20,East
8,7,5,21,East
8,6,3,22,South
8,5,1,23,South
7,5,9,24,West
8,5,8,25,East
8,6,6,26,North
8,7,5,27,North
8,8,5,28,North
8,9,3,29,North
9,9,3,30,East
10,9,3,31,East
10,8,2,32,South
10,8,3,33,South
10,8,2,34,South
10,8,3,35,South
10,9,3,36,North
11,9,1,37,East
12,9,7,38,East
13,9,6,39,East
14,9,4,40,East
14,10,5,41,North
14,9,4,42,South
15,9,3,43,East
16,9,1,44,East
1,11,7,0,Stop
1,10,5,1,South
1,10,6,2,South
1,11,5,3,North
2,11,5,4,East
3,11,4,5,East
4,11,2,6,East
5,11,2,7,East
6,11,1,8,East
7,11,10,9,East
6,11,8,10,West
6,10,7,11,South
6,9,7,12,South
6,8,7,13,South
6,7,7,14,South
5,7,5,15,West
4,7,5,16,West
3,7,5,17,West
2,7,5,18,West
1,7,5,19,West
1,6,3,20,South
1,5,1,21,South
2,5,13,22,East
3,5,13,23,East
3,4,13,24,South
4,4,13,25,East
4,3,13,26,South
5,3,11,27,East
5,4,11,28,North
6,4,9,29,East
6,5,11,30,North
6,4,11,31,South
7,4,9,32,East
7,5,9,33,North
7,4,9,34,South
7,5,9,35,North
7,4,9,36,South
8,4,7,37,East
9,4,7,38,East
10,4,5,39,East
10,5,7,40,North
10,4,7,41,South
11,4,5,42,East
11,5,3,43,North
12,5,3,44,East
13,5,3,45,East
13,4,2,46,South
1,11,7,0,Stop
1,10,6,1,South
1,9,6,2,South
2,9,4,3,East
3,9,4,4,East
3,8,2,5,South
4,8,5,6,East
4,7,3,7,South
5,7,2,8,East
6,7,3,9,East
5,7,3,10,West
6,7,3,11,East
7,7,3,12,East
8,7,3,13,East
8,6,1,14,South
8,5,7,15,South
8,6,5,16,North
8,7,5,17,North
8,8,5,18,North
8,9,3,19,North
7,9,2,20,West
8,9,4,21,East
7,9,2,22,West
8,9,4,23,East
7,9,3,24,West
6,9,1,25,West
6,10,18,26,North
6,9,17,27,South
6,8,17,28,South
6,7,16,29,South
7,7,14,30,East
8,7,13,31,East
8,6,12,32,South
8,5,10,33,South
8,4,12,34,South
8,5,12,35,North
8,6,10,36,North
8,7,10,37,North
8,6,11,38,South
8,7,11,39,North
9,7,9,40,East
9,8,9,41,North
9,7,7,42,South
10,7,7,43,East
10,7,6,44,East
10,7,7,45,East
10,7,6,46,East
10,8,6,47,North
10,7,6,48,South
10,7,7,49,South
10,7,6,50,South
10,7,5,51,South
10,7,6,52,South
10,7,5,53,South
10,8,5,54,North
10,8,6,55,North
10,7,4,56,South
10,7,3,57,South
10,7,4,58,South
10,7,3,59,South
10,7,3,60,South
10,7,4,61,South
10,7,5,62,South
10,8,4,63,North
10,8,5,64,North
10,8,4,65,North
10,9,6,66,North
10,8,6,67,South
10,7,6,68,South
10,6,5,69,South
10,5,5,70,South
11,5,5,71,East
12,5,3,72,East
13,5,1,73,East
1,11,7,0,Stop
1,10,7,1,South
1,9,7,2,South
1,8,5,3,South
1,7,3,4,South
2,7,3,5,East
2,8,1,6,North
3,8,8,7,East
3,7,6,8,South
4,7,6,9,East
5,7,6,10,East
6,7,4,11,East
7,7,4,12,East
8,7,4,13,East
8,6,3,14,South
8,5,2,15,South
8,4,6,16,South
8,5,4,17,North
8,6,3,18,North
8,7,1,19,North
9,7,4,20,East
9,8,3,21,North
9,9,2,22,North
