@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R5

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute class {Stop,North,South,East,West}

@data
10,7,1,4,South
10,7,1,4,South
10,7,1,5,South
10,7,1,6,South
10,7,1,5,South
10,8,1,6,North
10,7,1,4,South
10,7,1,3,South
10,7,1,4,South
10,7,1,5,South
10,7,1,4,South
10,6,1,4,South
10,7,1,4,North
10,6,1,6,South
10,7,1,4,North
10,8,1,6,North
10,7,1,5,South
10,7,1,6,South
10,7,1,7,South
10,7,1,8,South
10,8,1,8,North
10,8,1,9,North
10,7,1,7,South
10,7,1,8,South
10,7,1,8,South
10,7,1,9,South
10,7,1,9,South
10,8,1,9,North
10,8,1,10,North
10,7,1,8,South
10,6,1,10,South
10,7,1,10,North
10,8,1,9,North
10,9,1,9,North
11,9,1,7,East
11,10,1,8,North
11,9,1,8,South
12,9,1,6,East
13,9,1,6,East
14,9,1,4,East
14,8,1,5,South
14,9,1,5,North
15,9,1,5,East
15,8,1,3,South
15,7,1,3,South
15,8,1,3,North
15,7,1,2,South
1,11,4,7,Stop
1,10,4,5,South
1,9,4,5,South
1,8,4,3,South
2,8,4,3,East
3,8,4,1,East
4,8,3,3,East
4,9,3,3,North
5,9,3,1,East
5,10,2,7,North
5,9,2,5,South
5,8,2,5,South
5,7,2,5,South
6,7,2,3,East
7,7,2,3,East
8,7,2,2,East
8,6,2,2,South
8,5,2,1,South
9,5,1,7,East
9,4,1,5,South
10,4,1,5,East
11,4,1,5,East
11,5,1,4,North
12,5,1,4,East
13,5,1,4,East
14,5,1,4,East
14,6,1,2,North
14,7,1,1,North
1,11,4,7,Stop
1,10,4,5,South
1,10,4,5,South
1,10,4,4,South
1,10,4,4,South
1,10,4,5,South
1,11,4,5,North
2,11,4,5,East
3,11,4,3,East
4,11,4,3,East
5,11,4,2,East
5,10,4,2,South
5,9,4,2,South
5,8,3,4,South
5,7,3,2,South
6,7,3,1,East
7,7,2,9,East
7,8,2,9,North
7,9,2,9,North
8,9,2,7,East
9,9,2,7,East
10,9,2,7,East
10,10,2,5,North
10,11,2,5,North
11,11,2,4,East
12,11,2,4,East
13,11,2,4,East
14,11,2,4,East
15,11,2,2,East
16,11,2,2,East
17,11,2,1,East
18,11,1,11,East
18,10,1,9,South
18,9,1,7,South
18,8,1,7,South
18,7,1,7,South
18,6,1,7,South
18,5,1,6,South
18,4,1,5,South
18,3,1,5,South
17,3,1,4,West
16,3,1,3,West
15,3,1,1,West
1,11,4,7,Stop
1,10,4,6,South
1,9,4,5,South
2,9,4,3,East
3,9,4,3,East
4,9,4,1,East
5,9,3,4,East
5,8,3,4,South
5,7,3,3,South
6,7,3,5,East
5,7,3,5,West
4,7,3,3,West
3,7,3,3,West
4,7,3,5,East
3,7,3,3,West
4,7,3,5,East
3,7,3,5,West
2,7,3,4,West
3,7,3,4,East
2,7,3,4,West
1,7,3,4,West
1,6,3,3,South
1,5,3,3,South
1,4,3,1,South
2,4,2,13,East
2,5,2,13,North
3,5,2,13,East
4,5,2,11,East
5,5,2,9,East
6,5,2,9,East
7,5,2,7,East
8,5,2,7,East
8,6,2,6,North
8,7,2,4,North
9,7,2,4,East
9,8,2,3,North
10,8,2,2,East
10,8,2,3,East
10,7,2,2,South
10,7,2,3,South
10,8,2,3,North
10,8,2,3,North
10,8,2,4,North
10,9,2,3,North
11,9,2,3,East
12,9,2,3,East
13,9,2,2,East
14,9,2,2,East
15,9,2,2,East
16,9,2,2,East
16,8,1,5,South
16,9,1,3,North
15,9,1,1,West
1,11,4,7,Stop
1,10,4,6,South
1,9,4,5,South
2,9,4,5,East
3,9,4,5,East
4,9,4,3,East
5,9,4,1,East
6,9,3,2,East
6,10,2,7,North
6,9,2,5,South
6,8,2,3,South
6,7,2,3,South
7,7,2,5,East
6,7,2,3,West
5,7,2,2,West
6,7,2,3,East
5,7,2,2,West
6,7,2,4,East
5,7,2,4,West
4,7,2,4,West
5,7,2,5,East
4,7,2,3,West
5,7,2,3,East
4,7,2,3,West
3,7,2,2,West
4,7,2,2,East
5,7,2,4,East
4,7,2,2,West
5,7,2,4,East
4,7,2,4,West
3,7,2,3,West
4,7,2,5,East
3,7,2,5,West
2,7,2,3,West
3,7,2,3,East
2,7,2,2,West
3,7,2,4,East
2,7,2,4,West
1,7,2,4,West
1,6,2,3,South
1,5,2,1,South
1,4,1,16,South
2,4,1,14,East
3,4,1,14,East
4,4,1,14,East
5,4,1,14,East
6,4,1,12,East
6,3,1,12,South
7,3,1,10,East
7,4,1,10,North
8,4,1,8,East
8,3,1,8,South
8,4,1,6,North
9,4,1,6,East
10,4,1,6,East
11,4,1,4,East
11,5,1,4,North
12,5,1,3,East
13,5,1,3,East
14,5,1,3,East
14,4,1,1,South
1,11,4,7,Stop
1,10,4,7,South
1,9,4,6,South
2,9,4,6,East
3,9,4,6,East
4,9,4,4,East
5,9,4,3,East
5,10,4,3,North
5,11,4,2,North
6,11,4,1,East
7,11,3,4,East
8,11,3,4,East
9,11,3,4,East
10,11,3,5,East
10,10,3,5,South
10,9,3,4,South
10,8,3,3,South
10,7,3,2,South
10,6,3,2,South
10,5,2,8,South
10,6,2,8,North
10,7,2,6,North
9,7,2,6,West
8,7,2,4,West
7,7,2,4,West
6,7,2,4,West
6,8,2,2,North
5,8,2,2,West
