@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R4

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute ticks numeric
@attribute class {Stop,North,South,East,West}

@data
14,5,1,57,East
14,6,1,58,North
14,7,1,59,North
15,7,1,60,East
15,8,1,61,North
1,11,4,0,Stop
1,10,4,1,South
1,9,4,2,South
1,8,4,3,South
1,7,4,4,South
2,7,4,5,East
3,7,4,6,East
3,8,4,7,North
3,7,4,8,South
4,7,3,9,East
5,7,3,10,East
6,7,3,11,East
5,7,3,12,West
6,7,3,13,East
7,7,3,14,East
6,7,3,15,West
7,7,3,16,East
8,7,3,17,East
8,6,3,18,South
8,5,3,19,South
8,4,3,20,South
8,3,2,21,South
8,4,2,22,North
8,5,2,23,North
8,6,2,24,North
8,7,2,25,North
8,8,2,26,North
8,9,2,27,North
9,9,2,28,East
10,9,2,29,East
10,10,2,30,North
10,11,1,31,North
11,11,1,32,East
12,11,1,33,East
13,11,1,34,East
14,11,1,35,East
1,11,4,0,Stop
1,10,4,1,South
1,9,4,2,South
2,9,4,3,East
3,9,4,4,East
3,8,4,5,South
3,9,4,6,North
4,9,4,7,East
5,9,4,8,East
5,8,4,9,South
5,7,4,10,South
6,7,3,11,East
7,7,3,12,East
8,7,3,13,East
8,6,3,14,South
8,5,3,15,South
8,4,3,16,South
7,4,2,17,West
7,5,2,18,North
8,5,2,19,East
8,6,2,20,North
8,7,2,21,North
9,7,2,22,East
9,6,2,23,South
9,7,2,24,North
9,8,2,25,North
9,7,2,26,South
9,8,2,27,North
9,9,1,28,North
10,9,1,29,East
11,9,1,30,East
11,10,1,31,North
10,10,1,32,West
1,11,4,0,Stop
1,10,4,1,South
1,9,4,2,South
2,9,4,3,East
3,9,4,4,East
4,9,4,5,East
5,9,4,6,East
5,10,3,7,North
5,11,3,8,North
6,11,2,9,East
6,10,2,10,South
6,9,2,11,South
6,8,2,12,South
6,7,2,13,South
7,7,2,14,East
8,7,2,15,East
8,6,2,16,South
8,5,2,17,South
9,5,2,18,East
10,5,1,19,East
10,6,1,20,North
10,7,1,21,North
10,8,1,22,North
10,8,1,23,North
10,8,1,24,North
10,8,1,25,North
10,9,1,26,North
1,11,4,0,Stop
1,10,4,1,South
1,9,4,2,South
2,9,4,3,East
3,9,3,4,East
3,8,3,5,South
3,7,3,6,South
4,7,3,7,East
5,7,3,8,East
6,7,3,9,East
7,7,3,10,East
8,7,3,11,East
8,6,3,12,South
8,5,3,13,South
8,4,3,14,South
7,4,3,15,West
7,5,3,16,North
6,5,2,17,West
7,5,2,18,East
8,5,2,19,East
8,6,2,20,North
8,7,2,21,North
8,8,2,22,North
8,9,2,23,North
9,9,2,24,East
10,9,2,25,East
10,10,1,26,North
10,9,1,27,South
10,8,1,28,South
10,7,1,29,South
10,6,1,30,South
10,5,1,31,South
10,4,1,32,South
10,3,1,33,South
11,3,1,34,East
11,3,1,35,East
11,4,1,36,North
11,4,1,37,North
11,4,1,38,North
11,4,1,39,North
11,4,1,40,North
11,5,1,41,North
12,5,1,42,East
13,5,1,43,East
13,4,1,44,South
13,3,1,45,South
13,4,1,46,North
13,5,1,47,North
14,5,1,48,East
15,5,1,49,East
16,5,1,50,East
1,11,4,0,Stop
1,10,4,1,South
1,9,4,2,South
2,9,4,3,East
3,9,4,4,East
4,9,4,5,East
5,9,4,6,East
6,9,3,7,East
6,10,3,8,North
5,10,2,9,West
5,9,2,10,South
5,8,2,11,South
5,7,2,12,South
6,7,2,13,East
7,7,2,14,East
6,7,2,15,West
7,7,2,16,East
8,7,2,17,East
8,6,2,18,South
8,5,2,19,South
8,4,2,20,South
8,3,2,21,South
8,4,2,22,North
8,5,2,23,North
9,5,2,24,East
10,5,1,25,East
10,6,1,26,North
10,7,1,27,North
10,8,1,28,North
10,8,1,29,North
10,7,1,30,South
10,7,1,31,South
10,7,1,32,South
10,7,1,33,South
10,7,1,34,South
10,8,1,35,North
10,8,1,36,North
10,8,1,37,North
10,8,1,38,North
10,7,1,39,South
10,7,1,40,South
10,7,1,41,South
10,7,1,42,South
10,7,1,43,South
10,7,1,44,South
10,6,1,45,South
10,5,1,46,South
10,6,1,47,North
10,5,1,48,South
11,5,1,49,East
12,5,1,50,East
13,5,1,51,East
13,4,1,52,South
14,4,1,53,East
14,5,1,54,North
15,5,1,55,East
16,5,1,56,East
17,5,1,57,East
1,11,4,0,Stop
1,10,4,1,South
1,9,4,2,South
2,9,4,3,East
2,8,4,4,South
3,8,4,5,East
3,7,4,6,South
4,7,4,7,East
5,7,4,8,East
6,7,4,9,East
7,7,4,10,East
8,7,3,11,East
8,8,3,12,North
8,9,3,13,North
7,9,3,14,West
6,9,3,15,West
6,10,3,16,North
6,11,2,17,North
6,10,2,18,South
6,9,2,19,South
6,8,2,20,South
6,7,2,21,South
5,7,2,22,West
6,7,2,23,East
7,7,2,24,East
6,7,2,25,West
5,7,2,26,West
6,7,2,27,East
5,7,2,28,West
6,7,2,29,East
7,7,2,30,East
6,7,2,31,West
7,7,2,32,East
8,7,2,33,East
8,6,2,34,South
8,5,2,35,South
7,5,2,36,West
6,5,1,37,West
7,5,1,38,East
8,5,1,39,East
8,6,1,40,North
8,7,1,41,North
9,7,1,42,East
10,7,1,43,East
10,7,1,44,East
10,8,1,45,North
10,9,1,46,North
10,8,1,47,South
10,7,1,48,South
10,8,1,49,North
10,7,1,50,South
10,7,1,51,South
10,7,1,52,South
10,7,1,53,South
10,7,1,54,South
10,7,1,55,South
10,7,1,56,South
10,7,1,57,South
10,7,1,58,South
10,7,1,59,South
10,7,1,60,South
10,7,1,61,South
10,8,1,62,North
10,8,1,63,North
10,9,1,64,North
10,8,1,65,South
10,8,1,66,South
10,8,1,67,South
10,8,1,68,South
10,8,1,69,South
10,7,1,70,South
10,7,1,71,South
10,7,1,72,South
10,7,1,73,South
10,7,1,74,South
10,8,1,75,North
10,7,1,76,South
10,7,1,77,South
10,7,1,78,South
10,7,1,79,South
10,7,1,80,South
10,8,1,81,North
10,7,1,82,South
10,7,1,83,South
10,7,1,84,South
10,7,1,85,South
10,7,1,86,South
10,6,1,87,South
10,7,1,88,North
10,6,1,89,South
10,7,1,90,North
10,8,1,91,North
10,7,1,92,South
10,7,1,93,South
10,7,1,94,South
10,7,1,95,South
10,8,1,96,North
10,8,1,97,North
10,7,1,98,South
10,7,1,99,South
10,7,1,100,South
10,7,1,101,South
10,7,1,102,South
10,8,1,103,North
10,8,1,104,North
10,7,1,105,South
10,6,1,106,South
10,7,1,107,North
10,8,1,108,North
10,9,1,109,North
11,9,1,110,East
11,10,1,111,North
11,9,1,112,South
12,9,1,113,East
13,9,1,114,East
14,9,1,115,East
14,8,1,116,South
14,9,1,117,North
15,9,1,118,East
15,8,1,119,South
15,7,1,120,South
15,8,1,121,North
15,7,1,122,South
1,11,4,0,Stop
1,10,4,1,South
1,9,4,2,South
1,8,4,3,South
2,8,4,4,East
3,8,4,5,East
4,8,3,6,East
4,9,3,7,North
5,9,3,8,East
5,10,2,9,North
5,9,2,10,South
5,8,2,11,South
5,7,2,12,South
6,7,2,13,East
7,7,2,14,East
8,7,2,15,East
8,6,2,16,South
8,5,2,17,South
9,5,1,18,East
9,4,1,19,South
10,4,1,20,East
11,4,1,21,East
11,5,1,22,North
12,5,1,23,East
13,5,1,24,East
14,5,1,25,East
14,6,1,26,North
14,7,1,27,North
1,11,4,0,Stop
1,10,4,1,South
1,10,4,2,South
1,10,4,3,South
1,10,4,4,South
1,10,4,5,South
1,11,4,6,North
2,11,4,7,East
3,11,4,8,East
4,11,4,9,East
5,11,4,10,East
5,10,4,11,South
5,9,4,12,South
5,8,3,13,South
5,7,3,14,South
6,7,3,15,East
7,7,2,16,East
7,8,2,17,North
7,9,2,18,North
8,9,2,19,East
9,9,2,20,East
10,9,2,21,East
10,10,2,22,North
10,11,2,23,North
11,11,2,24,East
12,11,2,25,East
13,11,2,26,East
14,11,2,27,East
15,11,2,28,East
16,11,2,29,East
17,11,2,30,East
18,11,1,31,East
18,10,1,32,South
18,9,1,33,South
18,8,1,34,South
18,7,1,35,South
18,6,1,36,South
18,5,1,37,South
18,4,1,38,South
18,3,1,39,South
17,3,1,40,West
16,3,1,41,West
15,3,1,42,West
1,11,4,0,Stop
1,10,4,1,South
1,9,4,2,South
2,9,4,3,East
3,9,4,4,East
4,9,4,5,East
5,9,3,6,East
5,8,3,7,South
5,7,3,8,South
6,7,3,9,East
5,7,3,10,West
4,7,3,11,West
3,7,3,12,West
4,7,3,13,East
3,7,3,14,West
4,7,3,15,East
3,7,3,16,West
2,7,3,17,West
3,7,3,18,East
2,7,3,19,West
1,7,3,20,West
1,6,3,21,South
1,5,3,22,South
1,4,3,23,South
2,4,2,24,East
2,5,2,25,North
3,5,2,26,East
4,5,2,27,East
5,5,2,28,East
6,5,2,29,East
7,5,2,30,East
8,5,2,31,East
8,6,2,32,North
8,7,2,33,North
9,7,2,34,East
9,8,2,35,North
10,8,2,36,East
10,8,2,37,East
10,7,2,38,South
10,7,2,39,South
10,8,2,40,North
10,8,2,41,North
10,8,2,42,North
10,9,2,43,North
11,9,2,44,East
12,9,2,45,East
13,9,2,46,East
14,9,2,47,East
15,9,2,48,East
16,9,2,49,East
16,8,1,50,South
16,9,1,51,North
15,9,1,52,West
1,11,4,0,Stop
1,10,4,1,South
1,9,4,2,South
2,9,4,3,East
3,9,4,4,East
4,9,4,5,East
5,9,4,6,East
6,9,3,7,East
6,10,2,8,North
6,9,2,9,South
6,8,2,10,South
6,7,2,11,South
7,7,2,12,East
6,7,2,13,West
5,7,2,14,West
6,7,2,15,East
5,7,2,16,West
6,7,2,17,East
5,7,2,18,West
4,7,2,19,West
5,7,2,20,East
4,7,2,21,West
5,7,2,22,East
4,7,2,23,West
3,7,2,24,West
4,7,2,25,East
5,7,2,26,East
4,7,2,27,West
5,7,2,28,East
4,7,2,29,West
3,7,2,30,West
4,7,2,31,East
3,7,2,32,West
2,7,2,33,West
3,7,2,34,East
2,7,2,35,West
3,7,2,36,East
2,7,2,37,West
1,7,2,38,West
1,6,2,39,South
1,5,2,40,South
1,4,1,41,South
2,4,1,42,East
3,4,1,43,East
4,4,1,44,East
5,4,1,45,East
6,4,1,46,East
6,3,1,47,South
7,3,1,48,East
7,4,1,49,North
8,4,1,50,East
8,3,1,51,South
8,4,1,52,North
9,4,1,53,East
10,4,1,54,East
11,4,1,55,East
11,5,1,56,North
12,5,1,57,East
13,5,1,58,East
14,5,1,59,East
14,4,1,60,South
1,11,4,0,Stop
1,10,4,1,South
1,9,4,2,South
2,9,4,3,East
3,9,4,4,East
4,9,4,5,East
5,9,4,6,East
5,10,4,7,North
5,11,4,8,North
6,11,4,9,East
7,11,3,10,East
8,11,3,11,East
9,11,3,12,East
10,11,3,13,East
10,10,3,14,South
10,9,3,15,South
10,8,3,16,South
10,7,3,17,South
10,6,3,18,South
10,5,2,19,South
10,6,2,20,North
10,7,2,21,North
9,7,2,22,West
8,7,2,23,West
7,7,2,24,West
6,7,2,25,West
6,8,2,26,North
5,8,2,27,West
5,9,2,28,North
5,8,2,29,South
4,8,2,30,West
4,7,1,31,South
5,7,1,32,East
6,7,1,33,East
7,7,1,34,East
8,7,1,35,East
8,6,1,36,South
8,5,1,37,South
9,5,1,38,East
10,5,1,39,East
11,5,1,40,East
12,5,1,41,East
13,5,1,42,East
13,4,1,43,South
13,5,1,44,North
14,5,1,45,East
14,6,1,46,North
14,7,1,47,North
15,7,1,48,East
15,8,1,49,North
14,8,1,50,West
1,11,4,0,Stop
1,10,4,1,South
1,9,4,2,South
2,9,4,3,East
2,8,4,4,South
3,8,4,5,East
3,9,4,6,North
3,8,4,7,South
4,8,3,8,East
4,7,3,9,South
5,7,3,10,East
6,7,3,11,East
5,7,3,12,West
6,7,3,13,East
5,7,3,14,West
4,7,3,15,West
5,7,3,16,East
4,7,3,17,West
5,7,3,18,East
6,7,3,19,East
5,7,3,20,West
6,7,3,21,East
5,7,3,22,West
4,7,3,23,West
5,7,3,24,East
6,7,3,25,East
5,7,3,26,West
6,7,3,27,East
6,8,3,28,North
6,9,2,29,North
6,8,2,30,South
6,7,2,31,South
5,7,2,32,West
4,7,2,33,West
3,7,2,34,West
4,7,2,35,East
3,7,2,36,West
4,7,2,37,East
5,7,2,38,East
6,7,2,39,East
5,7,2,40,West
4,7,2,41,West
5,7,2,42,East
4,7,2,43,West
5,7,2,44,East
4,7,2,45,West
5,7,2,46,East
6,7,2,47,East
7,7,2,48,East
6,7,2,49,West
5,7,2,50,West
6,7,2,51,East
7,7,2,52,East
6,7,2,53,West
7,7,2,54,East
6,7,2,55,West
7,7,2,56,East
6,7,2,57,West
5,7,2,58,West
6,7,2,59,East
5,7,2,60,West
6,7,2,61,East
7,7,2,62,East
6,7,2,63,West
7,7,2,64,East
8,7,2,65,East
8,6,2,66,South
8,5,2,67,South
8,4,2,68,South
8,3,2,69,South
7,3,2,70,West
7,4,2,71,North
6,4,2,72,West
5,4,1,73,West
5,3,1,74,South
1,11,4,0,Stop
1,10,4,1,South
1,9,4,2,South
1,8,4,3,South
1,9,4,4,North
2,9,4,5,East
2,8,4,6,South
3,8,4,7,East
3,9,4,8,North
4,9,4,9,East
5,9,4,10,East
5,10,4,11,North
5,11,4,12,North
5,10,4,13,South
6,10,3,14,East
6,10,3,15,East
6,10,3,16,East
6,9,3,17,South
6,10,3,18,North
6,10,3,19,North
6,10,3,20,North
6,9,3,21,South
7,9,3,22,East
8,9,2,23,East
8,8,2,24,South
8,7,2,25,South
8,6,2,26,South
8,5,2,27,South
9,5,2,28,East
10,5,2,29,East
11,5,1,30,East
12,5,1,31,East
13,5,1,32,East
14,5,1,33,East
1,11,4,0,Stop
1,10,4,1,South
1,9,4,2,South
2,9,4,3,East
3,9,3,4,East
4,9,3,5,East
4,8,3,6,South
4,7,3,7,South
3,7,3,8,West
4,7,3,9,East
5,7,3,10,East
4,7,3,11,West
5,7,3,12,East
5,8,3,13,North
5,9,3,14,North
5,10,3,15,North
5,11,3,16,North
6,11,3,17,East
7,11,2,18,East
8,11,2,19,East
9,11,2,20,East
10,11,2,21,East
10,10,2,22,South
10,9,2,23,South
10,8,2,24,South
10,9,2,25,North
10,8,2,26,South
10,8,2,27,South
10,8,2,28,South
10,8,2,29,South
10,8,2,30,South
10,8,2,31,South
10,8,2,32,South
10,8,2,33,South
10,9,2,34,North
10,10,2,35,North
11,10,2,36,East
11,11,2,37,North
12,11,1,38,East
11,11,1,39,West
11,10,1,40,South
11,9,1,41,South
10,9,1,42,West
10,8,1,43,South
10,7,1,44,South
10,6,1,45,South
10,5,1,46,South
9,5,1,47,West
9,4,1,48,South
9,3,1,49,South
8,3,1,50,West
7,3,1,51,West
6,3,1,52,West
6,4,1,53,North
5,4,1,54,West
5,5,1,55,North
5,4,1,56,South
5,3,1,57,South
4,3,1,58,West
4,4,1,59,North
1,11,4,0,Stop
1,10,4,1,South
1,9,4,2,South
2,9,4,3,East
3,9,4,4,East
4,9,4,5,East
4,8,4,6,South
5,8,4,7,East
6,8,4,8,East
7,8,4,9,East
8,8,4,10,East
9,8,3,11,East
9,9,3,12,North
10,9,3,13,East
10,10,2,14,North
10,9,2,15,South
11,9,2,16,East
12,9,1,17,East
12,8,1,18,South
12,7,1,19,South
12,7,1,20,South
12,7,1,21,South
12,7,1,22,South
12,7,1,23,South
12,7,1,24,South
12,7,1,25,South
12,7,1,26,South
12,7,1,27,South
12,7,1,28,South
12,7,1,29,South
12,7,1,30,South
12,7,1,31,South
12,7,1,32,South
12,7,1,33,South
12,7,1,34,South
12,7,1,35,South
12,7,1,36,South
12,7,1,37,South
12,7,1,38,South
12,7,1,39,South
12,7,1,40,South
12,7,1,41,South
