@RELATION pacman_info
   @ATTRIBUTE pacmanX NUMERIC
   @ATTRIBUTE pacmanY NUMERIC
   @ATTRIBUTE livingGhosts NUMERIC
   @ATTRIBUTE minGhost NUMERIC
   @ATTRIBUTE ticks NUMERIC
   @ATTRIBUTE class {Stop, North, South, East, West}

@data
5,10,4,2,9,North
5,11,4,2,10,North
4,11,4,1,11,West
3,11,3,8,12,West
4,11,3,8,13,East
5,11,3,7,14,East
6,11,3,5,15,East
7,11,3,3,16,East
8,11,3,3,17,East
9,11,3,1,18,East
10,11,2,7,19,East
10,10,2,7,20,South
10,9,2,6,21,South
10,8,2,6,22,South
10,7,2,5,23,South
10,6,2,3,24,South
10,5,2,3,25,South
9,5,2,1,26,West
8,5,1,7,27,West
8,4,1,7,28,South
9,4,1,7,29,East
9,5,1,7,30,North
10,5,1,5,31,East
10,4,1,5,32,South
10,5,1,6,33,North
10,4,1,6,34,South
11,4,1,6,35,East
11,3,1,6,36,South
11,3,1,7,37,South
11,3,1,8,38,South
11,3,1,8,39,South
11,4,1,6,40,North
11,4,1,6,41,North
11,4,1,6,42,North
11,4,1,7,43,North
11,4,1,6,44,North
11,4,1,6,45,North
11,4,1,6,46,North
11,4,1,7,47,North
11,4,1,6,48,North
11,4,1,5,49,North
11,4,1,4,50,North
11,4,1,5,51,North
11,4,1,6,52,North
11,4,1,5,53,North
11,5,1,4,54,North
12,5,1,2,55,East
13,5,1,2,56,East
14,5,1,2,57,East
14,6,1,2,58,North
14,7,1,2,59,North
15,7,1,2,60,East
15,8,1,2,61,North
1,11,4,7,0,Stop
1,10,4,7,1,South
1,9,4,7,2,South
1,8,4,7,3,South
1,7,4,6,4,South
2,7,4,4,5,East
3,7,4,4,6,East
3,8,4,4,7,North
3,7,4,2,8,South
4,7,3,4,9,East
5,7,3,3,10,East
6,7,3,3,11,East
5,7,3,3,12,West
6,7,3,3,13,East
7,7,3,3,14,East
6,7,3,2,15,West
7,7,3,2,16,East
8,7,3,4,17,East
8,6,3,4,18,South
8,5,3,3,19,South
8,4,3,1,20,South
8,3,2,13,21,South
8,4,2,11,22,North
8,5,2,10,23,North
8,6,2,10,24,North
8,7,2,9,25,North
8,8,2,8,26,North
8,9,2,6,27,North
9,9,2,4,28,East
10,9,2,3,29,East
10,10,2,2,30,North
10,11,1,6,31,North
11,11,1,4,32,East
12,11,1,4,33,East
13,11,1,2,34,East
14,11,1,2,35,East
1,11,4,7,0,Stop
1,10,4,5,1,South
1,9,4,4,2,South
2,9,4,4,3,East
3,9,4,4,4,East
3,8,4,4,5,South
3,9,4,4,6,North
4,9,4,3,7,East
5,9,4,3,8,East
5,8,4,3,9,South
5,7,4,1,10,South
6,7,3,5,11,East
7,7,3,4,12,East
8,7,3,4,13,East
8,6,3,4,14,South
8,5,3,4,15,South
8,4,3,2,16,South
7,4,2,7,17,West
7,5,2,6,18,North
8,5,2,6,19,East
8,6,2,4,20,North
8,7,2,2,21,North
9,7,2,2,22,East
9,6,2,2,23,South
9,7,2,2,24,North
9,8,2,2,25,North
9,7,2,2,26,South
9,8,2,2,27,North
9,9,1,2,28,North
10,9,1,2,29,East
11,9,1,2,30,East
11,10,1,2,31,North
10,10,1,1,32,West
1,11,4,7,0,Stop
1,10,4,7,1,South
1,9,4,5,2,South
2,9,4,5,3,East
3,9,4,4,4,East
4,9,4,3,5,East
5,9,4,2,6,East
5,10,3,2,7,North
5,11,3,1,8,North
6,11,2,6,9,East
6,10,2,6,10,South
6,9,2,5,11,South
6,8,2,5,12,South
6,7,2,5,13,South
7,7,2,4,14,East
8,7,2,2,15,East
8,6,2,2,16,South
8,5,2,2,17,South
9,5,2,1,18,East
10,5,1,7,19,East
10,6,1,6,20,North
10,7,1,4,21,North
10,8,1,2,22,North
10,8,1,2,23,North
10,8,1,3,24,North
10,8,1,2,25,North
10,9,1,2,26,North
1,11,4,7,0,Stop
1,10,4,5,1,South
1,9,4,3,2,South
2,9,4,1,3,East
3,9,3,9,4,East
3,8,3,7,5,South
3,7,3,5,6,South
4,7,3,5,7,East
5,7,3,4,8,East
6,7,3,3,9,East
7,7,3,3,10,East
8,7,3,5,11,East
8,6,3,5,12,South
8,5,3,4,13,South
8,4,3,2,14,South
7,4,3,2,15,West
7,5,3,2,16,North
6,5,2,8,17,West
7,5,2,8,18,East
8,5,2,8,19,East
8,6,2,6,20,North
8,7,2,6,21,North
8,8,2,5,22,North
8,9,2,5,23,North
9,9,2,4,24,East
10,9,2,2,25,East
10,10,1,11,26,North
10,9,1,11,27,South
10,8,1,10,28,South
10,7,1,10,29,South
10,6,1,10,30,South
10,5,1,9,31,South
10,4,1,7,32,South
10,3,1,6,33,South
11,3,1,6,34,East
11,3,1,7,35,East
11,4,1,7,36,North
11,4,1,6,37,North
11,4,1,6,38,North
11,4,1,7,39,North
11,4,1,7,40,North
11,5,1,7,41,North
12,5,1,7,42,East
13,5,1,7,43,East
13,4,1,5,44,South
13,3,1,7,45,South
13,4,1,7,46,North
13,5,1,5,47,North
14,5,1,3,48,East
15,5,1,3,49,East
16,5,1,1,50,East
1,11,4,7,0,Stop
1,10,4,5,1,South
1,9,4,3,2,South
2,9,4,3,3,East
3,9,4,3,4,East
4,9,4,2,5,East
5,9,4,1,6,East
6,9,3,2,7,East
6,10,3,1,8,North
5,10,2,10,9,West
5,9,2,10,10,South
5,8,2,9,11,South
5,7,2,7,12,South
6,7,2,5,13,East
7,7,2,5,14,East
6,7,2,5,15,West
7,7,2,4,16,East
8,7,2,4,17,East
8,6,2,3,18,South
8,5,2,3,19,South
8,4,2,2,20,South
8,3,2,2,21,South
8,4,2,2,22,North
8,5,2,2,23,North
9,5,2,2,24,East
10,5,1,11,25,East
10,6,1,10,26,North
10,7,1,8,27,North
10,8,1,8,28,North
10,8,1,7,29,North
10,7,1,6,30,South
10,7,1,6,31,South
10,7,1,6,32,South
10,7,1,7,33,South
10,7,1,8,34,South
10,8,1,7,35,North
10,8,1,8,36,North
10,8,1,9,37,North
10,8,1,9,38,North
10,7,1,7,39,South
10,7,1,6,40,South
10,7,1,7,41,South
10,7,1,8,42,South
10,7,1,9,43,South
10,7,1,10,44,South
10,6,1,8,45,South
10,5,1,8,46,South
10,6,1,9,47,North
10,5,1,8,48,South
11,5,1,6,49,East
12,5,1,6,50,East
13,5,1,4,51,East
13,4,1,4,52,South
14,4,1,4,53,East
14,5,1,4,54,North
15,5,1,3,55,East
16,5,1,3,56,East
17,5,1,1,57,East
1,11,4,7,0,Stop
1,10,4,6,1,South
1,9,4,6,2,South
2,9,4,6,3,East
2,8,4,5,4,South
3,8,4,5,5,East
3,7,4,4,6,South
4,7,4,2,7,East
5,7,4,2,8,East
6,7,4,2,9,East
7,7,4,2,10,East
8,7,3,4,11,East
8,8,3,4,12,North
8,9,3,4,13,North
7,9,3,2,14,West
6,9,3,2,15,West
6,10,3,1,16,North
6,11,2,6,17,North
6,10,2,5,18,South
6,9,2,4,19,South
6,8,2,4,20,South
6,7,2,3,21,South
5,7,2,2,22,West
6,7,2,2,23,East
7,7,2,4,24,East
6,7,2,3,25,West
5,7,2,3,26,West
6,7,2,3,27,East
5,7,2,3,28,West
6,7,2,3,29,East
7,7,2,3,30,East
6,7,2,3,31,West
7,7,2,3,32,East
8,7,2,3,33,East
8,6,2,3,34,South
8,5,2,3,35,South
7,5,2,2,36,West
6,5,1,9,37,West
7,5,1,8,38,East
8,5,1,6,39,East
8,6,1,6,40,North
8,7,1,5,41,North
