@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R3,5'

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute minGhost numeric
@attribute class {Stop,North,South,East,West}

@data
8,6,2,South
8,5,2,South
9,5,1,East
10,5,7,East
10,6,6,North
10,7,4,North
10,8,2,North
10,8,2,North
10,8,3,North
10,8,2,North
10,9,2,North
1,11,7,Stop
1,10,5,South
1,9,3,South
2,9,1,East
3,9,9,East
3,8,7,South
3,7,5,South
4,7,5,East
5,7,4,East
6,7,3,East
7,7,3,East
8,7,5,East
8,6,5,South
8,5,4,South
8,4,2,South
7,4,2,West
7,5,2,North
6,5,8,West
7,5,8,East
8,5,8,East
8,6,6,North
8,7,6,North
8,8,5,North
8,9,5,North
9,9,4,East
10,9,2,East
10,10,11,North
10,9,11,South
10,8,10,South
10,7,10,South
10,6,10,South
10,5,9,South
10,4,7,South
10,3,6,South
11,3,6,East
11,3,7,East
11,4,7,North
11,4,6,North
11,4,6,North
11,4,7,North
11,4,7,North
11,5,7,North
12,5,7,East
13,5,7,East
13,4,5,South
13,3,7,South
13,4,7,North
13,5,5,North
14,5,3,East
15,5,3,East
16,5,1,East
1,11,7,Stop
1,10,5,South
1,9,3,South
2,9,3,East
3,9,3,East
4,9,2,East
5,9,1,East
6,9,2,East
6,10,1,North
5,10,10,West
5,9,10,South
5,8,9,South
5,7,7,South
6,7,5,East
7,7,5,East
6,7,5,West
7,7,4,East
8,7,4,East
8,6,3,South
8,5,3,South
8,4,2,South
8,3,2,South
8,4,2,North
8,5,2,North
9,5,2,East
10,5,11,East
10,6,10,North
10,7,8,North
10,8,8,North
10,8,7,North
10,7,6,South
10,7,6,South
10,7,6,South
10,7,7,South
10,7,8,South
10,8,7,North
10,8,8,North
10,8,9,North
10,8,9,North
10,7,7,South
10,7,6,South
10,7,7,South
10,7,8,South
10,7,9,South
10,7,10,South
10,6,8,South
10,5,8,South
10,6,9,North
10,5,8,South
11,5,6,East
12,5,6,East
13,5,4,East
13,4,4,South
14,4,4,East
14,5,4,North
15,5,3,East
16,5,3,East
17,5,1,East
1,11,7,Stop
1,10,6,South
1,9,6,South
2,9,6,East
2,8,5,South
3,8,5,East
3,7,4,South
4,7,2,East
5,7,2,East
6,7,2,East
7,7,2,East
8,7,4,East
8,8,4,North
8,9,4,North
7,9,2,West
6,9,2,West
6,10,1,North
6,11,6,North
6,10,5,South
6,9,4,South
6,8,4,South
6,7,3,South
5,7,2,West
6,7,2,East
7,7,4,East
6,7,3,West
5,7,3,West
6,7,3,East
5,7,3,West
6,7,3,East
7,7,3,East
6,7,3,West
7,7,3,East
8,7,3,East
8,6,3,South
8,5,3,South
7,5,2,West
6,5,9,West
7,5,8,East
8,5,6,East
8,6,6,North
8,7,5,North
9,7,3,East
10,7,3,East
10,7,4,East
10,8,2,North
10,9,4,North
10,8,2,South
10,7,2,South
10,8,4,North
10,7,2,South
10,7,3,South
10,7,3,South
10,7,2,South
10,7,3,South
10,7,2,South
10,7,3,South
10,7,4,South
10,7,5,South
10,7,4,South
10,7,5,South
10,7,4,South
10,8,4,North
10,8,3,North
10,9,4,North
10,8,2,South
10,8,3,South
10,8,2,South
10,8,3,South
10,8,3,South
10,7,2,South
10,7,2,South
10,7,3,South
10,7,4,South
10,7,3,South
10,8,5,North
10,7,4,South
10,7,4,South
10,7,5,South
10,7,6,South
10,7,5,South
10,8,6,North
10,7,4,South
10,7,3,South
10,7,4,South
10,7,5,South
10,7,4,South
10,6,4,South
10,7,4,North
10,6,6,South
10,7,4,North
10,8,6,North
10,7,5,South
10,7,6,South
10,7,7,South
10,7,8,South
10,8,8,North
10,8,9,North
10,7,7,South
10,7,8,South
10,7,8,South
10,7,9,South
10,7,9,South
10,8,9,North
10,8,10,North
10,7,8,South
10,6,10,South
10,7,10,North
10,8,9,North
10,9,9,North
11,9,7,East
11,10,8,North
11,9,8,South
12,9,6,East
13,9,6,East
14,9,4,East
14,8,5,South
14,9,5,North
15,9,5,East
15,8,3,South
15,7,3,South
15,8,3,North
15,7,2,South
1,11,7,Stop
1,10,5,South
1,9,5,South
1,8,3,South
2,8,3,East
3,8,1,East
4,8,3,East
4,9,3,North
5,9,1,East
5,10,7,North
5,9,5,South
5,8,5,South
5,7,5,South
6,7,3,East
7,7,3,East
8,7,2,East
8,6,2,South
8,5,1,South
9,5,7,East
9,4,5,South
10,4,5,East
11,4,5,East
11,5,4,North
12,5,4,East
13,5,4,East
14,5,4,East
14,6,2,North
14,7,1,North
1,11,7,Stop
1,10,5,South
1,10,5,South
1,10,4,South
1,10,4,South
1,10,5,South
1,11,5,North
2,11,5,East
3,11,3,East
4,11,3,East
5,11,2,East
5,10,2,South
5,9,2,South
5,8,4,South
5,7,2,South
6,7,1,East
7,7,9,East
7,8,9,North
7,9,9,North
8,9,7,East
9,9,7,East
10,9,7,East
10,10,5,North
10,11,5,North
11,11,4,East
12,11,4,East
13,11,4,East
14,11,4,East
15,11,2,East
16,11,2,East
17,11,1,East
18,11,11,East
18,10,9,South
18,9,7,South
18,8,7,South
18,7,7,South
18,6,7,South
18,5,6,South
18,4,5,South
18,3,5,South
17,3,4,West
16,3,3,West
15,3,1,West
1,11,7,Stop
1,10,6,South
1,9,5,South
2,9,3,East
3,9,3,East
4,9,1,East
5,9,4,East
5,8,4,South
5,7,3,South
6,7,5,East
5,7,5,West
4,7,3,West
3,7,3,West
4,7,5,East
3,7,3,West
4,7,5,East
3,7,5,West
2,7,4,West
3,7,4,East
2,7,4,West
1,7,4,West
1,6,3,South
1,5,3,South
1,4,1,South
2,4,13,East
2,5,13,North
3,5,13,East
4,5,11,East
5,5,9,East
6,5,9,East
7,5,7,East
8,5,7,East
8,6,6,North
8,7,4,North
9,7,4,East
9,8,3,North
10,8,2,East
10,8,3,East
10,7,2,South
10,7,3,South
10,8,3,North
10,8,3,North
10,8,4,North
10,9,3,North
11,9,3,East
12,9,3,East
13,9,2,East
14,9,2,East
15,9,2,East
16,9,2,East
16,8,5,South
16,9,3,North
15,9,1,West
1,11,7,Stop
1,10,6,South
1,9,5,South
2,9,5,East
3,9,5,East
4,9,3,East
5,9,1,East
6,9,2,East
6,10,7,North
6,9,5,South
6,8,3,South
6,7,3,South
7,7,5,East
6,7,3,West
5,7,2,West
6,7,3,East
5,7,2,West
6,7,4,East
5,7,4,West
4,7,4,West
5,7,5,East
4,7,3,West
5,7,3,East
4,7,3,West
3,7,2,West
4,7,2,East
5,7,4,East
4,7,2,West
5,7,4,East
4,7,4,West
3,7,3,West
4,7,5,East
3,7,5,West
2,7,3,West
3,7,3,East
2,7,2,West
3,7,4,East
2,7,4,West
1,7,4,West
1,6,3,South
1,5,1,South
1,4,16,South
2,4,14,East
3,4,14,East
4,4,14,East
5,4,14,East
6,4,12,East
6,3,12,South
7,3,10,East
7,4,10,North
8,4,8,East
8,3,8,South
8,4,6,North
9,4,6,East
10,4,6,East
11,4,4,East
11,5,4,North
12,5,3,East
13,5,3,East
14,5,3,East
14,4,1,South
1,11,7,Stop
1,10,7,South
1,9,6,South
2,9,6,East
3,9,6,East
4,9,4,East
5,9,3,East
5,10,3,North
5,11,2,North
6,11,1,East
7,11,4,East
8,11,4,East
9,11,4,East
10,11,5,East
10,10,5,South
10,9,4,South
10,8,3,South
10,7,2,South
10,6,2,South
10,5,8,South
10,6,8,North
10,7,6,North
9,7,6,West
8,7,4,West
7,7,4,West
6,7,4,West
6,8,2,North
5,8,2,West
5,9,2,North
5,8,2,South
4,8,2,West
4,7,12,South
5,7,12,East
6,7,12,East
7,7,11,East
8,7,9,East
8,6,7,South
8,5,5,South
9,5,5,East
10,5,3,East
11,5,3,East
12,5,3,East
13,5,1,East
13,4,3,South
13,5,3,North
14,5,3,East
14,6,2,North
14,7,2,North
15,7,2,East
15,8,2,North
14,8,2,West
1,11,7,Stop
1,10,6,South
1,9,4,South
2,9,4,East
2,8,3,South
3,8,3,East
3,9,3,North
3,8,1,South
4,8,5,East
4,7,3,South
5,7,2,East
6,7,4,East
5,7,3,West
6,7,5,East
5,7,5,West
4,7,3,West
5,7,3,East
4,7,3,West
5,7,2,East
6,7,4,East
5,7,3,West
6,7,4,East
5,7,4,West
4,7,4,West
5,7,2,East
6,7,4,East
5,7,4,West
6,7,3,East
6,8,1,North
6,9,9,North
6,8,7,South
6,7,5,South
5,7,4,West
4,7,4,West
3,7,3,West
4,7,4,East
3,7,4,West
4,7,2,East
5,7,2,East
6,7,4,East
5,7,4,West
4,7,4,West
5,7,4,East
4,7,3,West
5,7,4,East
4,7,4,West
5,7,4,East
6,7,4,East
7,7,6,East
6,7,4,West
5,7,3,West
6,7,3,East
7,7,3,East
6,7,3,West
7,7,4,East
6,7,2,West
7,7,4,East
6,7,3,West
5,7,2,West
6,7,4,East
5,7,4,West
6,7,4,East
7,7,4,East
6,7,4,West
7,7,2,East
8,7,4,East
8,6,4,South
8,5,3,South
8,4,3,South
8,3,3,South
7,3,1,West
7,4,2,North
6,4,1,West
5,4,3,West
5,3,1,South
1,11,7,Stop
1,10,6,South
1,9,6,South
1,8,6,South
1,9,6,North
2,9,6,East
2,8,4,South
3,8,4,East
3,9,3,North
4,9,2,East
5,9,2,East
5,10,2,North
5,11,2,North
5,10,1,South
6,10,5,East
6,10,4,East
6,10,5,East
6,9,5,South
6,10,4,North
6,10,4,North
6,10,5,North
6,9,3,South
7,9,1,East
8,9,6,East
8,8,6,South
8,7,6,South
8,6,6,South
8,5,4,South
9,5,3,East
10,5,1,East
11,5,6,East
12,5,4,East
13,5,3,East
14,5,1,East
1,11,7,Stop
1,10,5,South
1,9,3,South
2,9,1,East
3,9,5,East
4,9,5,East
4,8,3,South
4,7,3,South
3,7,3,West
4,7,3,East
5,7,5,East
4,7,4,West
5,7,3,East
5,8,2,North
5,9,2,North
5,10,2,North
5,11,2,North
6,11,1,East
7,11,7,East
8,11,7,East
9,11,7,East
10,11,7,East
10,10,5,South
10,9,3,South
10,8,3,South
10,9,4,North
10,8,4,South
10,8,4,South
10,8,4,South
10,8,3,South
10,8,4,South
10,8,4,South
10,8,5,South
10,8,6,South
10,9,5,North
10,10,5,North
11,10,3,East
11,11,1,North
12,11,15,East
11,11,14,West
11,10,14,South
11,9,13,South
10,9,13,West
10,8,13,South
10,7,11,South
10,6,10,South
10,5,8,South
9,5,8,West
9,4,8,South
9,3,8,South
8,3,7,West
7,3,6,West
6,3,6,West
6,4,4,North
5,4,4,West
5,5,4,North
5,4,4,South
5,3,4,South
4,3,4,West
4,4,2,North
1,11,7,Stop
1,10,7,South
1,9,5,South
2,9,3,East
3,9,3,East
4,9,3,East
4,8,3,South
5,8,3,East
6,8,3,East
7,8,3,East
8,8,1,East
9,8,2,East
9,9,2,North
10,9,1,East
10,10,4,North
10,9,4,South
11,9,2,East
12,9,12,East
12,8,11,South
12,7,9,South
12,7,10,South
12,7,10,South
12,7,9,South
12,7,10,South
12,7,10,South
12,7,10,South
12,7,10,South
12,7,9,South
12,7,9,South
12,7,9,South
12,7,8,South
12,7,7,South
12,7,7,South
12,7,6,South
12,7,6,South
12,7,7,South
12,7,7,South
12,7,8,South
12,7,8,South
12,7,7,South
12,7,8,South
12,7,7,South
12,7,6,South
12,7,5,South
12,7,6,South
12,7,6,South
12,7,7,South
12,7,7,South
12,7,7,South
12,7,7,South
12,7,8,South
12,7,7,South
12,7,8,South
12,7,9,South
12,7,8,South
12,7,9,South
12,7,8,South
12,7,8,South
12,7,9,South
12,7,10,South
12,7,9,South
12,7,10,South
12,7,11,South
12,7,11,South
12,7,12,South
12,7,11,South
12,7,10,South
12,7,11,South
12,7,12,South
12,7,11,South
12,7,12,South
12,7,11,South
12,7,10,South
12,7,11,South
12,7,12,South
12,7,13,South
12,7,12,South
12,7,12,South
12,7,11,South
12,7,12,South
12,7,11,South
12,7,12,South
12,7,12,South
12,7,13,South
12,7,12,South
12,7,12,South
12,7,11,South
12,7,10,South
12,7,9,South
12,7,10,South
12,7,10,South
12,7,10,South
12,7,11,South
12,8,10,North
12,8,11,North
12,8,11,North
12,8,11,North
12,8,12,North
12,7,10,South
12,7,10,South
12,7,9,South
12,7,9,South
12,7,9,South
12,7,10,South
12,8,10,North
12,7,9,South
12,7,8,South
12,7,9,South
12,8,9,North
12,8,10,North
12,7,10,South
12,8,10,North
12,8,11,North
12,7,11,South
12,8,11,North
12,7,10,South
12,7,10,South
12,7,10,South
12,7,11,South
12,7,11,South
12,7,12,South
12,7,11,South
12,7,11,South
12,7,12,South
12,8,10,North
12,8,10,North
12,8,10,North
12,8,11,North
12,9,11,North
11,9,11,West
11,10,11,North
11,11,9,North
10,11,9,West
9,11,9,West
8,11,8,West
7,11,8,West
6,11,6,West
6,10,5,South
5,10,5,West
5,11,3,North
4,11,2,West
1,11,7,Stop
1,10,6,South
1,9,5,South
2,9,5,East
2,8,3,South
3,8,1,East
4,8,6,East
4,7,6,South
5,7,5,East
6,7,5,East
7,7,5,East
8,7,5,East
8,6,4,South
8,5,3,South
8,4,2,South
8,3,2,South
8,4,9,North
8,5,7,North
8,6,6,North
