@RELATION pacman_info

@ATTRIBUTE pacmanX NUMERIC
@ATTRIBUTE pacmanY NUMERIC
@ATTRIBUTE width NUMERIC
@ATTRIBUTE height NUMERIC
@ATTRIBUTE g1Living {True, False}
@ATTRIBUTE g2Living {True, False}
@ATTRIBUTE g3Living {True, False}
@ATTRIBUTE g4Living {True, False}
@ATTRIBUTE livingGhosts NUMERIC
@ATTRIBUTE g1X NUMERIC
@ATTRIBUTE g1Y NUMERIC
@ATTRIBUTE g2X NUMERIC
@ATTRIBUTE g2Y NUMERIC
@ATTRIBUTE g3X NUMERIC
@ATTRIBUTE g3Y NUMERIC
@ATTRIBUTE g4X NUMERIC
@ATTRIBUTE g4Y NUMERIC
@ATTRIBUTE g1D NUMERIC
@ATTRIBUTE g2D NUMERIC
@ATTRIBUTE g3D NUMERIC
@ATTRIBUTE g4D NUMERIC
@ATTRIBUTE minGhost NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE score2 NUMERIC
@ATTRIBUTE class {Stop, North, South, East, West}

@data
11,11,30,20,False,False,True,True,2,1,1,3,1,17,6,25,7,-1,-1,11,18,11,352,351,North
11,12,30,20,False,False,True,True,2,1,1,3,1,17,6,25,7,-1,-1,12,19,12,351,350,North
12,12,30,20,False,False,True,True,2,1,1,3,1,17,6,25,7,-1,-1,11,18,11,350,349,East
13,12,30,20,False,False,True,True,2,1,1,3,1,17,6,25,7,-1,-1,10,17,10,349,348,East
13,11,30,20,False,False,True,True,2,1,1,3,1,17,6,25,7,-1,-1,9,16,9,348,347,South
13,10,30,20,False,False,True,True,2,1,1,3,1,17,6,25,7,-1,-1,8,15,8,347,346,South
13,9,30,20,False,False,True,True,2,1,1,3,1,17,6,25,7,-1,-1,7,14,7,346,345,South
13,8,30,20,False,False,True,True,2,1,1,3,1,17,6,25,7,-1,-1,6,13,6,345,344,South
13,7,30,20,False,False,True,True,2,1,1,3,1,17,6,25,7,-1,-1,5,12,5,344,343,South
14,7,30,20,False,False,True,True,2,1,1,3,1,17,6,25,7,-1,-1,4,11,4,343,342,East
14,7,30,20,False,False,True,True,2,1,1,3,1,17,6,25,7,-1,-1,4,11,4,342,341,East
13,7,30,20,False,False,True,True,2,1,1,3,1,17,6,25,7,-1,-1,5,12,5,341,340,West
13,6,30,20,False,False,True,True,2,1,1,3,1,17,6,25,7,-1,-1,4,13,4,340,339,South
13,5,30,20,False,False,True,True,2,1,1,3,1,17,6,25,7,-1,-1,5,14,5,339,338,South
14,5,30,20,False,False,True,True,2,1,1,3,1,17,6,25,7,-1,-1,4,13,4,338,337,East
14,5,30,20,False,False,True,True,2,1,1,3,1,17,6,25,7,-1,-1,4,13,4,337,336,East
14,5,30,20,False,False,True,True,2,1,1,3,1,17,6,25,7,-1,-1,4,13,4,336,335,East
14,6,30,20,False,False,True,True,2,1,1,3,1,17,6,25,7,-1,-1,3,12,3,335,334,North
14,7,30,20,False,False,True,True,2,1,1,3,1,17,6,25,7,-1,-1,4,11,4,334,333,North
14,8,30,20,False,False,True,True,2,1,1,3,1,17,6,25,7,-1,-1,5,12,5,333,332,North
14,9,30,20,False,False,True,True,2,1,1,3,1,17,6,25,7,-1,-1,6,13,6,332,331,North
14,10,30,20,False,False,True,True,2,1,1,3,1,17,6,25,7,-1,-1,7,14,7,331,330,North
14,9,30,20,False,False,True,True,2,1,1,3,1,17,6,25,7,-1,-1,6,13,6,330,329,South
14,8,30,20,False,False,True,True,2,1,1,3,1,17,6,25,7,-1,-1,5,12,5,329,328,South
14,7,30,20,False,False,True,True,2,1,1,3,1,17,6,25,7,-1,-1,4,11,4,328,327,South
14,6,30,20,False,False,True,True,2,1,1,3,1,17,6,25,7,-1,-1,3,12,3,327,326,South
15,6,30,20,False,False,True,True,2,1,1,3,1,17,6,25,7,-1,-1,2,11,2,326,325,East
16,6,30,20,False,False,True,True,2,1,1,3,1,17,6,25,7,-1,-1,1,10,1,325,524,East
17,6,30,20,False,False,False,True,1,1,1,3,1,5,1,25,7,-1,-1,-1,9,9,524,523,East
18,6,30,20,False,False,False,True,1,1,1,3,1,5,1,25,7,-1,-1,-1,8,8,523,522,East
19,6,30,20,False,False,False,True,1,1,1,3,1,5,1,25,7,-1,-1,-1,7,7,522,521,East
20,6,30,20,False,False,False,True,1,1,1,3,1,5,1,25,7,-1,-1,-1,6,6,521,520,East
21,6,30,20,False,False,False,True,1,1,1,3,1,5,1,25,7,-1,-1,-1,5,5,520,519,East
22,6,30,20,False,False,False,True,1,1,1,3,1,5,1,25,7,-1,-1,-1,4,4,519,518,East
