@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R6-8-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,7,6-weka.filters.unsupervised.attribute.Remove-R3'

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}
@attribute score2 numeric

@data
6,4,2,382,North,381
6,4,1,381,North,580
7,4,7,580,East,579
7,3,7,579,South,578
7,3,8,578,South,577
8,3,6,577,East,576
9,3,5,576,East,575
10,3,4,575,East,574
11,3,2,574,East,573
12,3,1,573,East,772
1,11,7,0,Stop,-1
1,11,6,-1,Stop,-2
1,11,6,-2,Stop,-3
2,11,4,-3,East,-4
3,11,4,-4,East,-5
4,11,2,-5,East,-6
5,11,1,-6,East,-7
6,11,2,-7,East,-8
6,10,3,192,South,191
6,9,1,191,South,390
6,8,6,390,South,389
7,8,4,389,East,388
8,8,4,388,East,387
8,7,4,387,South,386
8,6,4,386,South,385
8,5,3,385,South,384
7,5,2,384,West,383
6,5,2,383,West,382
5,5,2,382,West,381
6,5,4,381,East,380
7,5,5,380,East,379
6,5,3,379,West,378
5,5,1,378,West,577
4,5,15,577,West,576
3,5,15,576,West,575
4,5,15,575,East,574
5,5,15,574,East,573
6,5,14,573,East,572
7,5,14,572,East,571
8,5,13,571,East,570
9,5,12,570,East,569
10,5,10,569,East,568
11,5,10,568,East,567
12,5,8,567,East,566
13,5,8,566,East,565
14,5,7,565,East,564
14,6,7,564,North,563
14,7,6,563,North,562
14,8,6,562,North,561
15,8,5,561,East,560
16,8,5,560,East,559
16,9,3,559,North,558
16,9,3,558,North,557
17,9,3,557,East,556
18,9,2,556,East,555
18,10,1,555,North,754
1,6,7,0,Stop,-1
1,6,7,-1,Stop,-2
1,6,7,-2,Stop,-3
2,6,6,-3,East,-4
3,6,5,-4,East,-5
4,6,4,-5,East,-6
5,6,3,-6,East,-7
6,6,2,-7,East,-8
7,6,1,-8,East,191
8,6,4,191,East,190
9,6,5,190,East,189
10,6,4,189,East,188
11,6,3,188,East,187
12,6,4,187,East,186
13,6,3,186,East,185
14,6,2,185,East,184
15,6,1,184,East,383
16,6,8,383,East,382
16,5,7,382,South,381
16,4,6,381,South,380
15,4,5,380,West,379
14,4,4,379,West,378
13,4,3,378,West,377
13,3,2,377,South,376
12,3,1,376,West,575
11,3,6,575,West,574
10,3,5,574,West,573
10,4,4,573,North,572
9,4,3,572,West,571
8,4,2,571,West,570
7,4,1,570,West,769
12,10,3,0,Stop,-1
12,10,3,-1,Stop,-2
13,10,1,-2,East,-3
14,10,3,-3,East,-4
15,10,4,-4,East,-5
14,10,3,-5,West,-6
14,9,3,-6,South,-7
14,8,2,-7,South,-8
13,8,4,192,West,191
12,8,6,191,West,190
12,9,4,190,North,189
12,10,2,189,North,188
12,11,2,188,North,187
13,11,2,187,East,186
13,10,1,186,South,185
13,9,2,185,South,184
13,8,2,184,South,183
14,8,2,183,East,182
14,9,2,182,North,181
13,9,2,181,West,180
12,9,2,180,West,179
11,9,2,179,West,178
10,9,2,178,West,177
9,9,4,177,West,176
9,8,2,176,South,175
9,7,3,175,South,174
10,7,3,174,East,173
11,7,1,173,East,372
11,8,4,372,North,371
11,9,3,371,North,370
11,10,2,370,North,369
12,10,2,369,East,368
13,10,3,368,East,367
13,11,3,367,North,366
13,12,1,366,North,565
12,12,11,565,West,564
11,12,10,564,West,563
10,12,8,563,West,562
10,11,6,562,South,561
10,10,5,561,South,560
10,9,3,560,South,559
9,9,3,559,West,558
8,9,3,558,West,557
7,9,2,557,West,556
6,9,2,556,West,555
6,10,2,555,North,554
6,11,3,554,North,553
7,11,1,553,East,752
1,18,13,0,Stop,-1
1,18,14,-1,Stop,-2
2,18,12,-2,East,-3
3,18,12,-3,East,-4
4,18,10,-4,East,-5
3,18,10,-5,West,-6
2,18,12,-6,West,-7
1,18,12,-7,West,-8
1,17,10,-8,South,-9
1,16,8,-9,South,-10
1,15,7,-10,South,-11
1,14,7,-11,South,-12
1,13,7,-12,South,-13
1,12,7,-13,South,-14
1,11,7,-14,South,-15
1,10,7,-15,South,-16
1,9,6,-16,South,-17
1,8,4,-17,South,-18
1,7,4,-18,South,-19
1,6,4,-19,South,-20
2,6,2,-20,East,-21
