@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-R3

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
12,10,2,189,North
13,12,1,366,North
5,6,2,161,North
14,7,6,563,North
10,9,10,350,North
11,10,2,370,North
16,9,3,558,North
10,8,10,351,North
10,4,4,573,North
6,11,3,554,North
11,9,3,371,North
11,9,3,371,North
6,4,2,382,North
6,4,1,381,North
13,11,3,367,North
14,7,6,563,North
10,11,13,348,North
16,9,3,558,North
10,4,4,573,North
14,8,6,562,North
16,9,3,559,North
10,4,4,573,North
6,11,3,554,North
13,11,3,367,North
10,8,10,351,North
10,11,13,348,North
14,9,2,182,North
10,10,11,349,North
14,9,2,182,North
6,4,1,381,North
5,5,4,162,North
13,12,1,366,North
10,4,4,573,North
14,9,2,182,North
12,11,2,188,North
6,10,2,555,North
11,10,2,370,North
10,12,15,347,North
10,12,15,347,North
16,9,3,559,North
6,11,3,554,North
6,4,2,382,North
10,10,11,349,North
16,9,3,558,North
13,3,10,535,South
9,7,3,175,South
1,17,10,-8,South
6,9,1,191,South
6,10,3,192,South
13,9,2,185,South
1,11,7,-14,South
13,10,1,186,South
8,5,3,385,South
1,12,7,-13,South
1,10,7,-15,South
16,5,7,382,South
13,8,6,340,South
8,5,3,385,South
1,13,7,-12,South
1,13,7,-12,South
7,3,2,387,South
10,9,3,560,South
8,7,4,387,South
6,10,3,192,South
16,4,6,381,South
1,11,7,-14,South
1,16,8,-9,South
1,12,7,-13,South
1,17,10,-8,South
7,3,7,579,South
6,10,3,192,South
9,7,3,175,South
13,9,2,185,South
8,6,4,386,South
8,6,4,386,South
7,3,2,386,South
13,5,2,337,South
13,4,1,336,South
1,16,8,-9,South
7,4,1,189,South
16,4,6,381,South
13,6,4,338,South
16,4,6,381,South
6,8,6,390,South
13,8,2,184,South
14,9,3,-6,South
13,5,2,337,South
9,7,3,175,South
13,6,4,338,South
8,5,3,385,South
7,6,12,356,East
3,6,2,-21,East
7,8,4,389,East
13,12,12,344,East
7,4,7,580,East
6,5,4,381,East
6,6,4,-24,East
10,5,10,569,East
2,6,6,-3,East
2,6,6,-3,East
7,6,12,356,East
8,6,4,-26,East
12,3,1,573,East
19,3,4,529,East
10,6,2,-28,East
8,8,4,388,East
14,10,3,-3,East
6,6,4,-24,East
4,11,2,-5,East
15,3,7,533,East
12,10,2,369,East
6,7,13,358,East
2,6,2,-20,East
3,6,2,-21,East
4,11,2,-5,East
4,6,2,-22,East
15,8,5,561,East
7,6,6,-25,East
6,7,13,358,East
10,3,4,575,East
14,8,2,183,East
4,6,2,-22,East
7,6,3,191,East
2,18,12,-2,East
9,6,9,354,East
10,7,3,174,East
2,18,12,-2,East
12,3,1,573,East
13,10,1,-2,East
9,5,12,570,East
11,3,2,574,East
4,6,3,-6,East
7,8,4,389,East
2,18,12,-2,East
6,6,4,-24,East
21,3,2,527,East
9,4,3,572,West
2,18,12,-6,West
7,9,2,557,West
5,5,1,378,West
7,4,1,570,West
7,3,4,166,West
6,3,2,385,West
3,5,15,576,West
5,3,6,164,West
13,9,2,181,West
9,4,3,572,West
1,18,12,-7,West
14,4,4,379,West
7,3,4,166,West
11,3,6,575,West
8,4,2,571,West
7,4,1,570,West
15,4,5,380,West
7,4,1,570,West
12,9,2,180,West
8,4,2,571,West
5,3,3,384,West
10,9,2,178,West
7,3,4,166,West
5,5,1,378,West
4,5,15,577,West
13,4,3,378,West
12,8,6,191,West
8,9,3,558,West
9,9,3,559,West
12,9,2,180,West
1,18,12,-7,West
7,3,4,166,West
12,12,11,565,West
6,3,4,165,West
11,9,2,179,West
5,5,2,382,West
10,3,5,574,West
11,9,2,179,West
6,3,4,165,West
6,3,4,165,West
10,12,8,563,West
5,3,3,384,West
3,18,10,-5,West
11,12,10,564,West
4,5,15,577,West
