@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R3,6-8'

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute minGhost numeric
@attribute score numeric
@attribute score2 numeric
@attribute class {Stop,North,South,East,West}

@data
14,3,1,178,177,West
13,3,1,177,376,West
12,3,3,376,375,West
11,3,3,375,374,West
10,3,4,374,373,West
9,3,6,373,372,West
8,3,7,372,371,West
8,4,7,371,370,North
8,4,7,370,369,North
8,4,6,369,368,North
8,4,7,368,367,North
8,4,7,367,366,North
7,4,6,366,365,West
6,4,6,365,364,West
5,4,4,364,363,West
4,4,2,363,362,West
3,4,1,362,561,West
2,4,13,561,560,West
3,4,11,560,559,East
4,4,11,559,558,East
5,4,10,558,557,East
6,4,9,557,556,East
7,4,7,556,555,East
8,4,7,555,554,East
9,4,7,554,553,East
10,4,6,553,552,East
11,4,4,552,551,East
12,4,4,551,550,East
13,4,3,550,549,East
14,4,3,549,548,East
15,4,2,548,547,East
16,4,1,547,546,East
17,4,2,546,545,East
18,4,2,545,544,East
18,5,4,544,543,North
18,6,6,543,542,North
17,6,4,542,541,West
16,6,2,541,540,West
15,6,2,540,539,West
14,6,3,539,538,West
14,5,1,538,737,South
1,6,7,0,-1,Stop
1,6,7,-1,-2,Stop
1,6,7,-2,-3,Stop
1,6,7,-3,-4,Stop
2,6,6,-4,-5,East
3,6,5,-5,-6,East
4,6,4,-6,-7,East
5,6,3,-7,-8,East
6,6,2,-8,-9,East
7,6,1,-9,190,East
8,6,4,190,189,East
9,6,5,189,188,East
10,6,4,188,187,East
11,6,3,187,186,East
12,6,4,186,185,East
13,6,3,185,184,East
14,6,2,184,183,East
15,6,1,183,382,East
16,6,8,382,381,East
16,5,7,381,380,South
16,4,6,380,379,South
16,3,5,379,378,South
15,3,4,378,377,West
14,3,3,377,376,West
13,3,2,376,375,West
12,3,1,375,574,West
11,3,6,574,573,West
10,3,5,573,572,West
9,3,4,572,571,West
8,3,3,571,570,West
7,3,2,570,569,West
6,3,1,569,768,West
