@RELATION pacman_info
   @ATTRIBUTE pacmanX NUMERIC
   @ATTRIBUTE pacmanY NUMERIC
   @ATTRIBUTE livingGhosts NUMERIC
   @ATTRIBUTE minGhost NUMERIC
   @ATTRIBUTE score NUMERIC
   @ATTRIBUTE pacmanX2 NUMERIC
   @ATTRIBUTE pacmanY2 NUMERIC
   @ATTRIBUTE livingGhosts2 NUMERIC
   @ATTRIBUTE score2 NUMERIC
   @ATTRIBUTE class {Stop, North, South, East, West}

@data
10,6,2,5,384,9,6,2,383,West
9,6,2,4,383,8,6,2,382,West
8,6,2,3,382,7,6,2,381,West
7,6,2,2,381,6,6,2,380,West
6,6,2,1,380,5,6,1,579,West
5,6,1,6,579,5,7,1,578,West
5,7,1,5,578,6,7,1,577,North
6,7,1,6,577,6,8,1,576,East
6,8,1,5,576,6,9,1,575,North
6,9,1,4,575,6,10,1,574,North
6,10,1,3,574,6,11,1,573,North
6,11,1,2,573,6,12,1,572,North
6,12,1,1,572,5,12,0,771,North
1,11,4,7,0,1,11,4,-1,Stop
1,11,4,7,-1,1,11,4,-2,Stop
1,11,4,7,-2,1,11,4,-3,Stop
1,11,4,7,-3,2,11,4,-4,Stop
2,11,4,6,-4,3,11,4,-5,East
3,11,4,5,-5,4,11,4,-6,East
4,11,4,4,-6,5,11,4,-7,East
5,11,4,3,-7,5,10,4,-8,East
5,10,4,2,-8,5,9,4,-9,South
5,9,4,1,-9,6,9,3,190,South
6,9,3,4,190,6,10,3,189,East
6,10,3,3,189,6,11,3,188,North
6,11,3,2,188,7,11,3,187,North
7,11,3,1,187,8,11,2,386,East
8,11,2,8,386,9,11,2,385,East
9,11,2,9,385,10,11,2,384,East
10,11,2,9,384,10,10,2,383,East
10,10,2,8,383,10,9,2,382,South
10,9,2,7,382,11,9,2,381,South
11,9,2,6,381,12,9,2,380,East
12,9,2,5,380,13,9,2,379,East
13,9,2,4,379,14,9,2,378,East
14,9,2,3,378,14,8,2,377,East
14,8,2,2,377,14,7,2,376,South
14,7,2,1,376,14,6,1,575,South
14,6,1,9,575,14,5,1,574,South
14,5,1,8,574,13,5,1,573,South
13,5,1,7,573,12,5,1,572,West
12,5,1,6,572,11,5,1,571,West
11,5,1,5,571,10,5,1,570,West
10,5,1,4,570,9,5,1,569,West
9,5,1,3,569,8,5,1,568,West
8,5,1,2,568,7,5,1,567,West
7,5,1,1,567,6,5,0,766,West
1,11,4,7,0,1,11,4,-1,Stop
1,11,4,8,-1,1,11,4,-2,Stop
1,11,4,7,-2,2,11,4,-3,Stop
2,11,4,6,-3,3,11,4,-4,East
3,11,4,4,-4,4,11,4,-5,East
4,11,4,2,-5,5,11,4,-6,East
5,11,4,2,-6,6,11,4,-7,East
6,11,4,2,-7,7,11,4,-8,East
7,11,4,1,-8,8,11,3,191,East
8,11,3,1,191,9,11,2,390,East
9,11,2,7,390,10,11,2,389,East
10,11,2,7,389,10,10,2,388,East
10,10,2,6,388,10,9,2,387,South
