@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R1-2,6-7'

@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute score numeric
@attribute livingGhosts2 numeric
@attribute score2 numeric
@attribute class {Stop,North,South,East,West}

@data
1,3,550,1,549,East
1,3,549,1,548,East
1,2,548,1,547,East
1,1,547,1,546,East
1,2,546,1,545,East
1,2,545,1,544,East
1,4,544,1,543,North
1,6,543,1,542,North
1,4,542,1,541,West
1,2,541,1,540,West
1,2,540,1,539,West
1,3,539,1,538,West
1,1,538,0,737,South
4,7,0,4,-1,Stop
4,7,-1,4,-2,Stop
4,7,-2,4,-3,Stop
4,7,-3,4,-4,Stop
4,6,-4,4,-5,East
4,5,-5,4,-6,East
4,4,-6,4,-7,East
4,3,-7,4,-8,East
4,2,-8,4,-9,East
4,1,-9,3,190,East
3,4,190,3,189,East
3,5,189,3,188,East
3,4,188,3,187,East
3,3,187,3,186,East
3,4,186,3,185,East
3,3,185,3,184,East
3,2,184,3,183,East
3,1,183,2,382,East
2,8,382,2,381,East
2,7,381,2,380,South
2,6,380,2,379,South
2,5,379,2,378,South
2,4,378,2,377,West
2,3,377,2,376,West
2,2,376,2,375,West
2,1,375,1,574,West
1,6,574,1,573,West
1,5,573,1,572,West
1,4,572,1,571,West
1,3,571,1,570,West
1,2,570,1,569,West
1,1,569,0,768,West
