@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R3-4,8'

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute score numeric
@attribute pacmanX2 numeric
@attribute pacmanY2 numeric
@attribute score2 numeric
@attribute class {Stop,North,South,East,West}

@data
14,5,336,14,4,335,East
14,4,335,15,4,334,South
15,4,334,16,4,333,East
16,4,333,16,3,332,East
16,3,332,17,3,331,South
17,3,331,17,4,330,East
17,4,330,18,4,329,North
18,4,329,19,4,328,East
19,4,328,20,4,327,East
20,4,527,21,4,526,East
21,4,526,22,4,525,East
22,4,525,23,4,524,East
23,4,524,23,5,523,East
23,5,523,24,5,522,North
24,5,522,25,5,521,East
25,5,521,25,4,520,East
25,4,520,25,3,519,South
25,3,519,26,3,518,South
26,3,518,27,3,517,East
27,3,517,28,3,516,East
28,3,516,28,3,515,East
28,3,515,28,4,714,East
12,10,0,12,10,-1,Stop
12,10,-1,12,10,-2,Stop
12,10,-2,13,10,-3,Stop
13,10,-3,14,10,-4,East
14,10,-4,14,11,-5,East
14,11,-5,13,11,-6,North
13,11,-6,13,12,-7,West
13,12,-7,13,13,-8,North
13,13,-8,14,13,-9,North
14,13,-9,14,14,190,East
14,14,190,14,14,189,North
14,14,189,14,13,188,North
14,13,188,14,12,187,South
14,12,187,14,11,186,South
14,11,186,14,10,185,South
14,10,185,14,9,184,South
14,9,184,13,9,183,South
13,9,183,13,8,182,West
13,8,182,13,7,181,South
13,7,181,12,7,180,South
12,7,180,12,8,179,West
12,8,179,13,8,378,North
13,8,378,12,8,377,East
12,8,377,11,8,376,West
11,8,376,10,8,375,West
10,8,375,9,8,374,West
9,8,374,8,8,373,West
8,8,373,8,9,372,West
8,9,372,8,10,371,North
8,10,371,8,11,370,North
8,11,370,8,12,369,North
8,12,369,7,12,368,North
7,12,368,6,12,367,West
6,12,367,5,12,366,West
5,12,366,4,12,365,West
4,12,365,3,12,564,West
3,12,564,4,12,563,West
4,12,563,5,12,562,East
5,12,562,6,12,561,East
6,12,561,7,12,560,East
7,12,560,7,11,559,East
7,11,559,7,10,558,South
7,10,558,7,9,557,South
7,9,557,7,8,556,South
7,8,556,7,7,555,South
7,7,555,7,6,554,South
7,6,554,6,6,553,South
6,6,553,5,6,552,West
5,6,552,5,5,751,West
12,10,0,12,10,-1,Stop
12,10,-1,12,10,-2,Stop
12,10,-2,13,10,-3,Stop
13,10,-3,14,10,-4,East
14,10,-4,14,11,-5,East
14,11,-5,13,11,-6,North
13,11,-6,13,12,193,West
13,12,193,13,11,192,North
13,11,192,13,10,191,South
13,10,191,13,9,190,South
13,9,190,13,8,189,South
13,8,189,13,7,188,South
13,7,188,13,6,387,South
13,6,387,12,6,386,South
12,6,386,11,6,385,West
11,6,385,10,6,384,West
10,6,384,9,6,383,West
9,6,383,8,6,382,West
8,6,382,7,6,381,West
7,6,381,6,6,380,West
6,6,380,5,6,579,West
5,6,579,5,7,578,West
5,7,578,6,7,577,North
6,7,577,6,8,576,East
6,8,576,6,9,575,North
6,9,575,6,10,574,North
6,10,574,6,11,573,North
6,11,573,6,12,572,North
6,12,572,5,12,771,North
1,11,0,1,11,-1,Stop
1,11,-1,1,11,-2,Stop
1,11,-2,1,11,-3,Stop
1,11,-3,2,11,-4,Stop
2,11,-4,3,11,-5,East
3,11,-5,4,11,-6,East
4,11,-6,5,11,-7,East
