@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R24-weka.filters.unsupervised.attribute.Remove-R9,22-weka.filters.unsupervised.attribute.Remove-R16,18-19-weka.filters.unsupervised.attribute.Remove-R11,16-17-weka.filters.unsupervised.attribute.Remove-R11-14-weka.filters.unsupervised.attribute.Remove-R9-10-weka.filters.unsupervised.attribute.Remove-R8'

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute width numeric
@attribute height numeric
@attribute g1Living {True,False}
@attribute g2Living {True,False}
@attribute g3Living {True,False}
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
15,8,20,13,True,False,False,365,West
15,7,20,13,True,False,False,364,South
16,7,20,13,True,False,False,563,East
17,7,20,13,True,False,False,562,East
17,8,20,13,True,False,False,561,North
17,9,20,13,True,False,False,560,North
16,9,20,13,True,False,False,559,West
15,9,20,13,True,False,False,558,West
14,9,20,13,True,False,False,557,West
13,9,20,13,True,False,False,556,West
12,9,20,13,True,False,False,555,West
11,9,20,13,True,False,False,554,West
10,9,20,13,True,False,False,553,West
9,9,20,13,True,False,False,552,West
9,8,20,13,True,False,False,551,South
9,7,20,13,True,False,False,550,South
9,6,20,13,True,False,False,549,South
9,5,20,13,True,False,False,548,South
2,11,20,13,True,True,True,-4,East
3,11,20,13,True,True,True,-5,East
4,11,20,13,True,True,True,-6,East
5,11,20,13,True,True,True,-7,East
6,11,20,13,True,True,True,-8,East
7,11,20,13,True,True,True,-9,East
8,11,20,13,True,True,False,190,East
7,11,20,13,True,True,False,189,West
6,11,20,13,True,True,False,188,West
6,10,20,13,True,True,False,187,South
6,9,20,13,True,False,False,386,South
7,9,20,13,True,False,False,385,East
8,9,20,13,True,False,False,384,East
8,8,20,13,True,False,False,383,South
8,7,20,13,True,False,False,382,South
8,6,20,13,True,False,False,381,South
8,5,20,13,True,False,False,380,South
7,5,20,13,True,False,False,379,West
6,5,20,13,False,False,False,578,West
7,5,20,13,False,False,False,577,East
8,5,20,13,False,False,False,576,East
9,5,20,13,False,False,False,575,East
10,5,20,13,False,False,False,574,East
11,5,20,13,False,False,False,573,East
12,5,20,13,False,False,False,572,East
13,5,20,13,False,False,False,571,East
14,5,20,13,False,False,False,570,East
2,6,20,8,True,True,True,-3,East
3,6,20,8,True,True,True,-4,East
4,6,20,8,True,True,True,-5,East
5,6,20,8,True,True,True,-6,East
6,6,20,8,True,True,True,-7,East
7,6,20,8,True,True,True,-8,East
8,6,20,8,True,False,True,191,East
9,6,20,8,True,False,True,190,East
10,6,20,8,True,False,True,189,East
11,6,20,8,True,False,True,188,East
12,6,20,8,True,False,True,187,East
13,6,20,8,True,False,True,186,East
14,6,20,8,True,False,True,185,East
15,6,20,8,True,False,True,184,East
16,6,20,8,True,False,True,183,East
16,5,20,8,True,False,True,182,South
16,4,20,8,True,False,True,181,South
15,4,20,8,True,False,True,180,West
14,4,20,8,True,False,True,179,West
13,4,20,8,True,False,True,178,West
12,4,20,8,True,False,True,177,West
11,4,20,8,True,False,True,176,West
10,4,20,8,True,False,True,175,West
10,3,20,8,False,False,True,374,South
10,3,20,8,False,False,True,373,South
11,3,20,8,False,False,True,372,East
12,3,20,8,False,False,True,371,East
13,3,20,8,False,False,True,370,East
14,3,20,8,False,False,True,369,East
15,3,20,8,False,False,True,368,East
16,3,20,8,False,False,True,367,East
16,4,20,8,False,False,True,366,North
16,5,20,8,False,False,True,565,North
16,6,20,8,False,False,True,564,North
16,5,20,8,False,False,True,563,South
16,4,20,8,False,False,True,562,South
15,4,20,8,False,False,True,561,West
14,4,20,8,False,False,True,560,West
13,4,20,8,False,False,True,559,West
12,4,20,8,False,False,True,558,West
11,4,20,8,False,False,True,557,West
10,4,20,8,False,False,True,556,West
9,4,20,8,False,False,True,555,West
8,4,20,8,False,False,True,554,West
7,4,20,8,False,False,True,553,West
2,6,20,8,True,True,True,-3,East
3,6,20,8,True,True,True,-4,East
4,6,20,8,True,True,True,-5,East
5,6,20,8,True,True,True,-6,East
6,6,20,8,True,True,True,-7,East
7,6,20,8,True,True,True,-8,East
8,6,20,8,True,False,True,191,East
9,6,20,8,True,False,True,190,East
10,6,20,8,True,False,True,189,East
11,6,20,8,True,False,True,188,East
12,6,20,8,True,False,True,187,East
13,6,20,8,True,False,True,186,East
14,6,20,8,True,False,True,185,East
15,6,20,8,True,False,True,184,East
16,6,20,8,True,False,True,383,East
16,5,20,8,True,False,True,382,South
16,4,20,8,True,False,True,381,South
16,3,20,8,True,False,True,380,South
15,3,20,8,True,False,True,379,West
14,3,20,8,True,False,True,378,West
13,3,20,8,True,False,True,377,West
12,3,20,8,True,False,True,376,West
11,3,20,8,True,False,False,575,West
11,4,20,8,True,False,False,574,North
10,4,20,8,True,False,False,573,West
9,4,20,8,True,False,False,572,West
8,4,20,8,True,False,False,571,West
7,4,20,8,True,False,False,570,West
