@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R4,22,24-weka.filters.supervised.attribute.ClassOrder-R1-C0'

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute width numeric
@attribute g1Living {True,False}
@attribute g2Living {True,False}
@attribute g3Living {True,False}
@attribute g4Living {True,False}
@attribute livingGhosts numeric
@attribute g1X numeric
@attribute g1Y numeric
@attribute g2X numeric
@attribute g2Y numeric
@attribute g3X numeric
@attribute g3Y numeric
@attribute g4X numeric
@attribute g4Y numeric
@attribute g1D numeric
@attribute g2D numeric
@attribute g3D numeric
@attribute g4D numeric
@attribute score numeric
@attribute class {Stop,North,West,South,East}

@data
10,7,27,False,False,True,True,2,1,1,3,1,18,3,24,16,-1,-1,12,23,364,North
10,8,27,False,False,True,True,2,1,1,3,1,18,3,23,16,-1,-1,13,21,363,North
10,9,27,False,False,True,True,2,1,1,3,1,18,4,24,16,-1,-1,13,21,362,North
10,10,27,False,False,True,True,2,1,1,3,1,18,5,25,16,-1,-1,13,21,361,North
10,11,27,False,False,True,True,2,1,1,3,1,19,5,24,16,-1,-1,15,19,360,North
10,12,27,False,False,True,True,2,1,1,3,1,19,6,24,15,-1,-1,15,17,359,North
11,12,27,False,False,True,True,2,1,1,3,1,18,6,24,16,-1,-1,13,17,358,East
12,12,27,False,False,True,True,2,1,1,3,1,19,6,23,16,-1,-1,13,15,357,East
13,12,27,False,False,True,True,2,1,1,3,1,19,6,22,16,-1,-1,12,13,356,East
14,12,27,False,False,True,True,2,1,1,3,1,19,6,22,15,-1,-1,11,11,355,East
15,12,27,False,False,True,True,2,1,1,3,1,19,6,21,15,-1,-1,10,9,354,East
16,12,27,False,False,True,True,2,1,1,3,1,19,5,22,15,-1,-1,10,9,353,East
17,12,27,False,False,True,True,2,1,1,3,1,19,6,22,15,-1,-1,8,8,352,East
18,12,27,False,False,True,True,2,1,1,3,1,20,6,22,16,-1,-1,8,8,351,East
19,12,27,False,False,True,True,2,1,1,3,1,21,6,21,16,-1,-1,8,6,350,East
19,13,27,False,False,True,True,2,1,1,3,1,20,6,21,16,-1,-1,8,5,349,North
19,14,27,False,False,True,True,2,1,1,3,1,19,6,22,16,-1,-1,8,5,348,North
20,14,27,False,False,True,True,2,1,1,3,1,18,6,23,16,-1,-1,10,5,347,East
20,15,27,False,False,True,True,2,1,1,3,1,19,6,22,16,-1,-1,10,3,346,North
21,15,27,False,False,True,True,2,1,1,3,1,19,5,22,15,-1,-1,12,1,345,East
