@relation pacman_info-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute x numeric
@attribute y numeric
@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
1,1,0,1,1,0.545455,0.052288,Stop
1,1,0,1,1,0.545455,0.050654,Stop
1,1,0,1,1,0.5,0.04902,Stop
1,1,0,1,1,0.545455,0.047386,Stop
1,1,0,0.9375,1,0.5,0.045752,South
1,1,0,0.875,1,0.454545,0.044118,South
1,1,0,0.8125,1,0.409091,0.042484,South
1,1,0,0.75,1,0.363636,0.04085,South
1,1,0,0.6875,1,0.318182,0.039216,South
1,1,0,0.625,1,0.227273,0.037582,South
1,1,0,0.5625,1,0.227273,0.035948,South
1,1,0,0.5,1,0.181818,0.034314,South
1,1,0,0.4375,1,0.181818,0.03268,South
1,1,0,0.375,1,0.181818,0.031046,South
1,1,0,0.3125,1,0.181818,0.029412,South
1,1,0,0.25,1,0.136364,0.027778,South
1,1,0.037037,0.25,1,0.045455,0.026144,East
1,1,0.074074,0.25,1,0.045455,0.02451,East
1,1,0.111111,0.25,1,0.045455,0.022876,East
1,1,0.148148,0.25,1,0.136364,0.021242,East
1,1,0.185185,0.25,1,0.136364,0.019608,East
1,1,0.148148,0.25,1,0.090909,0.017974,West
1,1,0.111111,0.25,1,0.090909,0.01634,West
1,1,0.111111,0.3125,1,0,0.014706,North
1,1,0.111111,0.375,0.666667,0.363636,0.339869,North
1,1,0.074074,0.375,0.666667,0.454545,0.338235,West
1,1,0.074074,0.375,0.666667,0.454545,0.336601,West
1,1,0.074074,0.3125,0.666667,0.454545,0.334967,South
1,1,0.074074,0.25,0.666667,0.454545,0.333333,South
1,1,0.074074,0.1875,0.666667,0.363636,0.331699,South
1,1,0.074074,0.125,0.666667,0.272727,0.330065,South
1,1,0.111111,0.125,0.666667,0.272727,0.328431,East
1,1,0.148148,0.125,0.666667,0.181818,0.326797,East
1,1,0.148148,0.125,0.666667,0.227273,0.325163,East
1,1,0.148148,0.0625,0.666667,0.136364,0.323529,South
1,1,0.185185,0.0625,0.666667,0.090909,0.321895,East
1,1,0.222222,0.0625,0.666667,0.090909,0.320261,East
1,1,0.259259,0.0625,0.666667,0.090909,0.318627,East
1,1,0.296296,0.0625,0.666667,0,0.316993,East
1,1,0.296296,0.125,0.666667,0,0.315359,North
1,1,0.296296,0.1875,0.666667,0.090909,0.313725,North
1,1,0.333333,0.1875,0.666667,0,0.312092,East
1,1,0.333333,0.125,0.333333,0.318182,0.637255,South
1,1,0.333333,0.0625,0.333333,0.409091,0.635621,South
1,1,0.333333,0.0625,0.333333,0.363636,0.633987,South
1,1,0.333333,0.125,0.333333,0.272727,0.632353,North
1,1,0.333333,0.1875,0.333333,0.227273,0.630719,North
1,1,0.333333,0.25,0.333333,0.136364,0.629085,North
1,1,0.333333,0.3125,0.333333,0.227273,0.627451,North
1,1,0.333333,0.375,0.333333,0.318182,0.625817,North
