@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R5,7,10,15,20,24-weka.filters.unsupervised.attribute.Remove-R17-weka.filters.supervised.attribute.ClassOrder-R1-C0-weka.filters.supervised.attribute.ClassOrder-R1-C0-weka.filters.unsupervised.attribute.Remove-R17-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates'

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute width numeric
@attribute height numeric
@attribute g2Living {True,False}
@attribute g4Living {True,False}
@attribute livingGhosts numeric
@attribute g1Y numeric
@attribute g2X numeric
@attribute g2Y numeric
@attribute g3X numeric
@attribute g4X numeric
@attribute g4Y numeric
@attribute g1D numeric
@attribute g2D numeric
@attribute g4D numeric
@attribute class {Stop,North,West,South,East}

@data
10,10,30,20,False,True,2,1,3,1,14,19,10,-1,-1,9,North
10,11,30,20,False,True,2,1,3,1,13,19,10,-1,-1,10,North
10,12,30,20,False,True,2,1,3,1,14,18,10,-1,-1,10,North
11,12,30,20,False,True,2,1,3,1,13,17,10,-1,-1,8,East
12,12,30,20,False,True,2,1,3,1,13,16,10,-1,-1,6,East
13,12,30,20,False,True,2,1,3,1,14,15,10,-1,-1,4,East
14,12,30,20,False,True,2,1,3,1,13,15,10,-1,-1,3,East
14,11,30,20,False,True,2,1,3,1,13,15,10,-1,-1,2,South
14,10,30,20,False,True,2,1,3,1,13,15,11,-1,-1,2,South
15,10,30,20,False,True,2,1,3,1,14,15,11,-1,-1,1,East
16,10,30,20,False,True,2,1,3,1,14,16,11,-1,-1,1,East
16,11,30,20,False,False,1,1,3,1,14,7,1,-1,-1,-1,North
15,11,30,20,False,False,1,1,3,1,15,7,1,-1,-1,-1,West
14,11,30,20,False,False,1,1,3,1,14,7,1,-1,-1,-1,West
13,11,30,20,False,False,1,1,3,1,13,7,1,-1,-1,-1,West
13,10,30,20,False,False,1,1,3,1,14,7,1,-1,-1,-1,South
13,9,30,20,False,False,1,1,3,1,13,7,1,-1,-1,-1,South
13,8,30,20,False,False,1,1,3,1,13,7,1,-1,-1,-1,South
13,7,30,20,False,False,1,1,3,1,14,7,1,-1,-1,-1,South
13,6,30,20,False,False,1,1,3,1,13,7,1,-1,-1,-1,South
13,5,30,20,False,False,1,1,3,1,13,7,1,-1,-1,-1,South
13,10,20,16,True,True,4,7,5,12,14,13,13,12,10,3,East
