@relation pacman_info-weka.filters.unsupervised.instance.Resample-S1-Z100.0-weka.filters.unsupervised.instance.Resample-S1-Z100.0

@attribute x numeric
@attribute y numeric
@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
20,8,1,6,4,6,-12,Stop
30,20,14,6,2,5,336,South
20,8,3,6,2,4,369,West
30,20,3,6,3,11,171,South
20,8,13,4,2,1,373,North
20,16,7,12,3,4,179,East
30,20,3,4,1,3,571,North
20,8,9,3,2,9,379,West
20,16,11,12,2,5,361,West
20,8,1,6,4,5,-5,Stop
20,16,10,12,2,7,360,West
20,8,1,6,4,6,-7,Stop
30,20,5,6,4,4,-20,East
20,16,4,6,1,2,507,South
20,8,1,6,4,5,-5,Stop
30,20,21,4,1,5,527,East
20,8,16,6,3,2,172,East
20,8,15,4,1,2,539,East
20,16,14,10,4,1,-7,East
30,20,2,5,2,2,383,East
20,8,12,6,1,7,544,East
30,20,6,3,3,3,164,East
20,16,14,13,2,13,353,South
30,20,1,14,4,9,-7,South
20,16,1,4,1,2,519,West
20,16,12,10,4,2,-3,Stop
20,16,9,12,4,4,-15,West
20,16,6,13,3,8,164,North
20,16,5,6,1,2,506,East
20,16,6,7,1,7,533,West
20,16,14,14,2,14,354,East
30,20,2,6,4,1,-16,East
30,20,3,6,4,5,-17,East
20,8,8,3,1,4,549,East
20,16,14,11,4,1,-11,South
20,16,10,10,1,15,535,South
20,16,11,12,2,5,361,West
20,16,10,7,1,10,537,West
20,16,8,12,4,2,-16,West
30,20,8,3,3,3,162,East
30,20,1,18,4,13,0,Stop
30,20,8,10,2,5,362,North
20,16,1,4,1,2,518,West
20,16,1,4,1,2,519,West
30,20,3,5,1,1,570,North
30,20,24,11,1,7,537,East
20,8,1,6,4,7,-9,Stop
20,16,14,7,2,3,374,South
30,20,1,18,4,13,0,Stop
20,16,13,14,1,21,542,West
30,20,28,4,1,2,520,East
20,16,9,13,4,2,-31,East
20,16,14,12,2,11,352,South
20,8,16,4,2,1,369,West
20,16,7,4,1,2,496,East
20,8,2,6,4,7,-4,East
30,20,1,15,4,10,-6,South
30,20,8,3,3,3,162,East
20,8,17,3,2,4,364,West
30,20,26,16,1,1,530,North
20,16,14,3,1,2,562,South
30,20,17,5,2,1,332,South
20,16,12,10,4,2,-4,Stop
30,20,1,8,4,3,-13,South
30,20,22,4,1,5,526,East
20,16,11,12,2,5,361,West
20,8,16,3,2,2,374,South
20,16,11,12,2,4,375,East
30,20,16,6,2,4,334,East
30,20,12,12,2,13,344,East
20,8,11,3,2,3,376,East
30,20,1,7,4,7,-14,South
20,16,2,6,1,1,552,West
20,16,15,5,1,3,553,East
20,16,14,9,2,5,349,South
20,8,1,6,4,6,-4,Stop
20,16,11,7,1,11,538,West
20,8,7,5,2,7,374,North
30,20,5,5,1,2,576,South
20,16,15,5,1,4,571,South
20,16,8,12,4,2,-33,West
20,8,2,6,4,5,-9,East
30,20,3,6,2,2,381,North
20,8,11,6,1,7,545,East
30,20,1,8,4,3,-13,South
