@relation 'pacman_info-weka.filters.supervised.attribute.ClassOrder-R1-C0-weka.filters.unsupervised.attribute.Remove-R5,7,10,15,20,22,24-weka.filters.unsupervised.attribute.Remove-R17-weka.filters.unsupervised.instance.RemoveDuplicates'

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute width numeric
@attribute height numeric
@attribute g2Living {True,False}
@attribute g4Living {True,False}
@attribute livingGhosts numeric
@attribute g1Y numeric
@attribute g2X numeric
@attribute g2Y numeric
@attribute g3X numeric
@attribute g4X numeric
@attribute g4Y numeric
@attribute g1D numeric
@attribute g2D numeric
@attribute g4D numeric
@attribute class {Stop,North,West,South,East}

@data
6,13,20,15,True,True,4,5,12,3,12,18,4,9,16,21,East
7,13,20,15,True,True,4,5,13,3,11,18,5,9,16,19,East
8,13,20,15,True,True,4,5,13,3,11,18,6,11,15,17,East
9,13,20,15,True,True,4,5,12,3,11,18,6,13,13,16,East
9,12,20,15,True,True,4,5,12,3,11,18,6,12,12,15,South
9,11,20,15,True,True,4,5,12,3,10,18,5,12,11,15,South
10,11,20,15,True,True,3,5,11,3,5,18,4,12,9,15,East
11,11,20,15,True,True,3,5,11,3,5,18,4,14,8,14,East
12,11,20,15,True,True,3,5,12,3,5,18,5,14,8,12,East
13,11,20,15,True,True,3,5,13,3,5,18,5,15,8,11,East
14,11,20,15,True,True,3,5,13,3,5,18,4,15,9,11,East
15,11,20,15,True,True,3,5,12,3,5,18,4,15,11,10,East
16,11,20,15,True,True,3,5,13,3,5,18,5,16,11,8,East
17,11,20,15,True,True,3,5,13,3,5,18,4,17,12,8,East
17,10,20,15,True,True,3,5,14,3,5,18,4,15,10,7,South
17,9,20,15,True,True,3,5,14,3,5,18,5,14,9,5,South
17,8,20,15,True,True,3,5,14,3,5,18,5,13,8,4,South
17,7,20,15,True,True,3,5,14,3,5,18,4,12,7,4,South
17,6,20,15,True,True,3,5,13,3,5,18,5,12,7,2,South
17,6,20,15,True,True,3,5,12,3,5,18,6,12,8,1,South
17,6,20,15,True,True,3,5,12,3,5,18,5,13,8,2,South
18,6,20,15,True,True,3,5,14,3,5,18,4,14,7,2,East
18,6,20,15,True,True,3,5,15,3,5,18,3,15,6,3,East
18,5,20,15,True,True,3,5,16,3,5,18,4,14,4,1,South
18,4,20,15,True,False,2,5,16,3,5,7,1,15,3,-1,South
18,3,20,15,True,False,2,5,16,3,5,7,1,16,2,-1,South
17,3,20,15,False,False,1,5,3,1,5,7,1,14,-1,-1,West
16,3,20,15,False,False,1,5,3,1,5,7,1,14,-1,-1,West
15,3,20,15,False,False,1,5,3,1,5,7,1,14,-1,-1,West
14,3,20,15,False,False,1,5,3,1,5,7,1,14,-1,-1,West
13,3,20,15,False,False,1,5,3,1,5,7,1,14,-1,-1,West
12,3,20,15,False,False,1,5,3,1,5,7,1,13,-1,-1,West
11,3,20,15,False,False,1,6,3,1,5,7,1,13,-1,-1,West
10,3,20,15,False,False,1,5,3,1,5,7,1,11,-1,-1,West
9,3,20,15,False,False,1,6,3,1,5,7,1,11,-1,-1,West
8,3,20,15,False,False,1,7,3,1,5,7,1,11,-1,-1,West
7,3,20,15,False,False,1,7,3,1,5,7,1,10,-1,-1,West
6,3,20,15,False,False,1,7,3,1,5,7,1,9,-1,-1,West
5,3,20,15,False,False,1,8,3,1,5,7,1,9,-1,-1,West
4,3,20,15,False,False,1,8,3,1,5,7,1,7,-1,-1,West
3,3,20,15,False,False,1,8,3,1,5,7,1,5,-1,-1,West
2,3,20,15,False,False,1,8,3,1,5,7,1,6,-1,-1,West
1,3,20,15,False,False,1,8,3,1,5,7,1,8,-1,-1,West
1,4,20,15,False,False,1,8,3,1,5,7,1,8,-1,-1,North
1,5,20,15,False,False,1,8,3,1,5,7,1,6,-1,-1,North
1,6,20,15,False,False,1,8,3,1,5,7,1,5,-1,-1,North
1,7,20,15,False,False,1,8,3,1,5,7,1,4,-1,-1,North
1,8,20,15,False,False,1,8,3,1,5,7,1,4,-1,-1,North
2,8,20,15,False,False,1,9,3,1,5,7,1,4,-1,-1,East
3,8,20,15,False,False,1,10,3,1,5,7,1,4,-1,-1,East
4,8,20,15,False,False,1,10,3,1,5,7,1,2,-1,-1,East
5,8,20,15,False,False,1,10,3,1,5,7,1,2,-1,-1,East
