@RELATION pacman_info
   @ATTRIBUTE pacmanX NUMERIC
   @ATTRIBUTE pacmanY NUMERIC
   @ATTRIBUTE livingGhosts NUMERIC
   @ATTRIBUTE minGhost NUMERIC
   @ATTRIBUTE score NUMERIC
   @ATTRIBUTE pacmanX2 NUMERIC
   @ATTRIBUTE pacmanY2 NUMERIC
   @ATTRIBUTE livingGhosts2 NUMERIC
   @ATTRIBUTE score2 NUMERIC
   @ATTRIBUTE class {Stop, North, South, East, West}

@data
7,3,2,3,387,8,3,2,386,East
8,3,2,2,386,9,3,2,385,East
9,3,2,2,385,10,3,2,384,East
10,3,2,2,384,10,4,2,383,East
10,4,2,1,383,11,4,1,582,North
11,4,1,4,582,12,4,1,581,East
12,4,1,2,581,12,5,1,580,East
12,5,1,3,580,12,4,1,579,North
12,4,1,2,579,13,4,1,578,South
13,4,1,2,578,14,4,1,577,East
14,4,1,1,577,14,5,0,776,East
1,6,4,7,0,1,5,4,-1,Stop
1,5,4,6,-1,1,4,4,-2,South
1,4,4,5,-2,2,4,4,-3,South
2,4,4,4,-3,3,4,4,-4,East
3,4,4,3,-4,4,4,4,-5,East
4,4,4,2,-5,5,4,4,-6,East
5,4,4,1,-6,6,4,3,193,East
6,4,3,4,193,6,5,3,192,East
6,5,3,3,192,6,6,3,191,North
6,6,3,2,191,7,6,3,190,North
7,6,3,1,190,8,6,2,389,East
8,6,2,6,389,9,6,2,388,East
9,6,2,5,388,10,6,2,387,East
10,6,2,4,387,10,5,2,386,East
10,5,2,3,386,10,4,2,385,South
10,4,2,2,385,10,3,2,384,South
10,3,2,1,384,11,3,1,583,South
11,3,1,8,583,11,4,1,582,East
11,4,1,7,582,12,4,1,581,North
12,4,1,6,581,12,5,1,580,East
12,5,1,5,580,12,6,1,579,North
12,6,1,4,579,13,6,1,578,North
13,6,1,3,578,14,6,1,577,East
14,6,1,2,577,15,6,1,576,East
15,6,1,1,576,16,6,0,775,East
