@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Remove-R3

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
8,6,11,355,East
9,6,9,354,East
10,6,9,353,East
10,7,9,352,North
10,8,10,351,North
10,9,10,350,North
10,10,11,349,North
10,11,13,348,North
10,12,15,347,North
11,12,14,346,East
12,12,13,345,East
13,12,12,344,East
13,11,10,343,South
13,10,10,342,South
13,9,8,341,South
13,8,6,340,South
13,7,4,339,South
13,6,4,338,South
13,5,2,337,South
13,4,1,336,South
13,3,10,535,South
14,3,8,534,East
15,3,7,533,East
16,3,7,532,East
17,3,5,531,East
18,3,5,530,East
19,3,4,529,East
20,3,2,528,East
21,3,2,527,East
22,3,2,526,East
23,3,2,525,East
24,3,2,524,East
