@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Remove-R5

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute class {Stop,North,South,East,West}

@data
9,4,1,7,East
10,4,1,6,East
11,4,1,4,East
12,4,1,4,East
13,4,1,3,East
14,4,1,3,East
15,4,1,2,East
16,4,1,1,East
17,4,1,2,East
18,4,1,2,East
18,5,1,4,North
18,6,1,6,North
17,6,1,4,West
16,6,1,2,West
15,6,1,2,West
14,6,1,3,West
14,5,1,1,South
1,6,4,7,Stop
1,6,4,7,Stop
1,6,4,7,Stop
1,6,4,7,Stop
2,6,4,6,East
3,6,4,5,East
4,6,4,4,East
5,6,4,3,East
6,6,4,2,East
7,6,4,1,East
8,6,3,4,East
9,6,3,5,East
10,6,3,4,East
11,6,3,3,East
12,6,3,4,East
13,6,3,3,East
14,6,3,2,East
15,6,3,1,East
16,6,2,8,East
16,5,2,7,South
16,4,2,6,South
16,3,2,5,South
15,3,2,4,West
14,3,2,3,West
13,3,2,2,West
12,3,2,1,West
11,3,1,6,West
10,3,1,5,West
9,3,1,4,West
8,3,1,3,West
7,3,1,2,West
6,3,1,1,West
1,6,4,7,Stop
1,6,4,6,Stop
1,6,4,6,Stop
1,6,4,5,Stop
2,6,4,5,East
3,6,4,3,East
4,6,4,3,East
5,6,4,2,East
6,6,4,1,East
7,6,3,3,East
7,5,3,2,South
7,4,3,1,South
7,3,3,1,South
7,3,2,2,South
7,3,2,2,South
6,3,2,2,West
5,3,2,3,West
6,3,2,2,East
6,4,2,2,North
6,4,2,1,North
7,4,1,7,East
7,3,1,7,South
7,3,1,8,South
8,3,1,6,East
9,3,1,5,East
10,3,1,4,East
11,3,1,2,East
12,3,1,1,East
1,11,4,7,Stop
1,11,4,6,Stop
1,11,4,6,Stop
2,11,4,4,East
3,11,4,4,East
4,11,4,2,East
5,11,4,1,East
6,11,4,2,East
6,10,3,3,South
6,9,3,1,South
6,8,2,6,South
7,8,2,4,East
8,8,2,4,East
8,7,2,4,South
8,6,2,4,South
8,5,2,3,South
7,5,2,2,West
6,5,2,2,West
5,5,2,2,West
6,5,2,4,East
7,5,2,5,East
6,5,2,3,West
5,5,2,1,West
4,5,1,15,West
3,5,1,15,West
4,5,1,15,East
5,5,1,15,East
6,5,1,14,East
7,5,1,14,East
8,5,1,13,East
9,5,1,12,East
10,5,1,10,East
11,5,1,10,East
12,5,1,8,East
13,5,1,8,East
14,5,1,7,East
14,6,1,7,North
14,7,1,6,North
14,8,1,6,North
15,8,1,5,East
16,8,1,5,East
16,9,1,3,North
16,9,1,3,North
17,9,1,3,East
18,9,1,2,East
18,10,1,1,North
1,6,4,7,Stop
1,6,4,7,Stop
1,6,4,7,Stop
2,6,4,6,East
3,6,4,5,East
4,6,4,4,East
5,6,4,3,East
6,6,4,2,East
7,6,4,1,East
8,6,3,4,East
9,6,3,5,East
10,6,3,4,East
11,6,3,3,East
12,6,3,4,East
13,6,3,3,East
14,6,3,2,East
15,6,3,1,East
16,6,2,8,East
16,5,2,7,South
16,4,2,6,South
15,4,2,5,West
14,4,2,4,West
13,4,2,3,West
13,3,2,2,South
12,3,2,1,West
11,3,1,6,West
10,3,1,5,West
10,4,1,4,North
9,4,1,3,West
8,4,1,2,West
7,4,1,1,West
12,10,4,3,Stop
12,10,4,3,Stop
13,10,4,1,East
14,10,4,3,East
15,10,4,4,East
14,10,4,3,West
14,9,4,3,South
14,8,4,2,South
13,8,3,4,West
12,8,3,6,West
12,9,3,4,North
12,10,3,2,North
12,11,3,2,North
13,11,3,2,East
13,10,3,1,South
13,9,3,2,South
13,8,3,2,South
14,8,3,2,East
14,9,3,2,North
13,9,3,2,West
12,9,3,2,West
11,9,3,2,West
10,9,3,2,West
9,9,3,4,West
9,8,3,2,South
9,7,3,3,South
10,7,3,3,East
11,7,3,1,East
11,8,2,4,North
11,9,2,3,North
11,10,2,2,North
12,10,2,2,East
13,10,2,3,East
13,11,2,3,North
13,12,2,1,North
12,12,1,11,West
11,12,1,10,West
10,12,1,8,West
10,11,1,6,South
10,10,1,5,South
10,9,1,3,South
9,9,1,3,West
8,9,1,3,West
7,9,1,2,West
6,9,1,2,West
6,10,1,2,North
6,11,1,3,North
7,11,1,1,East
1,18,4,13,Stop
1,18,4,14,Stop
2,18,4,12,East
3,18,4,12,East
4,18,4,10,East
3,18,4,10,West
2,18,4,12,West
1,18,4,12,West
1,17,4,10,South
1,16,4,8,South
1,15,4,7,South
1,14,4,7,South
1,13,4,7,South
1,12,4,7,South
1,11,4,7,South
1,10,4,7,South
1,9,4,6,South
1,8,4,4,South
1,7,4,4,South
1,6,4,4,South
2,6,4,2,East
3,6,4,2,East
4,6,4,2,East
5,6,4,4,East
6,6,4,4,East
7,6,4,6,East
8,6,4,4,East
9,6,4,2,East
10,6,4,2,East
10,5,3,6,South
10,4,3,6,South
9,4,3,6,West
8,4,3,5,West
8,3,3,6,South
7,3,3,4,West
6,3,3,4,West
5,3,3,6,West
5,4,3,4,North
5,5,3,4,North
5,6,3,2,North
5,7,2,14,North
6,7,2,12,East
6,7,2,13,East
6,6,2,13,South
7,6,2,12,East
8,6,2,11,East
9,6,2,9,East
10,6,2,9,East
10,7,2,9,North
10,8,2,10,North
10,9,2,10,North
10,10,2,11,North
10,11,2,13,North
10,12,2,15,North
11,12,2,14,East
12,12,2,13,East
13,12,2,12,East
13,11,2,10,South
13,10,2,10,South
13,9,2,8,South
13,8,2,6,South
13,7,2,4,South
13,6,2,4,South
13,5,2,2,South
13,4,2,1,South
13,3,1,10,South
14,3,1,8,East
15,3,1,7,East
16,3,1,7,East
17,3,1,5,East
18,3,1,5,East
19,3,1,4,East
20,3,1,2,East
21,3,1,2,East
22,3,1,2,East
23,3,1,2,East
24,3,1,2,East
