@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
2,18,329,North
2,18,328,West
2,16,327,West
2,14,326,West
2,12,325,South
2,12,324,South
2,10,323,South
2,9,322,South
2,8,321,South
2,6,320,South
2,6,319,West
2,6,318,West
2,5,317,West
2,3,316,West
2,3,315,West
2,3,314,West
2,3,313,West
2,1,312,West
1,5,511,West
1,5,510,North
1,7,509,North
1,7,508,South
1,5,507,South
1,5,506,East
1,4,505,East
1,4,504,South
1,3,503,South
1,2,502,East
1,1,501,East
4,13,0,Stop
4,13,-1,Stop
4,13,-2,Stop
4,12,-3,East
4,11,-4,East
4,12,-5,West
4,13,-6,West
4,12,-7,South
4,11,-8,South
4,10,-9,South
4,9,-10,South
4,8,-11,South
4,7,-12,South
4,6,-13,South
4,5,-14,South
4,4,-15,South
4,5,-16,South
4,6,-17,South
4,7,-18,South
4,6,-19,East
4,5,-20,East
4,4,-21,East
4,3,-22,North
4,2,-23,North
4,1,-24,North
3,12,175,East
3,11,174,South
3,10,173,South
3,9,172,South
3,8,171,East
3,7,170,East
3,6,169,East
3,5,168,East
3,4,167,East
3,3,166,East
3,2,165,South
3,1,164,South
3,2,163,North
3,3,162,North
3,2,161,South
3,1,160,South
2,9,359,South
2,8,358,North
2,7,357,North
2,6,356,North
2,7,355,North
2,8,354,North
2,9,353,North
2,10,352,North
2,11,351,North
2,12,350,North
2,11,349,East
2,10,348,East
2,9,347,East
2,8,346,South
2,7,345,South
2,8,344,West
2,8,343,West
2,7,342,South
2,6,341,South
2,5,340,South
2,4,339,South
2,3,338,East
2,2,337,East
2,1,336,East
1,15,535,East
1,16,534,West
1,17,533,West
1,18,532,West
1,17,531,North
1,16,530,North
1,15,529,North
1,14,528,North
1,13,527,East
1,12,526,East
1,11,525,East
1,10,524,East
1,9,523,East
1,8,522,North
1,7,521,North
1,6,520,North
1,5,519,East
1,5,518,East
1,6,517,North
1,7,516,North
1,6,515,East
1,5,514,East
1,4,513,East
1,3,512,East
1,2,511,East
1,1,510,South
4,14,0,Stop
4,14,-1,Stop
4,14,-2,Stop
4,13,-3,South
4,12,-4,South
4,11,-5,South
4,10,-6,East
4,9,-7,East
4,8,-8,East
4,7,-9,East
4,6,-10,South
4,5,-11,South
4,5,-12,South
4,6,-13,West
4,7,-14,West
4,8,-15,West
4,9,-16,West
4,8,-17,South
4,7,-18,South
4,6,-19,South
4,5,-20,East
4,4,-21,East
4,3,-22,East
4,2,-23,East
4,1,-24,East
3,8,175,East
3,9,174,West
3,10,173,West
3,11,172,West
3,12,171,West
3,13,170,West
3,14,169,West
3,13,168,South
3,12,167,South
3,11,166,East
3,10,165,East
3,9,164,East
3,8,163,East
3,7,162,East
3,6,161,East
3,5,160,East
3,4,159,East
3,3,158,East
3,2,157,East
3,1,156,East
2,5,355,East
2,4,354,East
2,3,353,East
2,4,352,East
2,5,351,East
2,6,350,East
2,5,349,North
2,4,348,North
2,3,347,North
2,2,346,West
2,1,345,West
1,6,544,West
1,7,543,East
1,8,542,East
1,7,541,North
1,6,540,North
1,5,539,North
1,4,538,North
1,3,537,North
1,2,536,West
1,1,535,West
4,14,0,Stop
4,13,-1,Stop
4,14,-2,Stop
4,12,-3,East
4,11,-4,East
4,11,-5,East
4,10,-6,East
4,8,-7,East
4,8,-8,East
4,8,-9,East
4,8,-10,East
4,6,-11,South
4,5,-12,South
4,5,-13,East
4,5,-14,East
4,4,-15,East
4,2,-16,East
4,2,-17,East
4,1,-18,East
3,7,181,East
3,8,180,East
3,8,179,South
3,7,178,South
3,7,177,South
3,5,176,South
3,4,175,South
3,3,174,West
3,2,173,West
3,2,172,West
3,2,171,West
3,1,170,West
2,4,369,West
2,4,368,West
2,6,367,West
2,5,366,South
2,5,365,South
2,5,364,South
2,4,363,East
2,4,362,East
2,2,361,East
2,2,360,East
2,1,359,East
1,15,558,East
1,14,557,West
1,12,556,West
1,12,555,West
1,11,554,West
1,11,553,West
1,11,552,West
1,9,551,West
1,7,550,West
1,6,549,West
1,6,548,West
1,5,547,West
1,5,546,West
1,3,545,West
1,3,544,West
1,2,543,North
4,3,0,Stop
4,2,-1,Stop
4,2,-2,Stop
4,3,-3,Stop
4,2,-4,Stop
4,2,-5,East
4,4,-6,East
4,5,-7,East
4,5,-8,South
4,5,-9,South
4,5,-10,South
4,4,-11,South
4,2,-12,South
4,2,-13,West
4,1,-14,West
3,8,185,South
3,8,184,South
3,8,183,West
3,6,182,West
3,4,181,West
3,2,180,West
3,2,179,West
3,2,178,West
3,1,177,West
3,3,176,West
3,3,175,North
3,2,174,North
2,10,373,East
2,10,372,East
2,10,371,North
2,8,370,West
2,9,369,West
2,10,368,West
2,8,367,North
2,6,366,North
2,6,365,North
2,6,364,West
2,6,363,North
2,4,362,North
2,4,361,North
2,4,360,North
2,3,359,North
2,2,358,East
1,6,557,East
1,4,556,East
1,2,555,East
1,1,554,East
4,3,0,Stop
4,3,-1,Stop
4,3,-2,Stop
4,2,-3,East
4,3,-4,East
4,4,-5,East
4,3,-6,North
4,2,-7,North
4,3,-8,North
4,4,-9,North
4,3,-10,West
4,2,-11,West
4,3,-12,West
4,4,-13,West
4,5,-14,West
4,4,-15,South
4,3,-16,South
4,2,-17,East
4,1,-18,East
3,6,181,East
3,7,180,West
3,6,179,West
3,5,178,West
3,4,177,West
3,3,176,West
3,2,175,West
3,1,174,West
2,6,373,West
2,7,372,East
2,8,371,East
2,9,370,East
2,10,369,North
2,11,368,North
2,10,367,West
2,9,366,West
2,8,365,West
2,9,364,West
2,10,363,West
2,9,362,South
2,8,361,South
2,7,360,South
2,6,359,South
2,5,358,South
2,4,357,South
2,3,356,South
2,2,355,South
2,1,354,East
1,8,553,East
1,9,552,South
1,10,551,South
1,9,550,East
1,8,549,East
1,9,548,South
1,8,547,East
1,7,546,East
1,6,545,East
1,5,544,East
1,4,543,East
1,3,542,North
1,2,541,North
1,1,540,North
